"Mã sản phẩm","Tên sản phẩm","Nhóm sản phẩm","Mã biến thể","Tên biến thể","Mô tả","Model","Công suất","Điện áp vào","Điện áp ra","Tương thích chip LED","Dimming","Tính năng","Xuất xứ"
"NHK","Nguồn HKLED","Nguồn HKLED","NHKD-050A","Nguồn HKLED 50W - Model: NHKD-050A | Dim 5 Cấp (Input: AC 220V / Output: DC 28-56V)","NGUỒN ĐIỆN DIM 5 CẤP ĐÈN LED 50W
- Model: NHKD-050A
- Điện áp vào: 100-277V
- Điện áp ra: 28-56V
- Dòng điện ra: 500 - 1500mA ±5%
- Chống sét tích hợp: 2.0Kv
- Kích thước sản phẩm: 123*52*31mm - 310g
- Quy cách: 50 cái/hộp, - Cân nặng: 15400g
- Kích thước hộp: 33.5*24.5*24cm","NHKD-050A","50","AC 220V","DC 30V","5C","Dim 5 Cấp","","China"
"NHK","Nguồn HKLED","Nguồn HKLED","NHKD-100A","Nguồn HKLED 100W - Model: NHKD-100A | Dim 5 Cấp (Input: AC 220V / Output: DC 28-56V)","NGUỒN ĐIỆN DIM 5 CẤP ĐÈN LED 100W
Model: NHKD-100A
- Điện áp vào: 100-277V
- Điện áp ra: 28-56V
- Dòng điện ra: 1000 - 3000mA ±5%
- Chống sét tích hợp: 6.0Kv
- Kích thước sản phẩm: 140*57*37mm - 440g
- Quy cách: 36 cái/hộp, - Cân nặng: 14100g
- Kích thước hộp: 33.5*24.5*24cm","NHKD-100A","100","AC 220V","DC 30V","5C","Dim 5 Cấp","","China"
"NHK","Nguồn HKLED","Nguồn HKLED","NHKD-150A","Nguồn HKLED 150W - Model: NHKD-150A | Dim 5 Cấp (Input: AC 220V / Output: DC 28-56V)","NGUỒN ĐIỆN DIM 5 CẤP ĐÈN LED 150W
Model: NHKD-150A
- Điện áp vào: 100-277V
- Điện áp ra: 28-56V
- Dòng điện ra: 2700 - 4600mA ±5%
- Chống sét tích hợp: 6.0Kv
- Kích thước sản phẩm: 160*68*37mm - 660g
- Quy cách: 25 cái/hộp, - Cân nặng: 16700g
- Kích thước hộp: 33.5*24.5*24cm","NHKD-150A","150","AC 220V","DC 30V","5C","Dim 5 Cấp","","China"
"NHK","Nguồn HKLED","Nguồn HKLED","NHKD-200A","Nguồn HKLED 200W - Model: NHKD-200A | Dim 5 Cấp (Input: AC 220V / Output: DC 28-56V)","NGUỒN ĐIỆN DIM 5 CẤP ĐÈN LED 200W
Model: NHKD-200A
- Điện áp vào: 100-277V
- Điện áp ra: 28-56V
- Dòng điện ra: 2000 - 6000mA ±5%
- Chống sét tích hợp: 6.0Kv
- Kích thước sản phẩm: 190*68*37mm - 750g
- Quy cách: 25 cái/hộp, - Cân nặng: 19100g
- Kích thước hộp: 33.5*24.5*24cm","NHKD-200A","200","AC 220V","DC 30V","5C","Dim 5 Cấp","","China"
"NHK","Nguồn HKLED","Nguồn HKLED","NHKD-240A","Nguồn HKLED 250W - Model: NHKD-240A | Dim 5 Cấp (Input: AC 220V / Output: DC 28-56V)","NGUỒN ĐIỆN DIM 5 CẤP ĐÈN LED 240W
Model: NHKD-240A
- Điện áp vào: 100-277V
- Điện áp ra: 28-56V
- Dòng điện ra: 3500 - 7000mA ±5%
- Chống sét tích hợp: 6.0Kv
- Kích thước sản phẩm: 190*68*37mm - 750g
- Quy cách: 25 cái/hộp, - Cân nặng: 19100g
- Kích thước hộp: 33.5*24.5*24cm","NHKD-240A","250","AC 220V","DC 30V","5C","Dim 5 Cấp","","China"
"NHK","Nguồn HKLED","Nguồn HKLED","NHKD-300A","Nguồn HKLED 300W - Model: NHKD-300A | Dim 5 Cấp (Input: AC 220V / Output: DC 28-56V)","NGUỒN ĐIỆN DIM 5 CẤP ĐÈN LED 300W
Model: NHKD-300A
- Điện áp vào: 100-277V
- Điện áp ra: 28-56V
- Dòng điện ra: 4800 - 9000mA ±5%
- Chống sét tích hợp: 6.0Kv
- Kích thước sản phẩm: 240*76*37mm - 1850g
- Quy cách: 25 cái/hộp, - Cân nặng: 19100g
- Kích thước hộp: 33.5*24.5*24cm","NHKD-300A","300","AC 220V","DC 30V","5C","Dim 5 Cấp","","China"
"NHK","Nguồn HKLED","Nguồn HKLED","NHKT-050W300X","Nguồn HKLED 50W - Model: NHKT-050W300X | Dim 1 Cấp (Input: AC 220V / Output: DC 180-300V)","NGUỒN TRÒN ĐÈN LED XƯỞNG 50W
Model: NHKT-050W300X
- Điện áp vào: 100-277V
- Điện áp ra: 180-300V
- Dòng điện ra: 320mA ±5%
- Chống sét tích hợp: 4.0Kv
- Kích thước SP: F128*58mm - 560g
- Quy cách: 15 cái/hộp, - Cân nặng: 9650g
- Kích thước hộp: 43*43*13.2cm","NHKT-050W300X","50","AC 220V","DC 30V","5C","Dim 1 Cấp","","China"
"NHK","Nguồn HKLED","Nguồn HKLED","NHKT-100W300X","Nguồn HKLED 100W - Model: NHKT-100W300X | Dim 1 Cấp (Input: AC 220V / Output: DC 180-300V)","NGUỒN TRÒN ĐÈN LED XƯỞNG 100W
Model: NHKT-100W300X
- Điện áp vào: 100-277V
- Điện áp ra: 180-300V
- Dòng điện ra: 420mA ±5%
- Chống sét tích hợp: 4.0Kv
- Kích thước SP: F128*58mm - 560g
- Quy cách: 15 cái/hộp, - Cân nặng: 9650g
- Kích thước hộp: 43*43*13.2cm","NHKT-100W300X","100","AC 220V","DC 30V","5C","Dim 1 Cấp","","China"
"NHK","Nguồn HKLED","Nguồn HKLED","NHKT-150W300X","Nguồn HKLED 150W - Model: NHKT-150W300X | Dim 1 Cấp (Input: AC 220V / Output: DC 180-300V)","NGUỒN TRÒN ĐÈN LED XƯỞNG 150W
Model: NHKT-150W300X
- Điện áp vào: 100-277V
- Điện áp ra: 180-300V
- Dòng điện ra: 625mA ±5%
- Chống sét tích hợp: 4.0Kv
- Kích thước SP: F128*58mm - 580g
- Quy cách: 15 cái/hộp, - Cân nặng: 9920g
- Kích thước hộp: 43*43*13.2cm","NHKT-150W300X","150","AC 220V","DC 30V","5C","Dim 1 Cấp","","China"
"NHK","Nguồn HKLED","Nguồn HKLED","NHKT-200W300X","Nguồn HKLED 200W - Model: NHKT-200W300X | Dim 1 Cấp (Input: AC 220V / Output: DC 180-300V)","NGUỒN TRÒN ĐÈN LED XƯỞNG 200W
Model: NHKT-200W300X
- Điện áp vào: 100-277V
- Điện áp ra: 180-300V
- Dòng điện ra: 830mA ±5%
- Chống sét tích hợp: 4.0Kv
- Kích thước SP: F128*58mm - 850g
- Quy cách: 15 cái/hộp, - Cân nặng: 13790g
- Kích thước hộp: 43*43*13.2cm","NHKT-200W300X","200","AC 220V","DC 30V","5C","Dim 1 Cấp","","China"
"NHK","Nguồn HKLED","Nguồn HKLED","NHKT-240W300X","Nguồn HKLED 250W - Model: NHKT-240W300X | Dim 1 Cấp (Input: AC 220V / Output: DC 180-300V)","NGUỒN TRÒN ĐÈN LED XƯỞNG 240W
Model: NHKT-240W300X
- Điện áp vào: 100-277V
- Điện áp ra: 180-300V
- Dòng điện ra: 1000mA ±5%
- Chống sét tích hợp: 4.0Kv
- Kích thước SP: F128*58mm - 850g
- Quy cách: 15 cái/hộp, - Cân nặng: 13790g
- Kích thước hộp: 43*43*13.2cm","NHKT-240W300X","250","AC 220V","DC 30V","5C","Dim 1 Cấp","","China"
"NHK","Nguồn HKLED","Nguồn HKLED","NHKTD-100W300X","Nguồn HKLED 100W - Model: NHKTD-100W300X | Dim 1 Cấp (Input: AC 220V / Output: DC 180-300V)","NGUỒN TRÒN ĐÈN LED XƯỞNG 100W
Model: NHKT-100W300X
- Điện áp vào: 100-277V
- Điện áp ra: 180-300V
- Dòng điện ra: 420mA ±5%
- Chống sét tích hợp: 4.0Kv
- Kích thước SP: F128*58mm - 560g
- Quy cách: 15 cái/hộp, - Cân nặng: 9650g
- Kích thước hộp: 43*43*13.2cm","NHKTD-100W300X","100","AC 220V","DC 30V","5C","Dim 1 Cấp","Điều chỉnh 3 màu","China"
"NHK","Nguồn HKLED","Nguồn HKLED","NHKTD-240W300X","Nguồn HKLED 250W - Model: NHKTD-240W300X | Dim 1 Cấp (Input: AC 220V / Output: DC 180-300V)","NGUỒN TRÒN ĐÈN LED XƯỞNG 240W
Model: NHKT-240W300X
- Điện áp vào: 100-277V
- Điện áp ra: 180-300V
- Dòng điện ra: 1000mA ±5%
- Chống sét tích hợp: 4.0Kv
- Kích thước SP: F128*58mm - 850g
- Quy cách: 15 cái/hộp, - Cân nặng: 13790g
- Kích thước hộp: 43*43*13.2cm","NHKTD-240W300X","250","AC 220V","DC 30V","5C","Dim 1 Cấp","Điều chỉnh 3 màu","China"
"NDP","Nguồn Done","Nguồn Done","NDP-12W300","Nguồn Done 10W - Model: DL-12W-C300-MPC | Không (Input: AC 220V / Output: DC 21~ 42V)","Nguồn điện DONE 10W (DL-12W-C300-MPC) - 100~277Vac 50/60Hz; Out: 21~ 42Vdc; Output: 0.5A; PF~0.5; Protection: IP67 - 2KV; Size: 79.6*30*20.5mm","DL-12W-C300-MPC","10","AC 220V","DC 30V","5C","Không","",""
"NDP","Nguồn Done","Nguồn Done","NDP-20W600","Nguồn Done 20W - Model: DL-20W-C600-MPC | Không (Input: AC 220V / Output: DC 18~ 36V)","Nguồn điện DONE 20W (DL-20W-C600-MPC) - 100~277Vac 50/60Hz; Out: 18~ 36Vdc; Output: 0.6A; PF~0.95; Protection: IP67 - 2KV; Size: 95.6*30*20.5mm","DL-20W-C600-MPC","20","AC 220V","DC 30V","5C","Không","",""
"NDP","Nguồn Done","Nguồn Done","NDP-30W750","Nguồn Done 30W - Model: DL-30W-C750-MPC | Không (Input: AC 220V / Output: DC 21~42V)","Nguồn điện DONE 30W (DL-30W-C750-MPC) - 100~277Vac 50/60Hz; Out: 21~42Vdc; Output: 0.75A; PF~0.95; Protection: IP67 - 2KV; Size: 104.6*30*20.5mm","DL-30W-C750-MPC","30","AC 220V","DC 30V","5C","Không","",""
"NDP","Nguồn Done","Nguồn Done","NDP-50W1A2","Nguồn Done 50W - Model: DLC-50W1A2-MP | Không (Input: AC 220V / Output: DC 18~36V)","Nguồn điện DONE 50W (DLC-50W1A2-MP) - 100~277Vac 50/60Hz; Out: 18~36Vdc; Output: 1.2A; PF~0.95; Protection: IP67 - 4KV; Size: 108.5*39.5*29.7mm","DLC-50W1A2-MP","50","AC 220V","DC 30V","5C","Không","",""
"NDP","Nguồn Done","Nguồn Done","NDP-50W1A35","Nguồn Done 50W - Model: DLC-50W1A35-MP | Không (Input: AC 220V / Output: DC 18~36V)","Nguồn điện DONE 50W (DLC-50W1A35-MP) - 100~277Vac 50/60Hz; Out: 18~36Vdc; Output: 1.35A; PF~0.95; Protection: IP67 - 4KV; Size: 108.5*39.5*29.7mm","DLC-50W1A35-MP","50","AC 220V","DC 30V","5C","Không","",""
"NDP","Nguồn Done","Nguồn Done","NDP-50W1A5","Nguồn Done 50W - Model: DLC-50W1A5-MP | Không (Input: AC 220V / Output: DC 18~36V)","Nguồn điện DONE 50W (DLC-50W1A5-MP) - 100~277Vac 50/60Hz; Out: 18~36Vdc; Output: 1.5A; PF~0.95; Protection: IP67 - 4KV; Size: 108.5*39.5*29.7mm","DLC-50W1A5-MP","50","AC 220V","DC 30V","5C","Không","",""
"NDP","Nguồn Done","Nguồn Done","NDP-50WC1500","Nguồn Done 50W - Model: DL-50W-C1500-MPC | Không (Input: AC 220V / Output: DC 20~36V)","Nguồn điện DONE 50W (DL-50W-C1500-MPC) - 120~277Vac 50/60Hz; Out: 20~36Vdc; Output: 1.5A; PF~0.95; Protection: IP67 - 6KV; Size: 121.5*39.5*29.5mm","DL-50W-C1500-MPC","50","AC 220V","DC 30V","5C","Không","",""
"NDP","Nguồn Done","Nguồn Done","NDP-50WC1050","Nguồn Done 50W - Model: DL-50W-C1050-MPC | Không (Input: AC 220V / Output: DC 25~50V)","Nguồn điện DONE 50W (DL-50W-C1050-MPC) - 120~277Vac 50/60Hz; Out: 25~50Vdc; Output: 1.05A; PF~0.95; Protection: IP67 - 6KV; Size: 121.5*39.5*29.5mm","DL-50W-C1050-MPC","50","AC 220V","DC 30V","5C","Không","",""
"NDP","Nguồn Done","Nguồn Done","NDP-50W38A","Nguồn Done 50W - Model: DL-50H-38A-MAL | Dim 1 Cấp (Input: AC 220V / Output: DC 20~38V)","Nguồn điện DONE 50W (DL-50H-38A-MAL) - 100~277Vac 50/60Hz; Out: 20~38Vdc; Output: 0.7-1.6A; PF~0.95; Protection: IP67 - 6KV; Size: 126*41*29mm","DL-50H-38A-MAL","50","AC 220V","DC 30V","5C","Dim 1 Cấp","",""
"NDP","Nguồn Done","Nguồn Done","NDP-100W38A","Nguồn Done 100W - Model: DL-100H-38A-MAL | Dim 1 Cấp (Input: AC 220V / Output: DC 20~38V)","Nguồn điện DONE 100W (DL-100H-38A-MAL) - 100~277Vac 50/60Hz; Out: 20~38Vdc; Output: 1.8-3.2A; PF~0.95; Protection: IP67 - 6KV; Size: 143*49*31mm","DL-100H-38A-MAL","100","AC 220V","DC 30V","5C","Dim 1 Cấp","",""
"NDP","Nguồn Done","Nguồn Done","NDP-150W38A","Nguồn Done 150W - Model: DL-150H-38A-MAL | Dim 1 Cấp (Input: AC 220V / Output: DC 20~38V)","Nguồn điện DONE 150W (DL-150H-38A-MAL) - 100~277Vac 50/60Hz; Out: 20~38Vdc; Output: 2.8-5.0A; PF~0.95; Protection: IP67 - 6KV; Size: 176*57*32mm","DL-150H-38A-MAL","150","AC 220V","DC 30V","5C","Dim 1 Cấp","",""
"NDP","Nguồn Done","Nguồn Done","NDP-200W38A","Nguồn Done 200W - Model: DL-200H-38A-MAL | Dim 1 Cấp (Input: AC 220V / Output: DC 20~38V)","Nguồn điện DONE 200W (DL-200H-38A-MAL) - 100~277Vac 50/60Hz; Out: 20~38Vdc; Output: 3.7-6.7A; PF~0.95; Protection: IP67 - 6KV; Size: 186*60*38mm","DL-200H-38A-MAL","200","AC 220V","DC 30V","5C","Dim 1 Cấp","",""
"NDP","Nguồn Done","Nguồn Done","NDP-50W56P","Nguồn Done 50W - Model: DL-50H-56P-MXC | Dim 5 Cấp (Input: AC 220V / Output: DC 25~56V)","Nguồn điện DONE 50W (DL-50H-56P-MXC) - 100~277Vac 50/60Hz; Out: 25~56Vdc; Output: 0.4-1.7A; PF~0.95; Protection: IP67 - 6KV; Size: 105*53*27mm / 32Pcs/Box","DL-50H-56P-MXC","50","AC 220V","DC 30V","5C","Dim 5 Cấp","",""
"NDP","Nguồn Done","Nguồn Done","NDP-100W56P","Nguồn Done 100W - Model: DL-100H-56P-MXC | Dim 5 Cấp (Input: AC 220V / Output: DC 25~56V)
","Nguồn điện DONE 100W DIM 5 cấp (DL-100H-56P-MXC) - 100~277Vac 50/60Hz; Out: 25~56Vdc; Output: 1.34-2.50A; PF~0.95; Protection: IP67 - 6KV; Size: 105*63*30mm / 32Pcs/Box","DL-100H-56P-MXC","100","AC 220V","DC 30V","5C","Dim 5 Cấp","",""
"NDP","Nguồn Done","Nguồn Done","NDP-150W56P","Nguồn Done 150W - Model: DL-150H-56P-MXC | Dim 5 Cấp (Input: AC 220V / Output: DC 25~56V)","Nguồn điện DONE 150W DIM 5 cấp (DL-150H-56P-MXC) - 100~277Vac 50/60Hz; Out: 25~56Vdc; Output: 1.78-4.2A; PF~0.95; Protection: IP67 - 6KV; Size: 164*53*32.5mm / 24Pcs/Box","DL-150H-56P-MXC","150","AC 220V","DC 30V","5C","Dim 5 Cấp","",""
"NDP","Nguồn Done","Nguồn Done","NDP-200W56P","Nguồn Done 200W - Model: DL-200H-56P-MXC | Dim 5 Cấp (Input: AC 220V / Output: DC 25~56V)","Nguồn điện DONE 200W DIM 5 cấp (DL-200H-56P-MXC) - 100~277Vac 50/60Hz; Out: 25~56Vdc; Output: 2.6-5.60A; PF~0.95; Protection: IP67 - 6KV; Size: 186*60*38mm/ 18Pcs/Box","DL-200H-56P-MXC","200","AC 220V","DC 30V","5C","Dim 5 Cấp","",""
"NDP","Nguồn Done","Nguồn Done","NDP-240W56P","Nguồn Done 250W - Model: DL-240H-56A-MXC | Dim 5 Cấp (Input: AC 220V / Output: DC 25~56V)","Nguồn điện DONE 240W (DL-240H-56A-MXC) - 100~277Vac 50/60Hz; Out: 25～56Vdc; Output: 3.50-6.70A; PF~0.95; Protection: IP67 - 6KV; Size: 186*60*38mm","DL-240H-56A-MXC","250","AC 220V","DC 30V","5C","Dim 5 Cấp","",""
"NDP","Nguồn Done","Nguồn Done","NDP-320W56P","Nguồn Done 300W - Model: DL-320H-56A-MXC | Dim 5 Cấp (Input: AC 220V / Output: DC 25~56V)","Nguồn điện DONE 320W (DL-320H-56A-MXC) - 100~277Vac 50/60Hz; Out: 25～56Vdc; Output: 4.20-7.65A; PF~0.95; Protection: IP67 - 6KV; Size: 230*67*38mm","DL-320H-56A-MXC","300","AC 220V","DC 30V","5C","Dim 5 Cấp","",""
"NPL","Nguồn Philips","Nguồn Philips","NPLA-065W","Nguồn Philips 65W - Model: Xi EP LV 65W 0.9-2.2A WL I120 | Dim 1 Cấp (Input: AC 220V / Output: DC 24-50V)","Nguồn Philips AOC DIM 1 cấp công suất 65W Xi EP LV 65W 0.9-2.2A WL I120","Xi EP LV 65W 0.9-2.2A WL I120","65","AC 220V","DC 30V","5C","Dim 1 Cấp","",""
"NPL","Nguồn Philips","Nguồn Philips","NPLA-100W","Nguồn Philips 100W - Model: Xi EP LV 100W 1.3-3.4A WL I155 | Dim 1 Cấp (Input: AC 220V / Output: DC 24-50V)","Nguồn Philips AOC DIM 1 cấp công suất 100W Xi EP LV 100W 1.3-3.4A WL I155","Xi EP LV 100W 1.3-3.4A WL I155","100","AC 220V","DC 30V","5C","Dim 1 Cấp","",""
"NPL","Nguồn Philips","Nguồn Philips","NPLA-150W","Nguồn Philips 150W - Model: Xi EP LV 150W 2.0-5.0A WL I175 | Dim 1 Cấp (Input: AC 220V / Output: DC 24-50V)","Nguồn Philips AOC DIM 1 cấp công suất 150W Xi EP LV 150W 2.0-5.0A WL I175","Xi EP LV 150W 2.0-5.0A WL I175","150","AC 220V","DC 30V","5C","Dim 1 Cấp","",""
"NPL","Nguồn Philips","Nguồn Philips","NPLA-200W","Nguồn Philips 200W - Model: Xi EP LV 200W 3.0-6.7A WL I195 | Dim 1 Cấp (Input: AC 220V / Output: DC 24-50V)","Nguồn Philips AOC DIM 1 cấp công suất 200W Xi EP LV 200W 3.0-6.7A WL I195","Xi EP LV 200W 3.0-6.7A WL I195","200","AC 220V","DC 30V","5C","Dim 1 Cấp","",""
"NPL","Nguồn Philips","Nguồn Philips","NPLA-250W","Nguồn Philips 250W - Model: Xi EP LV 250W 4.0-8.3A WL I195 | Dim 1 Cấp (Input: AC 220V / Output: DC 24-50V)","Nguồn Philips AOC DIM 1 cấp công suất 250W Xi EP LV 250W 4.0-8.3A WL I215","Xi EP LV 250W 4.0-8.3A WL I195","250","AC 220V","DC 30V","5C","Dim 1 Cấp","",""
"NPL","Nguồn Philips","Nguồn Philips","NPLD-065W","Nguồn Philips 65W - Model: Xi LP 65W 0.3-1.05A S1 WL I150  | Dim 5 Cấp (Input: AC 220V / Output: DC 30-100V)","Nguồn Philips DIM 5 cấp công suất 65W Xi LP 65W 0.3-1.05A S1 WL I150","Xi LP 65W 0.3-1.05A S1 WL I150","65","AC 220V","Điện áp cao","5C","Dim 5 Cấp","",""
"NPL","Nguồn Philips","Nguồn Philips","NPLD-100W","Nguồn Philips 100W - Model: Xi LP 100W 0.3-1.05A S1 WL I155 | Dim 10 Cấp (Input: AC 220V / Output: DC 46-143V)","Nguồn Philips DIM 5 cấp công suất 100W Xi LP 100W 0.3-1.05A S1 WL I155 - (Điện áp cao)","Xi LP 100W 0.3-1.05A S1 WL I155","100","AC 220V","Điện áp cao","5C","Dim 10 Cấp","",""
"NPL","Nguồn Philips","Nguồn Philips","NPLD-100W-T","Nguồn Philips 100W - Model: Xi LP 100W 0.5-1.5A S1 WL I155 | Dim 10 Cấp (Input: AC 220V / Output: DC 33-100V)","Nguồn Philips DIM 5 cấp công suất 100W Xi LP 100W 0.5-1.5A S1 WL I155 - (Điện áp thấp)","Xi LP 100W 0.5-1.5A S1 WL I155","100","AC 220V","Điện áp cao","5C","Dim 5 Cấp","",""
"NPL","Nguồn Philips","Nguồn Philips","NPLD-150W","Nguồn Philips 150W - Model: Xi LP 150W 0.3-1.05A S1 WL I175 | Dim 10 Cấp (Input: AC 220V / Output: DC 71-214V)","Nguồn Philips DIM 5 cấp công suất 150W Xi LP 150W 0.3-1.05A S1 WL I175 - (Điện áp cao)","Xi LP 150W 0.3-1.05A S1 WL I175","150","AC 220V","Điện áp cao","5C","Dim 10 Cấp","",""
"NPL","Nguồn Philips","Nguồn Philips","NPLD-150W-T","Nguồn Philips 150W - Model: Xi LP 150W 0.5-1.5A S1 WL I175 | Dim 10 Cấp (Input: AC 220V / Output: DC 50-150V)","Nguồn Philips DIM 5 cấp công suất 150W Xi LP 150W 0.5-1.5A S1 WL I175 - (Điện áp thấp)","Xi LP 150W 0.5-1.5A S1 WL I175","150","AC 220V","Điện áp cao","5C","Dim 5 Cấp","",""
