"Mã sản phẩm","Item Group","Tên sản phẩm","Phương pháp bổ sung","Mã đặc tính","Tên đặc tính","Công suất","Phân loại gioăng"
"PZK-VDPT","(PZK) Gioăng kính/Lens","Gioăng kính đèn pha dùng chung PTC/PTR","Mua hàng","PZK-VDPTC500","Gioăng kính đèn pha dùng chung PTC/PTR Công suất 500W","500",""
"PZK-VDPT","(PZK) Gioăng kính/Lens","Gioăng kính đèn pha dùng chung PTC/PTR","Mua hàng","PZK-VDPTC600","Gioăng kính đèn pha dùng chung PTC/PTR Công suất 600W","600",""
"PZK-VDPTV","(PZK) Gioăng kính/Lens","Gioăng kính đèn pha vuông PTV","Mua hàng","PZK-VDPTVC100","Gioăng kính đèn pha vuông PTV Công suất 100W","100",""
"PZK-VDPTV","(PZK) Gioăng kính/Lens","Gioăng kính đèn pha vuông PTV","Mua hàng","PZK-VDPTVC150","Gioăng kính đèn pha vuông PTV Công suất 150W","150",""
"PZK-VDPTV","(PZK) Gioăng kính/Lens","Gioăng kính đèn pha vuông PTV","Mua hàng","PZK-VDPTVC200","Gioăng kính đèn pha vuông PTV Công suất 200W","200",""
"PZK-VDPTV","(PZK) Gioăng kính/Lens","Gioăng kính đèn pha vuông PTV","Mua hàng","PZK-VDPTVC300","Gioăng kính đèn pha vuông PTV Công suất 300W","300",""
"PZK-VDPTV","(PZK) Gioăng kính/Lens","Gioăng kính đèn pha vuông PTV","Mua hàng","PZK-VDPTVC400","Gioăng kính đèn pha vuông PTV Công suất 400W","400",""
"PZK-VDPTV","(PZK) Gioăng kính/Lens","Gioăng kính đèn pha vuông PTV","Mua hàng","PZK-VDPTVC500","Gioăng kính đèn pha vuông PTV Công suất 500W","500",""
"PZK-VDPXH","(PZK) Gioăng kính/Lens","Gioăng kính đèn pha rọi xám PXH","Mua hàng","PZK-VDPXHC010","Gioăng kính đèn pha rọi xám PXH Công suất 10W","10",""
"PZK-VDPXH","(PZK) Gioăng kính/Lens","Gioăng kính đèn pha rọi xám PXH","Mua hàng","PZK-VDPXHC010","Gioăng kính đèn pha rọi xám PXH Công suất 10W","10",""
"PZK-VDPXH","(PZK) Gioăng kính/Lens","Gioăng kính đèn pha rọi xám PXH","Mua hàng","PZK-VDPXHC020","Gioăng kính đèn pha rọi xám PXH Công suất 20W","20",""
"PZK-VDPXH","(PZK) Gioăng kính/Lens","Gioăng kính đèn pha rọi xám PXH","Mua hàng","PZK-VDPXHC030","Gioăng kính đèn pha rọi xám PXH Công suất 30W","30",""
"PZK-VDPXH","(PZK) Gioăng kính/Lens","Gioăng kính đèn pha rọi xám PXH","Mua hàng","PZK-VDPXHC050","Gioăng kính đèn pha rọi xám PXH Công suất 50W","50",""
"PZK-VDPXH","(PZK) Gioăng kính/Lens","Gioăng kính đèn pha rọi xám PXH","Mua hàng","PZK-VDPXHC100","Gioăng kính đèn pha rọi xám PXH Công suất 100W","100",""
"PZK-VDPXH","(PZK) Gioăng kính/Lens","Gioăng kính đèn pha rọi xám PXH","Mua hàng","PZK-VDPXHC250","Gioăng kính đèn pha rọi xám PXH Công suất 250W","250",""
"PZK-VDPXH","(PZK) Gioăng kính/Lens","Gioăng kính đèn pha rọi xám PXH","Mua hàng","PZK-VDPXHC300-2H","Gioăng kính đèn pha rọi xám PXH Công suất 300W - 2 hàng LED","300","2 hàng LED"
"PZK-VDPXH","(PZK) Gioăng kính/Lens","Gioăng kính đèn pha rọi xám PXH","Mua hàng","PZK-VDPXHC400-2H","Gioăng kính đèn pha rọi xám PXH Công suất 400W - 2 hàng LED","400","2 hàng LED"
"PZK-VDPXH","(PZK) Gioăng kính/Lens","Gioăng kính đèn pha rọi xám PXH","Mua hàng","PZK-VDPXHC500-2H","Gioăng kính đèn pha rọi xám PXH Công suất 500W - 2 hàng LED","500","2 hàng LED"
"PZK-VDPKD","(PZK) Gioăng kính/Lens","Gioăng lens đèn pha kẻ dọc PKD","Mua hàng","","","",""
"PZK-VDPVL","(PZK) Gioăng kính/Lens","Gioăng kính đèn pha viền mắt lồi PVL","Mua hàng","PZK-VDPVLC100","Gioăng kính đèn pha viền mắt lồi PVL Công suất 100W","100",""
"PZK-VDPVL","(PZK) Gioăng kính/Lens","Gioăng kính đèn pha viền mắt lồi PVL","Mua hàng","PZK-VDPVLC150","Gioăng kính đèn pha viền mắt lồi PVL Công suất 150W","150",""
"PZK-VDPVL","(PZK) Gioăng kính/Lens","Gioăng kính đèn pha viền mắt lồi PVL","Mua hàng","PZK-VDPVLC200","Gioăng kính đèn pha viền mắt lồi PVL Công suất 200W","200",""
"PZK-VDPVL","(PZK) Gioăng kính/Lens","Gioăng kính đèn pha viền mắt lồi PVL","Mua hàng","PZK-VDPVLC250","Gioăng kính đèn pha viền mắt lồi PVL Công suất 250W","250",""
"PZK-VDPVL","(PZK) Gioăng kính/Lens","Gioăng kính đèn pha viền mắt lồi PVL","Mua hàng","PZK-VDPVLC300","Gioăng kính đèn pha viền mắt lồi PVL Công suất 300W","300",""
"PZK-VDPVL","(PZK) Gioăng kính/Lens","Gioăng kính đèn pha viền mắt lồi PVL","Mua hàng","PZK-VDPVLC400","Gioăng kính đèn pha viền mắt lồi PVL Công suất 400W","400",""
"PZK-VDPCC","(PZK) Gioăng kính/Lens","Gioăng kính đèn pha cầu cảng PCC","Mua hàng","PZK-VDPCCS400-BK","Gioăng kính đèn pha cầu cảng PCC Công suất 400W - Đen","400","Đen"
"PZK-VDPCC","(PZK) Gioăng kính/Lens","Gioăng kính đèn pha cầu cảng PCC","Mua hàng","PZK-VDPCCS600-GY","Gioăng kính đèn pha cầu cảng PCC Công suất 600W - Xám","600","Xám"
"PZK-VDPCC","(PZK) Gioăng kính/Lens","Gioăng kính đèn pha cầu cảng PCC","Mua hàng","PZK-VDPCCS1K0-GY","Gioăng kính đèn pha cầu cảng PCC Công suất 1000W - Xám","1000","Xám"
"PZK-VDPCT","(PZK) Gioăng kính/Lens","Gioăng kính đèn pha cẩu tháp PCT","Mua hàng","PZK-VDPCTS500","Gioăng kính đèn pha cẩu tháp PCT Công suất 500W","500",""
"PZK-VDPCT","(PZK) Gioăng kính/Lens","Gioăng kính đèn pha cẩu tháp PCT","Mua hàng","PZK-VDPCTS1K0","Gioăng kính đèn pha cẩu tháp PCT Công suất 1000W","1000",""
"PZK-VDPCT","(PZK) Gioăng kính/Lens","Gioăng kính đèn pha cẩu tháp PCT","Mua hàng","PZK-VDPCTS1K5","Gioăng kính đèn pha cẩu tháp PCT Công suất 1500W","1500",""
"PZK-VDPVD","(PZK) Gioăng kính/Lens","Gioăng kính đèn pha sân vận động PVD","Mua hàng","PZK-VDPVDS200","Gioăng kính đèn pha sân vận động PVD Công suất 200W","200",""
"PZK-VDPVD","(PZK) Gioăng kính/Lens","Gioăng kính đèn pha sân vận động PVD","Mua hàng","PZK-VDPVDS600","Gioăng kính đèn pha sân vận động PVD Công suất 600W","600",""
"PZK-VDPVD","(PZK) Gioăng kính/Lens","Gioăng kính đèn pha sân vận động PVD","Mua hàng","PZK-VDPVDS1K0","Gioăng kính đèn pha sân vận động PVD Công suất 1000W","1000",""
"PZK-VDX01","(PZK) Gioăng kính/Lens","Gioăng lens đèn nhà xưởng UFO X01","Mua hàng","PZK-VDX01S050","Gioăng lens đèn nhà xưởng UFO X01 Công suất 50W","50",""
"PZK-VDX01","(PZK) Gioăng kính/Lens","Gioăng lens đèn nhà xưởng UFO X01","Mua hàng","PZK-VDX01S100","Gioăng lens đèn nhà xưởng UFO X01 Công suất 100W","100",""
"PZK-VDX01","(PZK) Gioăng kính/Lens","Gioăng lens đèn nhà xưởng UFO X01","Mua hàng","PZK-VDX01S150","Gioăng lens đèn nhà xưởng UFO X01 Công suất 150W","150",""
"PZK-VDX01","(PZK) Gioăng kính/Lens","Gioăng lens đèn nhà xưởng UFO X01","Mua hàng","PZK-VDX01S200","Gioăng lens đèn nhà xưởng UFO X01 Công suất 200W","200",""
"PZK-VDX02","(PZK) Gioăng kính/Lens","Gioăng lens đèn nhà xưởng UFO X02","Mua hàng","PZK-VDX02S100","Gioăng lens đèn nhà xưởng UFO X02 Công suất 100W","100",""
"PZK-VDX02","(PZK) Gioăng kính/Lens","Gioăng lens đèn nhà xưởng UFO X02","Mua hàng","PZK-VDX02S150","Gioăng lens đèn nhà xưởng UFO X02 Công suất 150W","150",""
"PZK-VDX02","(PZK) Gioăng kính/Lens","Gioăng lens đèn nhà xưởng UFO X02","Mua hàng","PZK-VDX02S200","Gioăng lens đèn nhà xưởng UFO X02 Công suất 200W","200",""
"PZK-VDX03","(PZK) Gioăng kính/Lens","Gioăng lens đèn nhà xưởng UFO X03","Mua hàng","PZK-VDX03S100","Gioăng lens đèn nhà xưởng UFO X03 Công suất 100W","100",""
"PZK-VDX03","(PZK) Gioăng kính/Lens","Gioăng lens đèn nhà xưởng UFO X03","Mua hàng","PZK-VDX03S150","Gioăng lens đèn nhà xưởng UFO X03 Công suất 150W","150",""
"PZK-VDX03","(PZK) Gioăng kính/Lens","Gioăng lens đèn nhà xưởng UFO X03","Mua hàng","PZK-VDX03S200","Gioăng lens đèn nhà xưởng UFO X03 Công suất 200W","200",""
"PZK-VDX03","(PZK) Gioăng kính/Lens","Gioăng lens đèn nhà xưởng UFO X03","Mua hàng","PZK-VDX03S250","Gioăng lens đèn nhà xưởng UFO X03 Công suất 250W","250",""
"PZK-VDXTT","(PZK) Gioăng kính/Lens","Gioăng lens đèn nhà xưởng thể thao XTT","Mua hàng","","","",""
"PZK-VDNU1","(PZK) Gioăng kính/Lens","Gioăng lens đèn phòng nổ UFO NU1","Mua hàng","","","",""
"PZK-VDNU2","(PZK) Gioăng kính/Lens","Gioăng kính đèn phòng nổ UFO NU2","Mua hàng","PZK-VDNU2S100","Gioăng kính đèn phòng nổ UFO NU2 Công suất 100W","100",""
"PZK-VDNU2","(PZK) Gioăng kính/Lens","Gioăng kính đèn phòng nổ UFO NU2","Mua hàng","PZK-VDNU2S200","Gioăng kính đèn phòng nổ UFO NU2 Công suất 200W","200",""
"PZK-VDNU2","(PZK) Gioăng kính/Lens","Gioăng kính đèn phòng nổ UFO NU2","Mua hàng","PZK-VDNU2S250","Gioăng kính đèn phòng nổ UFO NU2 Công suất 250W","250",""
"PZK-VDNP1","(PZK) Gioăng kính/Lens","Gioăng kính đèn phòng nổ pha NP1","Mua hàng","PZK-VDNP1S150","Gioăng kính đèn phòng nổ pha NP1 Công suất 150W","150",""
"PZK-VDNP1","(PZK) Gioăng kính/Lens","Gioăng kính đèn phòng nổ pha NP1","Mua hàng","PZK-VDNP1S200","Gioăng kính đèn phòng nổ pha NP1 Công suất 200W","200",""
"PZK-VDNP1","(PZK) Gioăng kính/Lens","Gioăng kính đèn phòng nổ pha NP1","Mua hàng","PZK-VDNP1S400","Gioăng kính đèn phòng nổ pha NP1 Công suất 400W","400",""
"PZK-VDDQL","(PZK) Gioăng kính/Lens","Gioăng lens đèn đường quạt DQL","Mua hàng","PZK-VDDQL-S","Gioăng lens đèn đường quạt DQL - Nhỏ","","Nhỏ"
"PZK-VDDQL","(PZK) Gioăng kính/Lens","Gioăng lens đèn đường quạt DQL","Mua hàng","PZK-VDDQL-L","Gioăng lens đèn đường quạt DQL - To","","To"
"PZK-VDD71","(PZK) Gioăng kính/Lens","Gioăng kính đèn đường BRP371","Mua hàng","","","",""
"PZK-VDD72","(PZK) Gioăng kính/Lens","Gioăng kính đèn đường BRP372","Mua hàng","","","",""
"PZK-VDD73","(PZK) Gioăng kính/Lens","Gioăng kính đèn đường BRP373","Mua hàng","","","",""
"PZK-VDD74","(PZK) Gioăng kính/Lens","Gioăng kính đèn đường BRP374","Mua hàng","","","",""
"PZK-VDD91","(PZK) Gioăng kính/Lens","Gioăng kính đèn đường BRP391","Mua hàng","","","",""
"PZK-VDD92","(PZK) Gioăng kính/Lens","Gioăng kính đèn đường BRP392","Mua hàng","","","",""
"PZK-VDD94","(PZK) Gioăng kính/Lens","Gioăng kính đèn đường BRP394","Mua hàng","","","",""
"PZK-VDD20","(PZK) Gioăng kính/Lens","Gioăng kính đèn đường D20","Mua hàng","PZK-VDD20S050-A","Gioăng kính đèn đường D20 Công suất 50W - Mẫu A","50","Mẫu A"
"PZK-VDD20","(PZK) Gioăng kính/Lens","Gioăng kính đèn đường D20","Mua hàng","PZK-VDD20S100-A","Gioăng kính đèn đường D20 Công suất 100W - Mẫu A","100","Mẫu A"
"PZK-VDD20","(PZK) Gioăng kính/Lens","Gioăng kính đèn đường D20","Mua hàng","PZK-VDD20S150-A","Gioăng kính đèn đường D20 Công suất 150W - Mẫu A","150","Mẫu A"
"PZK-VDD20","(PZK) Gioăng kính/Lens","Gioăng kính đèn đường D20","Mua hàng","PZK-VDD20S200-A","Gioăng kính đèn đường D20 Công suất 200W - Mẫu A","200","Mẫu A"
"PZK-VDD20","(PZK) Gioăng kính/Lens","Gioăng kính đèn đường D20","Mua hàng","PZK-VDD20S050-B","Gioăng kính đèn đường D20 Công suất 50W - Mẫu B","50","Mẫu B"
"PZK-VDD20","(PZK) Gioăng kính/Lens","Gioăng kính đèn đường D20","Mua hàng","PZK-VDD20S100-B","Gioăng kính đèn đường D20 Công suất 100W - Mẫu B","100","Mẫu B"
"PZK-VDD20","(PZK) Gioăng kính/Lens","Gioăng kính đèn đường D20","Mua hàng","PZK-VDD20S150-B","Gioăng kính đèn đường D20 Công suất 150W - Mẫu B","150","Mẫu B"
"PZK-VDD20","(PZK) Gioăng kính/Lens","Gioăng kính đèn đường D20","Mua hàng","PZK-VDD20S200-B","Gioăng kính đèn đường D20 Công suất 200W - Mẫu B","200","Mẫu B"
"PZK-VDD21","(PZK) Gioăng kính/Lens","Gioăng kính đèn đường D21","Mua hàng","PZK-VDD21S050","Gioăng kính đèn đường D21 Công suất 50W","50",""
"PZK-VDD21","(PZK) Gioăng kính/Lens","Gioăng kính đèn đường D21","Mua hàng","PZK-VDD21S100","Gioăng kính đèn đường D21 Công suất 100W","100",""
"PZK-VDD21","(PZK) Gioăng kính/Lens","Gioăng kính đèn đường D21","Mua hàng","PZK-VDD21S150","Gioăng kính đèn đường D21 Công suất 150W","150",""
"PZK-VDD21","(PZK) Gioăng kính/Lens","Gioăng kính đèn đường D21","Mua hàng","PZK-VDD21S200","Gioăng kính đèn đường D21 Công suất 200W","200",""
"PZK-VDD22","(PZK) Gioăng kính/Lens","Gioăng kính đèn đường D22","Mua hàng","PZK-VDD22S050","Gioăng kính đèn đường D22 Công suất 50W","50",""
"PZK-VDD22","(PZK) Gioăng kính/Lens","Gioăng kính đèn đường D22","Mua hàng","PZK-VDD22S100","Gioăng kính đèn đường D22 Công suất 100W","100",""
"PZK-VDD22","(PZK) Gioăng kính/Lens","Gioăng kính đèn đường D22","Mua hàng","PZK-VDD22S150","Gioăng kính đèn đường D22 Công suất 150W","150",""
"PZK-VDD22","(PZK) Gioăng kính/Lens","Gioăng kính đèn đường D22","Mua hàng","PZK-VDD22S200","Gioăng kính đèn đường D22 Công suất 200W","200",""
"PZK-VDD22","(PZK) Gioăng kính/Lens","Gioăng kính đèn đường D22","Mua hàng","PZK-VDD22S250","Gioăng kính đèn đường D22 Công suất 250W","250",""
"PZK-VDD23","(PZK) Gioăng kính/Lens","Gioăng kính đèn đường D23","Mua hàng","PZK-VDD23S050","Gioăng kính đèn đường D23 Công suất 50W","50",""
"PZK-VDD23","(PZK) Gioăng kính/Lens","Gioăng kính đèn đường D23","Mua hàng","PZK-VDD23S100","Gioăng kính đèn đường D23 Công suất 100W","100",""
"PZK-VDD23","(PZK) Gioăng kính/Lens","Gioăng kính đèn đường D23","Mua hàng","PZK-VDD23S150","Gioăng kính đèn đường D23 Công suất 150W","150",""
"PZK-VDD23","(PZK) Gioăng kính/Lens","Gioăng kính đèn đường D23","Mua hàng","PZK-VDD23S200","Gioăng kính đèn đường D23 Công suất 200W","200",""
"PZK-VDD23","(PZK) Gioăng kính/Lens","Gioăng kính đèn đường D23","Mua hàng","PZK-VDD23S250","Gioăng kính đèn đường D23 Công suất 250W","250",""
"PZK-VDD24","(PZK) Gioăng kính/Lens","Gioăng kính đèn đường D24","Mua hàng","PZK-VDD24S050","Gioăng kính đèn đường D24 Công suất 50W","50",""
"PZK-VDD24","(PZK) Gioăng kính/Lens","Gioăng kính đèn đường D24","Mua hàng","PZK-VDD24S100","Gioăng kính đèn đường D24 Công suất 100W","100",""
"PZK-VDD24","(PZK) Gioăng kính/Lens","Gioăng kính đèn đường D24","Mua hàng","PZK-VDD24S150","Gioăng kính đèn đường D24 Công suất 150W","150",""
"PZK-VDD24","(PZK) Gioăng kính/Lens","Gioăng kính đèn đường D24","Mua hàng","PZK-VDD24S200","Gioăng kính đèn đường D24 Công suất 200W","200",""
"PZK-VDD25","(PZK) Gioăng kính/Lens","Gioăng kính đèn đường D25","Mua hàng","PZK-VDD25S050","Gioăng kính đèn đường D25 Công suất 50W","50",""
"PZK-VDD25","(PZK) Gioăng kính/Lens","Gioăng kính đèn đường D25","Mua hàng","PZK-VDD25S100","Gioăng kính đèn đường D25 Công suất 100W","100",""
"PZK-VDD25","(PZK) Gioăng kính/Lens","Gioăng kính đèn đường D25","Mua hàng","PZK-VDD25S150","Gioăng kính đèn đường D25 Công suất 150W","150",""
"PZK-VDD25","(PZK) Gioăng kính/Lens","Gioăng kính đèn đường D25","Mua hàng","PZK-VDD25S200","Gioăng kính đèn đường D25 Công suất 200W","200",""
"PZK-VDD25","(PZK) Gioăng kính/Lens","Gioăng kính đèn đường D25","Mua hàng","PZK-VDD25S250","Gioăng kính đèn đường D25 Công suất 250W","250",""
"PZK-VDD26","(PZK) Gioăng kính/Lens","Gioăng kính đèn đường D26","Mua hàng","PZK-VDD26S050","Gioăng kính đèn đường D26 Công suất 50W","50",""
"PZK-VDD26","(PZK) Gioăng kính/Lens","Gioăng kính đèn đường D26","Mua hàng","PZK-VDD26S100","Gioăng kính đèn đường D26 Công suất 100W","100",""
"PZK-VDD26","(PZK) Gioăng kính/Lens","Gioăng kính đèn đường D26","Mua hàng","PZK-VDD26S150","Gioăng kính đèn đường D26 Công suất 150W","150",""
"PZK-VDD26","(PZK) Gioăng kính/Lens","Gioăng kính đèn đường D26","Mua hàng","PZK-VDD26S200","Gioăng kính đèn đường D26 Công suất 200W","200",""
"PZK-VDD26","(PZK) Gioăng kính/Lens","Gioăng kính đèn đường D26","Mua hàng","PZK-VDD26S250","Gioăng kính đèn đường D26 Công suất 250W","250",""
"PZK-VDDS1","(PZK) Gioăng kính/Lens","Gioăng lens đèn đường DS1","Mua hàng","PZK-VDDS1S050","Gioăng lens đèn đường DS1 Công suất 50W","50",""
"PZK-VDDS1","(PZK) Gioăng kính/Lens","Gioăng lens đèn đường DS1","Mua hàng","PZK-VDDS1S100","Gioăng lens đèn đường DS1 Công suất 100W","100",""
"PZK-VDDS1","(PZK) Gioăng kính/Lens","Gioăng lens đèn đường DS1","Mua hàng","PZK-VDDS1S150","Gioăng lens đèn đường DS1 Công suất 150W","150",""
"PZK-VDPS1","(PZK) Gioăng kính/Lens","Gioăng lens đèn pha PS1","Mua hàng","PZK-VDPS1S100","Gioăng lens đèn pha PS1 Công suất 100W","100",""
"PZK-VDPS1","(PZK) Gioăng kính/Lens","Gioăng lens đèn pha PS1","Mua hàng","PZK-VDPS1S200","Gioăng lens đèn pha PS1 Công suất 200W","200",""
