"Mã sản phẩm","Tên sản phẩm","Nhóm sản phẩm","Phương pháp bổ sung","Mã biến thể","Tên biến thể","Công suất","Phân loại kính"
"PKI-VDPTC","Kính đèn pha tròn PTC","(PKI) Kính","Mua hàng","PKI-VDPTCC150-67","Kính đèn pha tròn PTC Công suất 150W - IP67","150W","IP67"
"PKI-VDPTC","Kính đèn pha tròn PTC","(PKI) Kính","Mua hàng","PKI-VDPTCC200-67","Kính đèn pha tròn PTC Công suất 200W - IP67","200W","IP67"
"PKI-VDPTC","Kính đèn pha tròn PTC","(PKI) Kính","Mua hàng","PKI-VDPTCC250-67","Kính đèn pha tròn PTC Công suất 250W - IP67","250W","IP67"
"PKI-VDPTC","Kính đèn pha tròn PTC","(PKI) Kính","Mua hàng","PKI-VDPTCC300-67","Kính đèn pha tròn PTC Công suất 300W - IP67","300W","IP67"
"PKI-VDPTC","Kính đèn pha tròn PTC","(PKI) Kính","Mua hàng","PKI-VDPTCC400-67","Kính đèn pha tròn PTC Công suất 400W - IP67","400W","IP67"
"PKI-VDPTC","Kính đèn pha tròn PTC","(PKI) Kính","Mua hàng","PKI-VDPTCC500-67","Kính đèn pha tròn PTC Công suất 500W - IP67","500W","IP67"
"PKI-VDPTC","Kính đèn pha tròn PTC","(PKI) Kính","Mua hàng","PKI-VDPTCC600-67","Kính đèn pha tròn PTC Công suất 600W - IP67","600W","IP67"
"PKI-VDPTR","Kính đèn pha chóa rộng PTR","(PKI) Kính","Mua hàng","PKI-VDPTRC010-65","Kính đèn pha chóa rộng PTR Công suất 10W - IP65","10W","IP65"
"PKI-VDPTR","Kính đèn pha chóa rộng PTR","(PKI) Kính","Mua hàng","PKI-VDPTRC020-65","Kính đèn pha chóa rộng PTR Công suất 20W - IP65","20W","IP65"
"PKI-VDPTR","Kính đèn pha chóa rộng PTR","(PKI) Kính","Mua hàng","PKI-VDPTRC030-65","Kính đèn pha chóa rộng PTR Công suất 30W - IP65","30W","IP65"
"PKI-VDPTR","Kính đèn pha chóa rộng PTR","(PKI) Kính","Mua hàng","PKI-VDPTRC050-65","Kính đèn pha chóa rộng PTR Công suất 50W - IP65","50W","IP65"
"PKI-VDPTR","Kính đèn pha chóa rộng PTR","(PKI) Kính","Mua hàng","PKI-VDPTRC100-65","Kính đèn pha chóa rộng PTR Công suất 100W - IP65","100W","IP65"
"PKI-VDPTR","Kính đèn pha chóa rộng PTR","(PKI) Kính","Mua hàng","PKI-VDPTRC150-65","Kính đèn pha chóa rộng PTR Công suất 150W - IP65","150W","IP65"
"PKI-VDPTR","Kính đèn pha chóa rộng PTR","(PKI) Kính","Mua hàng","PKI-VDPTRC200-65","Kính đèn pha chóa rộng PTR Công suất 200W - IP65","200W","IP65"
"PKI-VDPTR","Kính đèn pha chóa rộng PTR","(PKI) Kính","Mua hàng","PKI-VDPTRC300-65","Kính đèn pha chóa rộng PTR Công suất 300W - IP65","300W","IP65"
"PKI-VDPTR","Kính đèn pha chóa rộng PTR","(PKI) Kính","Mua hàng","PKI-VDPTRC400-65","Kính đèn pha chóa rộng PTR Công suất 400W - IP65","400W","IP65"
"PKI-VDPTR","Kính đèn pha chóa rộng PTR","(PKI) Kính","Mua hàng","PKI-VDPTRC010-66","Kính đèn pha chóa rộng PTR Công suất 10W - IP66","10W","IP66"
"PKI-VDPTR","Kính đèn pha chóa rộng PTR","(PKI) Kính","Mua hàng","PKI-VDPTRC020-66","Kính đèn pha chóa rộng PTR Công suất 20W - IP66","20W","IP66"
"PKI-VDPTR","Kính đèn pha chóa rộng PTR","(PKI) Kính","Mua hàng","PKI-VDPTRC030-66","Kính đèn pha chóa rộng PTR Công suất 30W - IP66","30W","IP66"
"PKI-VDPTR","Kính đèn pha chóa rộng PTR","(PKI) Kính","Mua hàng","PKI-VDPTRC050-66","Kính đèn pha chóa rộng PTR Công suất 50W - IP66","50W","IP66"
"PKI-VDPTR","Kính đèn pha chóa rộng PTR","(PKI) Kính","Mua hàng","PKI-VDPTRC100-66","Kính đèn pha chóa rộng PTR Công suất 100W - IP66","100W","IP66"
"PKI-VDPTR","Kính đèn pha chóa rộng PTR","(PKI) Kính","Mua hàng","PKI-VDPTRC150-66","Kính đèn pha chóa rộng PTR Công suất 150W - IP66","150W","IP66"
"PKI-VDPTR","Kính đèn pha chóa rộng PTR","(PKI) Kính","Mua hàng","PKI-VDPTRC200-66","Kính đèn pha chóa rộng PTR Công suất 200W - IP66","200W","IP66"
"PKI-VDPTR","Kính đèn pha chóa rộng PTR","(PKI) Kính","Mua hàng","PKI-VDPTRC300-66","Kính đèn pha chóa rộng PTR Công suất 300W - IP66","300W","IP66"
"PKI-VDPTR","Kính đèn pha chóa rộng PTR","(PKI) Kính","Mua hàng","PKI-VDPTRC400-66","Kính đèn pha chóa rộng PTR Công suất 400W - IP66","400W","IP66"
"PKI-VDPXH","Kính đèn pha rọi xám PXH","(PKI) Kính","Mua hàng","PKI-VDPXHC010","Kính đèn pha rọi xám PXH Công suất 10W","10W",""
"PKI-VDPXH","Kính đèn pha rọi xám PXH","(PKI) Kính","Mua hàng","PKI-VDPXHC020","Kính đèn pha rọi xám PXH Công suất 20W","20W",""
"PKI-VDPXH","Kính đèn pha rọi xám PXH","(PKI) Kính","Mua hàng","PKI-VDPXHC030","Kính đèn pha rọi xám PXH Công suất 30W","30W",""
"PKI-VDPXH","Kính đèn pha rọi xám PXH","(PKI) Kính","Mua hàng","PKI-VDPXHC050","Kính đèn pha rọi xám PXH Công suất 50W","50W",""
"PKI-VDPXH","Kính đèn pha rọi xám PXH","(PKI) Kính","Mua hàng","PKI-VDPXHC100","Kính đèn pha rọi xám PXH Công suất 100W","100W",""
"PKI-VDPXH","Kính đèn pha rọi xám PXH","(PKI) Kính","Mua hàng","PKI-VDPXHC150","Kính đèn pha rọi xám PXH Công suất 150W","150W",""
"PKI-VDPXH","Kính đèn pha rọi xám PXH","(PKI) Kính","Mua hàng","PKI-VDPXHC200","Kính đèn pha rọi xám PXH Công suất 200W","200W",""
"PKI-VDPXH","Kính đèn pha rọi xám PXH","(PKI) Kính","Mua hàng","PKI-VDPXHC250","Kính đèn pha rọi xám PXH Công suất 250W","250W",""
"PKI-VDPXH","Kính đèn pha rọi xám PXH","(PKI) Kính","Mua hàng","PKI-VDPXHC300-2H","Kính đèn pha rọi xám PXH Công suất 300W - 2 hàng","300W","2 hàng"
"PKI-VDPXH","Kính đèn pha rọi xám PXH","(PKI) Kính","Mua hàng","PKI-VDPXHC400-2H","Kính đèn pha rọi xám PXH Công suất 400W - 2 hàng","400W","2 hàng"
"PKI-VDPXH","Kính đèn pha rọi xám PXH","(PKI) Kính","Mua hàng","PKI-VDPXHC500-2H","Kính đèn pha rọi xám PXH Công suất 500W - 2 hàng","500W","2 hàng"
"PKI-VDPTV","Kính đèn pha vuông PTV","(PKI) Kính","Mua hàng","PKI-VDPTVC100-66","Kính đèn pha vuông PTV Công suất 100W - IP66","100W","IP66"
"PKI-VDPTV","Kính đèn pha vuông PTV","(PKI) Kính","Mua hàng","PKI-VDPTVC150-66","Kính đèn pha vuông PTV Công suất 150W - IP66","150W","IP66"
"PKI-VDPTV","Kính đèn pha vuông PTV","(PKI) Kính","Mua hàng","PKI-VDPTVC200-66","Kính đèn pha vuông PTV Công suất 200W - IP66","200W","IP66"
"PKI-VDPTV","Kính đèn pha vuông PTV","(PKI) Kính","Mua hàng","PKI-VDPTVC300-66","Kính đèn pha vuông PTV Công suất 300W - IP66","300W","IP66"
"PKI-VDPTV","Kính đèn pha vuông PTV","(PKI) Kính","Mua hàng","PKI-VDPTVC400-66","Kính đèn pha vuông PTV Công suất 400W - IP66","400W","IP66"
"PKI-VDPTV","Kính đèn pha vuông PTV","(PKI) Kính","Mua hàng","PKI-VDPTVC500-66","Kính đèn pha vuông PTV Công suất 500W - IP66","500W","IP66"
"PKI-VDPCC","Kính đèn pha cầu cảng PCC","(PKI) Kính","Mua hàng","PKI-VDPCCS400-BK","Kính đèn pha cầu cảng PCC Công suất 400W - Đen","400W","Đen"
"PKI-VDPCC","Kính đèn pha cầu cảng PCC","(PKI) Kính","Mua hàng","PKI-VDPCCS600-GY","Kính đèn pha cầu cảng PCC Công suất 600W - Xám","600W","Xám"
"PKI-VDPCC","Kính đèn pha cầu cảng PCC","(PKI) Kính","Mua hàng","PKI-VDPCCS1K0-GY","Kính đèn pha cầu cảng PCC Công suất 1000W - Xám","1000W","Xám"
"PKI-VDPCT","Kính đèn pha cẩu tháp PCT","(PKI) Kính","Mua hàng","PKI-VDPCTS500","Kính đèn pha cẩu tháp PCT Công suất 500W","500W",""
"PKI-VDPCT","Kính đèn pha cẩu tháp PCT","(PKI) Kính","Mua hàng","PKI-VDPCTS1K0","Kính đèn pha cẩu tháp PCT Công suất 1000W","1000W",""
"PKI-VDPCT","Kính đèn pha cẩu tháp PCT","(PKI) Kính","Mua hàng","PKI-VDPCTS1K5","Kính đèn pha cẩu tháp PCT Công suất 1500W","1500W",""
"PKI-VDPVD","Kính đèn pha sân vận động PVD","(PKI) Kính","Mua hàng","PKI-VDPVDS200","Kính đèn pha sân vận động PVD Công suất 200W","200W",""
"PKI-VDPVD","Kính đèn pha sân vận động PVD","(PKI) Kính","Mua hàng","PKI-VDPVDS600","Kính đèn pha sân vận động PVD Công suất 600W","600W",""
"PKI-VDPVD","Kính đèn pha sân vận động PVD","(PKI) Kính","Mua hàng","PKI-VDPVDS1K0","Kính đèn pha sân vận động PVD Công suất 1000W","1000W",""
"PKI-VDPVL","Kính đèn pha viền mắt lồi PVL","(PKI) Kính","Mua hàng","PKI-VDPVLC100","Kính đèn pha viền mắt lồi PVL Công suất 100W","100W",""
"PKI-VDPVL","Kính đèn pha viền mắt lồi PVL","(PKI) Kính","Mua hàng","PKI-VDPVLC150","Kính đèn pha viền mắt lồi PVL Công suất 150W","150W",""
"PKI-VDPVL","Kính đèn pha viền mắt lồi PVL","(PKI) Kính","Mua hàng","PKI-VDPVLC200","Kính đèn pha viền mắt lồi PVL Công suất 200W","200W",""
"PKI-VDPVL","Kính đèn pha viền mắt lồi PVL","(PKI) Kính","Mua hàng","PKI-VDPVLC250","Kính đèn pha viền mắt lồi PVL Công suất 250W","250W",""
"PKI-VDPVL","Kính đèn pha viền mắt lồi PVL","(PKI) Kính","Mua hàng","PKI-VDPVLC300","Kính đèn pha viền mắt lồi PVL Công suất 300W","300W",""
"PKI-VDPVL","Kính đèn pha viền mắt lồi PVL","(PKI) Kính","Mua hàng","PKI-VDPVLC400","Kính đèn pha viền mắt lồi PVL Công suất 400W","400W",""
"PKI-VDNU2","Kính đèn chống nổ UFO NU2","(PKI) Kính","Mua hàng","PKI-VDNU2S100","Kính đèn chống nổ UFO NU2 Công suất 100W","100W",""
"PKI-VDNU2","Kính đèn chống nổ UFO NU2","(PKI) Kính","Mua hàng","PKI-VDNU2S200","Kính đèn chống nổ UFO NU2 Công suất 200W","200W",""
"PKI-VDNU2","Kính đèn chống nổ UFO NU2","(PKI) Kính","Mua hàng","PKI-VDNU2S250","Kính đèn chống nổ UFO NU2 Công suất 250W","250W",""
"PKI-VDNP1","Kính đèn chống nổ pha NP1","(PKI) Kính","Mua hàng","PKI-VDNP1S150","Kính đèn chống nổ pha NP1 Công suất 150W","150W",""
"PKI-VDNP1","Kính đèn chống nổ pha NP1","(PKI) Kính","Mua hàng","PKI-VDNP1S200","Kính đèn chống nổ pha NP1 Công suất 200W","200W",""
"PKI-VDNP1","Kính đèn chống nổ pha NP1","(PKI) Kính","Mua hàng","PKI-VDNP1S400","Kính đèn chống nổ pha NP1 Công suất 400W","400W",""
"PKI-VDD371","Kính đèn LED đường phố BRP371","(PKI) Kính","Mua hàng","","","",""
"PKI-VDD372","Kính đèn LED đường phố BRP372","(PKI) Kính","Mua hàng","","","",""
"PKI-VDD373","Kính đèn LED đường phố BRP373","(PKI) Kính","Mua hàng","","","",""
"PKI-VDD374","Kính đèn LED đường phố BRP374","(PKI) Kính","Mua hàng","","","",""
"PKI-VDD20","Kính đèn đường D20","(PKI) Kính","Mua hàng","PKI-VDD20S050-A","Kính đèn đường D20 Công suất 50W - Mẫu A","50W","Mẫu A"
"PKI-VDD20","Kính đèn đường D20","(PKI) Kính","Mua hàng","PKI-VDD20S100-A","Kính đèn đường D20 Công suất 100W - Mẫu A","100W","Mẫu A"
"PKI-VDD20","Kính đèn đường D20","(PKI) Kính","Mua hàng","PKI-VDD20S150-A","Kính đèn đường D20 Công suất 150W - Mẫu A","150W","Mẫu A"
"PKI-VDD20","Kính đèn đường D20","(PKI) Kính","Mua hàng","PKI-VDD20S200-A","Kính đèn đường D20 Công suất 200W - Mẫu A","200W","Mẫu A"
"PKI-VDD20","Kính đèn đường D20","(PKI) Kính","Mua hàng","PKI-VDD20S050-B","Kính đèn đường D20 Công suất 50W - Mẫu B","50W","Mẫu B"
"PKI-VDD20","Kính đèn đường D20","(PKI) Kính","Mua hàng","PKI-VDD20S100-B","Kính đèn đường D20 Công suất 100W - Mẫu B","100W","Mẫu B"
"PKI-VDD20","Kính đèn đường D20","(PKI) Kính","Mua hàng","PKI-VDD20S150-B","Kính đèn đường D20 Công suất 150W - Mẫu B","150W","Mẫu B"
"PKI-VDD20","Kính đèn đường D20","(PKI) Kính","Mua hàng","PKI-VDD20S200-B","Kính đèn đường D20 Công suất 200W - Mẫu B","200W","Mẫu B"
"PKI-VDD21","Kính đèn đường D21","(PKI) Kính","Mua hàng","PKI-VDD21S050","Kính đèn đường D21 Công suất 50W","50W",""
"PKI-VDD21","Kính đèn đường D21","(PKI) Kính","Mua hàng","PKI-VDD21S100","Kính đèn đường D21 Công suất 100W","100W",""
"PKI-VDD21","Kính đèn đường D21","(PKI) Kính","Mua hàng","PKI-VDD21S150","Kính đèn đường D21 Công suất 150W","150W",""
"PKI-VDD21","Kính đèn đường D21","(PKI) Kính","Mua hàng","PKI-VDD21S200","Kính đèn đường D21 Công suất 200W","200W",""
"PKI-VDD22","Kính đèn đường D22","(PKI) Kính","Mua hàng","PKI-VDD22S050","Kính đèn đường D22 Công suất 50W","50W",""
"PKI-VDD22","Kính đèn đường D22","(PKI) Kính","Mua hàng","PKI-VDD22S100","Kính đèn đường D22 Công suất 100W","100W",""
"PKI-VDD22","Kính đèn đường D22","(PKI) Kính","Mua hàng","PKI-VDD22S150","Kính đèn đường D22 Công suất 150W","150W",""
"PKI-VDD22","Kính đèn đường D22","(PKI) Kính","Mua hàng","PKI-VDD22S200","Kính đèn đường D22 Công suất 200W","200W",""
"PKI-VDD22","Kính đèn đường D22","(PKI) Kính","Mua hàng","PKI-VDD22S250","Kính đèn đường D22 Công suất 250W","250W",""
"PKI-VDD23","Kính đèn đường D23","(PKI) Kính","Mua hàng","PKI-VDD23S050","Kính đèn đường D23 Công suất 50W","50W",""
"PKI-VDD23","Kính đèn đường D23","(PKI) Kính","Mua hàng","PKI-VDD23S100","Kính đèn đường D23 Công suất 100W","100W",""
"PKI-VDD23","Kính đèn đường D23","(PKI) Kính","Mua hàng","PKI-VDD23S150","Kính đèn đường D23 Công suất 150W","150W",""
"PKI-VDD23","Kính đèn đường D23","(PKI) Kính","Mua hàng","PKI-VDD23S200","Kính đèn đường D23 Công suất 200W","200W",""
"PKI-VDD23","Kính đèn đường D23","(PKI) Kính","Mua hàng","PKI-VDD23S250","Kính đèn đường D23 Công suất 250W","250W",""
"PKI-VDD25","Kính đèn đường D25","(PKI) Kính","Mua hàng","PKI-VDD25S050","Kính đèn đường D25 Công suất 50W","50W",""
"PKI-VDD25","Kính đèn đường D25","(PKI) Kính","Mua hàng","PKI-VDD25S100","Kính đèn đường D25 Công suất 100W","100W",""
"PKI-VDD25","Kính đèn đường D25","(PKI) Kính","Mua hàng","PKI-VDD25S150","Kính đèn đường D25 Công suất 150W","150W",""
"PKI-VDD25","Kính đèn đường D25","(PKI) Kính","Mua hàng","PKI-VDD25S200","Kính đèn đường D25 Công suất 200W","200W",""
"PKI-VDD25","Kính đèn đường D25","(PKI) Kính","Mua hàng","PKI-VDD25S250","Kính đèn đường D25 Công suất 250W","250W",""
"PKI-VDD26","Kính đèn đường D26","(PKI) Kính","Mua hàng","PKI-VDD26S050","Kính đèn đường D26 Công suất 50W","50W",""
"PKI-VDD26","Kính đèn đường D26","(PKI) Kính","Mua hàng","PKI-VDD26S100","Kính đèn đường D26 Công suất 100W","100W",""
"PKI-VDD26","Kính đèn đường D26","(PKI) Kính","Mua hàng","PKI-VDD26S150","Kính đèn đường D26 Công suất 150W","150W",""
"PKI-VDD26","Kính đèn đường D26","(PKI) Kính","Mua hàng","PKI-VDD26S200","Kính đèn đường D26 Công suất 200W","200W",""
"PKI-VDD26","Kính đèn đường D26","(PKI) Kính","Mua hàng","PKI-VDD26S250","Kính đèn đường D26 Công suất 250W","250W",""
