"Mã sản phẩm","Tên sản phẩm","Nhóm sản phẩm","Phương pháp bổ sung","Mã biến thể","Tên biến thể","Công suất","Phân loại nắp"
"PNH-VDD21","Nắp khoang nguồn đèn đường D21","(PNH) Nắp hộp","Mua hàng","PNH-VDD21S050","Nắp khoang nguồn đèn đường D21 Công suất 50W","50W",""
"PNH-VDD21","Nắp khoang nguồn đèn đường D21","(PNH) Nắp hộp","Mua hàng","PNH-VDD21S100","Nắp khoang nguồn đèn đường D21 Công suất 100W","100W",""
"PNH-VDD21","Nắp khoang nguồn đèn đường D21","(PNH) Nắp hộp","Mua hàng","PNH-VDD21S150","Nắp khoang nguồn đèn đường D21 Công suất 150W","150W",""
"PNH-VDD21","Nắp khoang nguồn đèn đường D21","(PNH) Nắp hộp","Mua hàng","PNH-VDD21S200","Nắp khoang nguồn đèn đường D21 Công suất 200W","200W",""
"PNH-VDD21","Nắp khoang nguồn đèn đường D21","(PNH) Nắp hộp","Mua hàng","PNH-VDD21S250","Nắp khoang nguồn đèn đường D21 Công suất 250W","250W",""
"PNH-VDD23","Nắp khoang nguồn đèn đường D23","(PNH) Nắp hộp","Mua hàng","PNH-VDD23S050","Nắp khoang nguồn đèn đường D23 Công suất 50W","50W",""
"PNH-VDD23","Nắp khoang nguồn đèn đường D23","(PNH) Nắp hộp","Mua hàng","PNH-VDD23S100","Nắp khoang nguồn đèn đường D23 Công suất 100W","100W",""
"PNH-VDD23","Nắp khoang nguồn đèn đường D23","(PNH) Nắp hộp","Mua hàng","PNH-VDD23S150","Nắp khoang nguồn đèn đường D23 Công suất 150W","150W",""
"PNH-VDD23","Nắp khoang nguồn đèn đường D23","(PNH) Nắp hộp","Mua hàng","PNH-VDD23S200","Nắp khoang nguồn đèn đường D23 Công suất 200W","200W",""
"PNH-VDD23","Nắp khoang nguồn đèn đường D23","(PNH) Nắp hộp","Mua hàng","PNH-VDD23S250","Nắp khoang nguồn đèn đường D23 Công suất 250W","250W",""
"PNH-VDD26","Nắp khoang nguồn đèn đường D26","(PNH) Nắp hộp","Mua hàng","PNH-VDD26S050","Nắp khoang nguồn đèn đường D26 Công suất 50W","50W",""
"PNH-VDD26","Nắp khoang nguồn đèn đường D26","(PNH) Nắp hộp","Mua hàng","PNH-VDD26S100","Nắp khoang nguồn đèn đường D26 Công suất 100W","100W",""
"PNH-VDD26","Nắp khoang nguồn đèn đường D26","(PNH) Nắp hộp","Mua hàng","PNH-VDD26S150","Nắp khoang nguồn đèn đường D26 Công suất 150W","150W",""
"PNH-VDD26","Nắp khoang nguồn đèn đường D26","(PNH) Nắp hộp","Mua hàng","PNH-VDD26S200","Nắp khoang nguồn đèn đường D26 Công suất 200W","200W",""
"PNH-VDD26","Nắp khoang nguồn đèn đường D26","(PNH) Nắp hộp","Mua hàng","PNH-VDD26S250","Nắp khoang nguồn đèn đường D26 Công suất 250W","250W",""
"PNH-VDD24","Nắp hộp nguồn đèn đường D24","(PNH) Nắp hộp","Mua hàng","PNH-VDD24S050","Nắp hộp nguồn đèn đường D24 Công suất 50W","50W",""
"PNH-VDD24","Nắp hộp nguồn đèn đường D24","(PNH) Nắp hộp","Mua hàng","PNH-VDD24S100","Nắp hộp nguồn đèn đường D24 Công suất 100W","100W",""
"PNH-VDD24","Nắp hộp nguồn đèn đường D24","(PNH) Nắp hộp","Mua hàng","PNH-VDD24S150","Nắp hộp nguồn đèn đường D24 Công suất 150W","150W",""
"PNH-VDD24","Nắp hộp nguồn đèn đường D24","(PNH) Nắp hộp","Mua hàng","PNH-VDD24S200","Nắp hộp nguồn đèn đường D24 Công suất 200W","200W",""
"PNH-VDDS1","Nắp hộp nguồn đèn đường DS1","(PNH) Nắp hộp","Mua hàng","PNH-VDDS1S050","Nắp hộp nguồn đèn đường DS1 Công suất 50W","50W",""
"PNH-VDDS1","Nắp hộp nguồn đèn đường DS1","(PNH) Nắp hộp","Mua hàng","PNH-VDDS1S100","Nắp hộp nguồn đèn đường DS1 Công suất 100W","100W",""
"PNH-VDDS1","Nắp hộp nguồn đèn đường DS1","(PNH) Nắp hộp","Mua hàng","PNH-VDDS1S150","Nắp hộp nguồn đèn đường DS1 Công suất 150W","150W",""
"PNH-VDPS1","Nắp hộp nguồn đèn pha PS1","(PNH) Nắp hộp","Mua hàng","PNH-VDPS1S100","Nắp hộp nguồn đèn pha PS1 Công suất 100W","100W",""
"PNH-VDPS1","Nắp hộp nguồn đèn pha PS1","(PNH) Nắp hộp","Mua hàng","PNH-VDPS1S200","Nắp hộp nguồn đèn pha PS1 Công suất 200W","200W",""
"PNH-VDPXH","Nắp hộp nguồn đèn pha rọi xám PXH","(PNH) Nắp hộp","Mua hàng","PNH-VDPXHC010","Nắp hộp nguồn đèn pha rọi xám PXH Công suất 10W","10W",""
"PNH-VDPXH","Nắp hộp nguồn đèn pha rọi xám PXH","(PNH) Nắp hộp","Mua hàng","PNH-VDPXHC020","Nắp hộp nguồn đèn pha rọi xám PXH Công suất 20W","20W",""
"PNH-VDPXH","Nắp hộp nguồn đèn pha rọi xám PXH","(PNH) Nắp hộp","Mua hàng","PNH-VDPXHC030","Nắp hộp nguồn đèn pha rọi xám PXH Công suất 30W","30W",""
"PNH-VDPXH","Nắp hộp nguồn đèn pha rọi xám PXH","(PNH) Nắp hộp","Mua hàng","PNH-VDPXHC050","Nắp hộp nguồn đèn pha rọi xám PXH Công suất 50W","50W",""
"PNH-VDPXH","Nắp hộp nguồn đèn pha rọi xám PXH","(PNH) Nắp hộp","Mua hàng","PNH-VDPXHC100","Nắp hộp nguồn đèn pha rọi xám PXH Công suất 100W","100W",""
"PNH-VDPXH","Nắp hộp nguồn đèn pha rọi xám PXH","(PNH) Nắp hộp","Mua hàng","PNH-VDPXHC150","Nắp hộp nguồn đèn pha rọi xám PXH Công suất 150W","150W",""
"PNH-VDPXH","Nắp hộp nguồn đèn pha rọi xám PXH","(PNH) Nắp hộp","Mua hàng","PNH-VDPXHC200","Nắp hộp nguồn đèn pha rọi xám PXH Công suất 200W","200W",""
"PNH-VDPXH","Nắp hộp nguồn đèn pha rọi xám PXH","(PNH) Nắp hộp","Mua hàng","PNH-VDPXHC250","Nắp hộp nguồn đèn pha rọi xám PXH Công suất 250W","250W",""
"PNH-VDPXH","Nắp hộp nguồn đèn pha rọi xám PXH","(PNH) Nắp hộp","Mua hàng","PNH-VDPXHC300-2H","Nắp hộp nguồn đèn pha rọi xám PXH Công suất 300W - 2 hàng","300W","2 hàng"
"PNH-VDPXH","Nắp hộp nguồn đèn pha rọi xám PXH","(PNH) Nắp hộp","Mua hàng","PNH-VDPXHC400-2H","Nắp hộp nguồn đèn pha rọi xám PXH Công suất 400W - 2 hàng","400W","2 hàng"
"PNH-VDPXH","Nắp hộp nguồn đèn pha rọi xám PXH","(PNH) Nắp hộp","Mua hàng","PNH-VDPXHC500-2H","Nắp hộp nguồn đèn pha rọi xám PXH Công suất 500W - 2 hàng","500W","2 hàng"
"PNH-VDPVL","Nắp hộp nguồn đèn pha viền mắt lồi PVL","(PNH) Nắp hộp","Mua hàng","PNH-VDPVLC100","Nắp hộp nguồn đèn pha viền mắt lồi PVL Công suất 100W","100W",""
"PNH-VDPVL","Nắp hộp nguồn đèn pha viền mắt lồi PVL","(PNH) Nắp hộp","Mua hàng","PNH-VDPVLC150","Nắp hộp nguồn đèn pha viền mắt lồi PVL Công suất 150W","150W",""
"PNH-VDPVL","Nắp hộp nguồn đèn pha viền mắt lồi PVL","(PNH) Nắp hộp","Mua hàng","PNH-VDPVLC200","Nắp hộp nguồn đèn pha viền mắt lồi PVL Công suất 200W","200W",""
"PNH-VDPVL","Nắp hộp nguồn đèn pha viền mắt lồi PVL","(PNH) Nắp hộp","Mua hàng","PNH-VDPVLC250","Nắp hộp nguồn đèn pha viền mắt lồi PVL Công suất 250W","250W",""
"PNH-VDPVL","Nắp hộp nguồn đèn pha viền mắt lồi PVL","(PNH) Nắp hộp","Mua hàng","PNH-VDPVLC300","Nắp hộp nguồn đèn pha viền mắt lồi PVL Công suất 300W","300W",""
"PNH-VDPVL","Nắp hộp nguồn đèn pha viền mắt lồi PVL","(PNH) Nắp hộp","Mua hàng","PNH-VDPVLC400","Nắp hộp nguồn đèn pha viền mắt lồi PVL Công suất 400W","400W",""
"PNH-VDPKD","Nắp hộp nguồn đèn pha kẻ dọc PKD","(PNH) Nắp hộp","Mua hàng","PNH-VDPKDC050","Nắp hộp nguồn đèn pha kẻ dọc PKD Công suất 50W","50W",""
"PNH-VDPKD","Nắp hộp nguồn đèn pha kẻ dọc PKD","(PNH) Nắp hộp","Mua hàng","PNH-VDPKDC100","Nắp hộp nguồn đèn pha kẻ dọc PKD Công suất 100W","100W",""
"PNH-VDPKD","Nắp hộp nguồn đèn pha kẻ dọc PKD","(PNH) Nắp hộp","Mua hàng","PNH-VDPKDC150","Nắp hộp nguồn đèn pha kẻ dọc PKD Công suất 150W","150W",""
"PNH-VDPKD","Nắp hộp nguồn đèn pha kẻ dọc PKD","(PNH) Nắp hộp","Mua hàng","PNH-VDPKDC200","Nắp hộp nguồn đèn pha kẻ dọc PKD Công suất 200W","200W",""
"PNH-VDNU1","Nắp hộp nguồn đèn phòng nổ UFO NU1","(PNH) Nắp hộp","Mua hàng","PNH-VDNU1C050","Nắp hộp nguồn đèn phòng nổ UFO NU1 Công suất 50W","50W",""
"PNH-VDNU1","Nắp hộp nguồn đèn phòng nổ UFO NU1","(PNH) Nắp hộp","Mua hàng","PNH-VDNU1C100","Nắp hộp nguồn đèn phòng nổ UFO NU1 Công suất 100W","100W",""
"PNH-VDNU1","Nắp hộp nguồn đèn phòng nổ UFO NU1","(PNH) Nắp hộp","Mua hàng","PNH-VDNU1C150","Nắp hộp nguồn đèn phòng nổ UFO NU1 Công suất 150W","150W",""
"PNH-VDNU1","Nắp hộp nguồn đèn phòng nổ UFO NU1","(PNH) Nắp hộp","Mua hàng","PNH-VDNU1C200","Nắp hộp nguồn đèn phòng nổ UFO NU1 Công suất 200W","200W",""
"PNH-VDNU1","Nắp hộp nguồn đèn phòng nổ UFO NU1","(PNH) Nắp hộp","Mua hàng","PNH-VDNU1C250","Nắp hộp nguồn đèn phòng nổ UFO NU1 Công suất 250W","250W",""
"PNH-VDNU2","Nắp hộp nguồn đèn phòng nổ UFO NU2","(PNH) Nắp hộp","Mua hàng","PNH-VDNU2S100","Nắp hộp nguồn đèn phòng nổ UFO NU2 Công suất 100W","100W",""
"PNH-VDNU2","Nắp hộp nguồn đèn phòng nổ UFO NU2","(PNH) Nắp hộp","Mua hàng","PNH-VDNU2S200","Nắp hộp nguồn đèn phòng nổ UFO NU2 Công suất 200W","200W",""
"PNH-VDNU2","Nắp hộp nguồn đèn phòng nổ UFO NU2","(PNH) Nắp hộp","Mua hàng","PNH-VDNU2S250","Nắp hộp nguồn đèn phòng nổ UFO NU2 Công suất 250W","250W",""
"PNH-VDNP1","Nắp hộp nguồn đèn phòng nổ pha NP1","(PNH) Nắp hộp","Mua hàng","PNH-VDNP1S150-YL","Nắp hộp nguồn đèn phòng nổ pha NP1 Công suất 150W - Vàng","150W","Vàng"
"PNH-VDNP1","Nắp hộp nguồn đèn phòng nổ pha NP1","(PNH) Nắp hộp","Mua hàng","PNH-VDNP1S200-YL","Nắp hộp nguồn đèn phòng nổ pha NP1 Công suất 200W - Vàng","200W","Vàng"
"PNH-VDNP1","Nắp hộp nguồn đèn phòng nổ pha NP1","(PNH) Nắp hộp","Mua hàng","PNH-VDNP1S400-YL","Nắp hộp nguồn đèn phòng nổ pha NP1 Công suất 400W - Vàng","400W","Vàng"
"PNH-VDNP1","Nắp hộp nguồn đèn phòng nổ pha NP1","(PNH) Nắp hộp","Mua hàng","PNH-VDNP1S150-MG","Nắp hộp nguồn đèn phòng nổ pha NP1 Công suất 150W - Xanh rêu","150W","Xanh rêu"
"PNH-VDNP1","Nắp hộp nguồn đèn phòng nổ pha NP1","(PNH) Nắp hộp","Mua hàng","PNH-VDNP1S200-MG","Nắp hộp nguồn đèn phòng nổ pha NP1 Công suất 200W - Xanh rêu","200W","Xanh rêu"
"PNH-VDNP1","Nắp hộp nguồn đèn phòng nổ pha NP1","(PNH) Nắp hộp","Mua hàng","PNH-VDNP1S400-MG","Nắp hộp nguồn đèn phòng nổ pha NP1 Công suất 400W - Xanh rêu","400W","Xanh rêu"
