"Mã sản phẩm","Tên sản phẩm","Nhóm sản phẩm","Phương pháp bổ sung","Mã biến thể","Tên biến thể","Đơn vị tính","Công suất","Phân loại gioăng"
"PZN-VDD20","Gioăng khoang nguồn đèn đường D20","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDD20S250-B","Gioăng khoang nguồn đèn đường D20 Công suất 250W - Mẫu B","Cái","250W","Mẫu B"
"PZN-VDD21","Gioăng khoang nguồn đèn đường D21","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDD21S050","Gioăng khoang nguồn đèn đường D21 Công suất 50W","Cái","50W",""
"PZN-VDD21","Gioăng khoang nguồn đèn đường D21","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDD21S100","Gioăng khoang nguồn đèn đường D21 Công suất 100W","Cái","100W",""
"PZN-VDD21","Gioăng khoang nguồn đèn đường D21","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDD21S150","Gioăng khoang nguồn đèn đường D21 Công suất 150W","Cái","150W",""
"PZN-VDD21","Gioăng khoang nguồn đèn đường D21","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDD21S200","Gioăng khoang nguồn đèn đường D21 Công suất 200W","Cái","200W",""
"PZN-VDD21","Gioăng khoang nguồn đèn đường D21","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDD21S250","Gioăng khoang nguồn đèn đường D21 Công suất 250W","Cái","250W",""
"PZN-VDD22","Gioăng khoang nguồn đèn đường D22","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDD22S050","Gioăng khoang nguồn đèn đường D22 Công suất 50W","Cái","50W",""
"PZN-VDD22","Gioăng khoang nguồn đèn đường D22","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDD22S100","Gioăng khoang nguồn đèn đường D22 Công suất 100W","Cái","100W",""
"PZN-VDD22","Gioăng khoang nguồn đèn đường D22","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDD22S150","Gioăng khoang nguồn đèn đường D22 Công suất 150W","Cái","150W",""
"PZN-VDD22","Gioăng khoang nguồn đèn đường D22","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDD22S200","Gioăng khoang nguồn đèn đường D22 Công suất 200W","Cái","200W",""
"PZN-VDD22","Gioăng khoang nguồn đèn đường D22","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDD22S250","Gioăng khoang nguồn đèn đường D22 Công suất 250W","Cái","250W",""
"PZN-VDD23","Gioăng khoang nguồn đèn đường D23","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDD23S050","Gioăng khoang nguồn đèn đường D23 Công suất 50W","Cái","50W",""
"PZN-VDD23","Gioăng khoang nguồn đèn đường D23","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDD23S100","Gioăng khoang nguồn đèn đường D23 Công suất 100W","Cái","100W",""
"PZN-VDD23","Gioăng khoang nguồn đèn đường D23","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDD23S150","Gioăng khoang nguồn đèn đường D23 Công suất 150W","Cái","150W",""
"PZN-VDD23","Gioăng khoang nguồn đèn đường D23","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDD23S200","Gioăng khoang nguồn đèn đường D23 Công suất 200W","Cái","200W",""
"PZN-VDD23","Gioăng khoang nguồn đèn đường D23","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDD23S250","Gioăng khoang nguồn đèn đường D23 Công suất 250W","Cái","250W",""
"PZN-VDD26","Gioăng khoang nguồn đèn đường D26","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDD26S050","Gioăng khoang nguồn đèn đường D26 Công suất 50W","Cái","50W",""
"PZN-VDD26","Gioăng khoang nguồn đèn đường D26","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDD26S100","Gioăng khoang nguồn đèn đường D26 Công suất 100W","Cái","100W",""
"PZN-VDD26","Gioăng khoang nguồn đèn đường D26","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDD26S150","Gioăng khoang nguồn đèn đường D26 Công suất 150W","Cái","150W",""
"PZN-VDD26","Gioăng khoang nguồn đèn đường D26","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDD26S200","Gioăng khoang nguồn đèn đường D26 Công suất 200W","Cái","200W",""
"PZN-VDD26","Gioăng khoang nguồn đèn đường D26","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDD26S250","Gioăng khoang nguồn đèn đường D26 Công suất 250W","Cái","250W",""
"PZN-VDD24","Gioăng hộp nguồn đèn đường D24","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDD24S050","Gioăng hộp nguồn đèn đường D24 Công suất 50W","Cái","50W",""
"PZN-VDD24","Gioăng hộp nguồn đèn đường D24","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDD24S100","Gioăng hộp nguồn đèn đường D24 Công suất 100W","Cái","100W",""
"PZN-VDD24","Gioăng hộp nguồn đèn đường D24","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDD24S150","Gioăng hộp nguồn đèn đường D24 Công suất 150W","Cái","150W",""
"PZN-VDD24","Gioăng hộp nguồn đèn đường D24","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDD24S200","Gioăng hộp nguồn đèn đường D24 Công suất 200W","Cái","200W",""
"PZN-VDDS1","Gioăng hộp nguồn đèn đường DS1","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDDS1S050","Gioăng hộp nguồn đèn đường DS1 Công suất 50W","Cái","50W",""
"PZN-VDDS1","Gioăng hộp nguồn đèn đường DS1","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDDS1S100","Gioăng hộp nguồn đèn đường DS1 Công suất 100W","Cái","100W",""
"PZN-VDDS1","Gioăng hộp nguồn đèn đường DS1","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDDS1S150","Gioăng hộp nguồn đèn đường DS1 Công suất 150W","Cái","150W",""
"PZN-VDPS1","Gioăng hộp nguồn đèn pha PS1","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDPS1S100","Gioăng hộp nguồn đèn pha PS1 Công suất 100W","Cái","100W",""
"PZN-VDPS1","Gioăng hộp nguồn đèn pha PS1","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDPS1S200","Gioăng hộp nguồn đèn pha PS1 Công suất 200W","Cái","200W",""
"PZN-VDPXH","Gioăng hộp nguồn đèn pha rọi xám PXH","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDPXHC010","Gioăng hộp nguồn đèn pha rọi xám PXH Công suất 10W","Cái","10W",""
"PZN-VDPXH","Gioăng hộp nguồn đèn pha rọi xám PXH","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDPXHC020","Gioăng hộp nguồn đèn pha rọi xám PXH Công suất 20W","Cái","20W",""
"PZN-VDPXH","Gioăng hộp nguồn đèn pha rọi xám PXH","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDPXHC030","Gioăng hộp nguồn đèn pha rọi xám PXH Công suất 30W","Cái","30W",""
"PZN-VDPXH","Gioăng hộp nguồn đèn pha rọi xám PXH","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDPXHC050","Gioăng hộp nguồn đèn pha rọi xám PXH Công suất 50W","Cái","50W",""
"PZN-VDPXH","Gioăng hộp nguồn đèn pha rọi xám PXH","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDPXHC100","Gioăng hộp nguồn đèn pha rọi xám PXH Công suất 100W","Cái","100W",""
"PZN-VDPXH","Gioăng hộp nguồn đèn pha rọi xám PXH","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDPXHC150","Gioăng hộp nguồn đèn pha rọi xám PXH Công suất 150W","Cái","150W",""
"PZN-VDPXH","Gioăng hộp nguồn đèn pha rọi xám PXH","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDPXHC200","Gioăng hộp nguồn đèn pha rọi xám PXH Công suất 200W","Cái","200W",""
"PZN-VDPXH","Gioăng hộp nguồn đèn pha rọi xám PXH","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDPXHC250","Gioăng hộp nguồn đèn pha rọi xám PXH Công suất 250W","Cái","250W",""
"PZN-VDPXH","Gioăng hộp nguồn đèn pha rọi xám PXH","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDPXHC300-2H","Gioăng hộp nguồn đèn pha rọi xám PXH Công suất 300W - 2 hàng LED","Cái","300W","2 hàng LED"
"PZN-VDPXH","Gioăng hộp nguồn đèn pha rọi xám PXH","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDPXHC400-2H","Gioăng hộp nguồn đèn pha rọi xám PXH Công suất 400W - 2 hàng LED","Cái","400W","2 hàng LED"
"PZN-VDPXH","Gioăng hộp nguồn đèn pha rọi xám PXH","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDPXHC500-2H","Gioăng hộp nguồn đèn pha rọi xám PXH Công suất 500W - 2 hàng LED","Cái","500W","2 hàng LED"
"PZN-VDPVL","Gioăng hộp nguồn đèn pha viền mắt lồi PVL","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDPVLC100","Gioăng hộp nguồn đèn pha viền mắt lồi PVL Công suất 100W","Cái","100W",""
"PZN-VDPVL","Gioăng hộp nguồn đèn pha viền mắt lồi PVL","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDPVLC150","Gioăng hộp nguồn đèn pha viền mắt lồi PVL Công suất 150W","Cái","150W",""
"PZN-VDPVL","Gioăng hộp nguồn đèn pha viền mắt lồi PVL","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDPVLC200","Gioăng hộp nguồn đèn pha viền mắt lồi PVL Công suất 200W","Cái","200W",""
"PZN-VDPVL","Gioăng hộp nguồn đèn pha viền mắt lồi PVL","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDPVLC250","Gioăng hộp nguồn đèn pha viền mắt lồi PVL Công suất 250W","Cái","250W",""
"PZN-VDPVL","Gioăng hộp nguồn đèn pha viền mắt lồi PVL","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDPVLC300","Gioăng hộp nguồn đèn pha viền mắt lồi PVL Công suất 300W","Cái","300W",""
"PZN-VDPVL","Gioăng hộp nguồn đèn pha viền mắt lồi PVL","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDPVLC400","Gioăng hộp nguồn đèn pha viền mắt lồi PVL Công suất 400W","Cái","400W",""
"PZN-VDPKD","Gioăng hộp nguồn đèn pha kẻ dọc PKD","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDPKDC050","Gioăng hộp nguồn đèn pha kẻ dọc PKD Công suất 50W","Cái","50W",""
"PZN-VDPKD","Gioăng hộp nguồn đèn pha kẻ dọc PKD","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDPKDC100","Gioăng hộp nguồn đèn pha kẻ dọc PKD Công suất 100W","Cái","100W",""
"PZN-VDPKD","Gioăng hộp nguồn đèn pha kẻ dọc PKD","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDPKDC150","Gioăng hộp nguồn đèn pha kẻ dọc PKD Công suất 150W","Cái","150W",""
"PZN-VDPKD","Gioăng hộp nguồn đèn pha kẻ dọc PKD","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDPKDC200","Gioăng hộp nguồn đèn pha kẻ dọc PKD Công suất 200W","Cái","200W",""
"PZN-VDNU1","Gioăng hộp nguồn đèn phòng nổ UFO NU1","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDNU1C050","Gioăng hộp nguồn đèn phòng nổ UFO NU1 Công suất 50W","Cái","50W",""
"PZN-VDNU1","Gioăng hộp nguồn đèn phòng nổ UFO NU1","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDNU1C100","Gioăng hộp nguồn đèn phòng nổ UFO NU1 Công suất 100W","Cái","100W",""
"PZN-VDNU1","Gioăng hộp nguồn đèn phòng nổ UFO NU1","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDNU1C150","Gioăng hộp nguồn đèn phòng nổ UFO NU1 Công suất 150W","Cái","150W",""
"PZN-VDNU1","Gioăng hộp nguồn đèn phòng nổ UFO NU1","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDNU1C200","Gioăng hộp nguồn đèn phòng nổ UFO NU1 Công suất 200W","Cái","200W",""
"PZN-VDNU1","Gioăng hộp nguồn đèn phòng nổ UFO NU1","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDNU1C250","Gioăng hộp nguồn đèn phòng nổ UFO NU1 Công suất 250W","Cái","250W",""
"PZN-VDNU2","Gioăng hộp nguồn đèn phòng nổ UFO NU2","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDNU2S100","Gioăng hộp nguồn đèn phòng nổ UFO NU2 Công suất 100W","Cái","100W",""
"PZN-VDNU2","Gioăng hộp nguồn đèn phòng nổ UFO NU2","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDNU2S200","Gioăng hộp nguồn đèn phòng nổ UFO NU2 Công suất 200W","Cái","200W",""
"PZN-VDNU2","Gioăng hộp nguồn đèn phòng nổ UFO NU2","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDNU2S250","Gioăng hộp nguồn đèn phòng nổ UFO NU2 Công suất 250W","Cái","250W",""
"PZN-VDNP1","Gioăng hộp nguồn đèn phòng nổ pha NP1","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDNP1S150-YL","Gioăng hộp nguồn đèn phòng nổ pha NP1 Công suất 150W - Vàng","Cái","150W","Vàng"
"PZN-VDNP1","Gioăng hộp nguồn đèn phòng nổ pha NP1","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDNP1S200-YL","Gioăng hộp nguồn đèn phòng nổ pha NP1 Công suất 200W - Vàng","Cái","200W","Vàng"
"PZN-VDNP1","Gioăng hộp nguồn đèn phòng nổ pha NP1","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDNP1S400-YL","Gioăng hộp nguồn đèn phòng nổ pha NP1 Công suất 400W - Vàng","Cái","400W","Vàng"
"PZN-VDNP1","Gioăng hộp nguồn đèn phòng nổ pha NP1","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDNP1S150-MG","Gioăng hộp nguồn đèn phòng nổ pha NP1 Công suất 150W - Xanh rêu","Cái","150W","Xanh rêu"
"PZN-VDNP1","Gioăng hộp nguồn đèn phòng nổ pha NP1","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDNP1S200-MG","Gioăng hộp nguồn đèn phòng nổ pha NP1 Công suất 200W - Xanh rêu","Cái","200W","Xanh rêu"
"PZN-VDNP1","Gioăng hộp nguồn đèn phòng nổ pha NP1","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDNP1S400-MG","Gioăng hộp nguồn đèn phòng nổ pha NP1 Công suất 400W - Xanh rêu","Cái","400W","Xanh rêu"
"PZN-VDD25","Gioăng khoang nguồn đèn đường D25","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDD25S050","Gioăng khoang nguồn đèn đường D25 Công suất 50W","Cái","50W",""
"PZN-VDD25","Gioăng khoang nguồn đèn đường D25","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDD25S100","Gioăng khoang nguồn đèn đường D25 Công suất 100W","Cái","100W",""
"PZN-VDD25","Gioăng khoang nguồn đèn đường D25","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDD25S150","Gioăng khoang nguồn đèn đường D25 Công suất 150W","Cái","150W",""
"PZN-VDD25","Gioăng khoang nguồn đèn đường D25","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDD25S200","Gioăng khoang nguồn đèn đường D25 Công suất 200W","Cái","200W",""
"PZN-VDD25","Gioăng khoang nguồn đèn đường D25","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDD25S250","Gioăng khoang nguồn đèn đường D25 Công suất 250W","Cái","250W",""
"PZN-VDX02","Gioăng hộp nguồn đèn nhà xưởng UFO X02","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDX02S100","Gioăng hộp nguồn đèn nhà xưởng UFO X02 Công suất 100W","Cái","100W",""
"PZN-VDX02","Gioăng hộp nguồn đèn nhà xưởng UFO X02","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDX02S150","Gioăng hộp nguồn đèn nhà xưởng UFO X02 Công suất 150W","Cái","150W",""
"PZN-VDX02","Gioăng hộp nguồn đèn nhà xưởng UFO X02","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDX02S200","Gioăng hộp nguồn đèn nhà xưởng UFO X02 Công suất 200W","Cái","200W",""
