"Mã sản phẩm","Tên sản phẩm","Nhóm sản phẩm","Phương pháp bổ sung","Mã biến thể","Tên biến thể","Công suất","Phân loại quai"
"PQU-VDPTV","Quai đèn pha vuông PTV","(PQU) Quai đèn","Mua hàng","PQU-VDPTVC200","Quai đèn pha vuông PTV Công suất 200W","200W",""
"PQU-VDPTV","Quai đèn pha vuông PTV","(PQU) Quai đèn","Mua hàng","PQU-VDPTVC300","Quai đèn pha vuông PTV Công suất 300W","300W",""
"PQU-VDPTV","Quai đèn pha vuông PTV","(PQU) Quai đèn","Mua hàng","PQU-VDPTVC400","Quai đèn pha vuông PTV Công suất 400W","400W",""
"PQU-VDPTV","Quai đèn pha vuông PTV","(PQU) Quai đèn","Mua hàng","PQU-VDPTVC500","Quai đèn pha vuông PTV Công suất 500W","500W",""
"PQU-VDPVL","Quai đèn pha viền mắt lồi PVL","(PQU) Quai đèn","Mua hàng","PQU-VDPVLC100","Quai đèn pha viền mắt lồi PVL Công suất 100W","100W",""
"PQU-VDPVL","Quai đèn pha viền mắt lồi PVL","(PQU) Quai đèn","Mua hàng","PQU-VDPVLC150","Quai đèn pha viền mắt lồi PVL Công suất 150W","150W",""
"PQU-VDPVL","Quai đèn pha viền mắt lồi PVL","(PQU) Quai đèn","Mua hàng","PQU-VDPVLC200","Quai đèn pha viền mắt lồi PVL Công suất 200W","200W",""
"PQU-VDPVL","Quai đèn pha viền mắt lồi PVL","(PQU) Quai đèn","Mua hàng","PQU-VDPVLC250","Quai đèn pha viền mắt lồi PVL Công suất 250W","250W",""
"PQU-VDPVL","Quai đèn pha viền mắt lồi PVL","(PQU) Quai đèn","Mua hàng","PQU-VDPVLC300","Quai đèn pha viền mắt lồi PVL Công suất 300W","300W",""
"PQU-VDPVL","Quai đèn pha viền mắt lồi PVL","(PQU) Quai đèn","Mua hàng","PQU-VDPVLC400","Quai đèn pha viền mắt lồi PVL Công suất 400W","400W",""
"PQU-VDNU1","Quai đèn chống nổ UFO NU1","(PQU) Quai đèn","Mua hàng","PQU-VDNU1C050","Quai đèn chống nổ UFO NU1 Công suất 50W","50W",""
"PQU-VDNU1","Quai đèn chống nổ UFO NU1","(PQU) Quai đèn","Mua hàng","PQU-VDNU1C100","Quai đèn chống nổ UFO NU1 Công suất 100W","100W",""
"PQU-VDNU1","Quai đèn chống nổ UFO NU1","(PQU) Quai đèn","Mua hàng","PQU-VDNU1C150","Quai đèn chống nổ UFO NU1 Công suất 150W","150W",""
"PQU-VDNU1","Quai đèn chống nổ UFO NU1","(PQU) Quai đèn","Mua hàng","PQU-VDNU1C200","Quai đèn chống nổ UFO NU1 Công suất 200W","200W",""
"PQU-VDNU1","Quai đèn chống nổ UFO NU1","(PQU) Quai đèn","Mua hàng","PQU-VDNU1C250","Quai đèn chống nổ UFO NU1 Công suất 250W","250W",""
"PQU-VDNU2","Quai đèn chống nổ UFO NU2","(PQU) Quai đèn","Mua hàng","PQU-VDNU2S100","Quai đèn chống nổ UFO NU2 Công suất 100W","100W",""
"PQU-VDNU2","Quai đèn chống nổ UFO NU2","(PQU) Quai đèn","Mua hàng","PQU-VDNU2S200","Quai đèn chống nổ UFO NU2 Công suất 200W","200W",""
"PQU-VDNU2","Quai đèn chống nổ UFO NU2","(PQU) Quai đèn","Mua hàng","PQU-VDNU2S250","Quai đèn chống nổ UFO NU2 Công suất 250W","250W",""
"PQU-VDNP1","Quai đèn chống nổ pha NP1","(PQU) Quai đèn","Mua hàng","PQU-VDNP1S150-YL","Quai đèn chống nổ pha NP1 Công suất 150W - Vàng","150W","Vàng"
"PQU-VDNP1","Quai đèn chống nổ pha NP1","(PQU) Quai đèn","Mua hàng","PQU-VDNP1S200-YL","Quai đèn chống nổ pha NP1 Công suất 200W - Vàng","200W","Vàng"
"PQU-VDNP1","Quai đèn chống nổ pha NP1","(PQU) Quai đèn","Mua hàng","PQU-VDNP1S400-YL","Quai đèn chống nổ pha NP1 Công suất 400W - Vàng","400W","Vàng"
"PQU-VDNP1","Quai đèn chống nổ pha NP1","(PQU) Quai đèn","Mua hàng","PQU-VDNP1S150-MG","Quai đèn chống nổ pha NP1 Công suất 150W - Xanh rêu","150W","Xanh rêu"
"PQU-VDNP1","Quai đèn chống nổ pha NP1","(PQU) Quai đèn","Mua hàng","PQU-VDNP1S200-MG","Quai đèn chống nổ pha NP1 Công suất 200W - Xanh rêu","200W","Xanh rêu"
"PQU-VDNP1","Quai đèn chống nổ pha NP1","(PQU) Quai đèn","Mua hàng","PQU-VDNP1S400-MG","Quai đèn chống nổ pha NP1 Công suất 400W - Xanh rêu","400W","Xanh rêu"
"PQU-VDPCC","Quai đèn pha cầu cảng PCC","(PQU) Quai đèn","Mua hàng","PQU-VDPCCS400","Quai đèn pha cầu cảng PCC Công suất 400W","400W",""
"PQU-VDPCC","Quai đèn pha cầu cảng PCC","(PQU) Quai đèn","Mua hàng","PQU-VDPCCS600","Quai đèn pha cầu cảng PCC Công suất 600W","600W",""
"PQU-VDPCC","Quai đèn pha cầu cảng PCC","(PQU) Quai đèn","Mua hàng","PQU-VDPCCS1K0","Quai đèn pha cầu cảng PCC Công suất 1000W","1000W",""
"PQU-VDPCT","Quai đèn pha cẩu tháp PCT","(PQU) Quai đèn","Mua hàng","PQU-VDPCTS500","Quai đèn pha cẩu tháp PCT Công suất 500W","500W",""
"PQU-VDPCT","Quai đèn pha cẩu tháp PCT","(PQU) Quai đèn","Mua hàng","PQU-VDPCTS1K0","Quai đèn pha cẩu tháp PCT Công suất 1000W","1000W",""
"PQU-VDPCT","Quai đèn pha cẩu tháp PCT","(PQU) Quai đèn","Mua hàng","PQU-VDPCTS1K5","Quai đèn pha cẩu tháp PCT Công suất 1500W","1500W",""
"PQU-VDPKD","Quai đèn pha kẻ dọc PKD","(PQU) Quai đèn","Mua hàng","PQU-VDPKDC050","Quai đèn pha kẻ dọc PKD Công suất 50W","50W",""
"PQU-VDPKD","Quai đèn pha kẻ dọc PKD","(PQU) Quai đèn","Mua hàng","PQU-VDPKDC100","Quai đèn pha kẻ dọc PKD Công suất 100W","100W",""
"PQU-VDPKD","Quai đèn pha kẻ dọc PKD","(PQU) Quai đèn","Mua hàng","PQU-VDPKDC150","Quai đèn pha kẻ dọc PKD Công suất 150W","150W",""
"PQU-VDPKD","Quai đèn pha kẻ dọc PKD","(PQU) Quai đèn","Mua hàng","PQU-VDPKDC200","Quai đèn pha kẻ dọc PKD Công suất 200W","200W",""
"PQU-VDPS1","Quai đèn pha PS1","(PQU) Quai đèn","Mua hàng","PQU-VDPS1S100","Quai đèn pha PS1 Công suất 100W","100W",""
"PQU-VDPS1","Quai đèn pha PS1","(PQU) Quai đèn","Mua hàng","PQU-VDPS1S200","Quai đèn pha PS1 Công suất 200W","200W",""
