"Mã sản phẩm","Phương pháp bổ sung","Tên sản phẩm","Nhóm sản phẩm","Mã biến thể","Tên biến thể","Kích thước ren","Số lõi (Số cực)","Phân loại","Kiểu đấu nối","Đầu vào"
"WPC-M05","Mua hàng","Cầu đấu M05","(WPC) Cầu đấu","WPC-M05-2P","Cầu đấu M05 | M5-2P","M5","2P","","",""
"WPC-MDF","Mua hàng","Cầu đấu cái Module (F Type - IP68)","(WPC) Cầu đấu","WPC-MDF-M15-2P-2B-SS-DD","Cầu đấu cái Module (F Type - IP68) | M15-2P, Loại: 2 chân (100W), Song song, Đầu vào: Keo cos (Dây 2x0.75)","M15","2P","2 chân (100W)","Song song","Keo cos (Dây 2x0.75)"
"WPC-MDF","Mua hàng","Cầu đấu cái Module (F Type - IP68)","(WPC) Cầu đấu","WPC-MDF-M15-2P-3B-SS-DD","Cầu đấu cái Module (F Type - IP68) | M15-2P, Loại: 3 chân (150W), Song song, Đầu vào: Keo cos (Dây 2x0.75)","M15","2P","3 chân (150W)","Song song","Keo cos (Dây 2x0.75)"
"WPC-MDF","Mua hàng","Cầu đấu cái Module (F Type - IP68)","(WPC) Cầu đấu","WPC-MDF-M15-2P-4B-SS-DD","Cầu đấu cái Module (F Type - IP68) | M15-2P, Loại: 4 chân (200W), Song song, Đầu vào: Keo cos (Dây 2x0.75)","M15","2P","4 chân (200W)","Song song","Keo cos (Dây 2x0.75)"
"WPC-MDF","Mua hàng","Cầu đấu cái Module (F Type - IP68)","(WPC) Cầu đấu","WPC-MDF-M15-2P-5B-SS-DD","Cầu đấu cái Module (F Type - IP68) | M15-2P, Loại: 5 chân (250W), Song song, Đầu vào: Keo cos (Dây 2x0.75)","M15","2P","5 chân (250W)","Song song","Keo cos (Dây 2x0.75)"
"WPC-MDF","Mua hàng","Cầu đấu cái Module (F Type - IP68)","(WPC) Cầu đấu","WPC-MDF-M15-2P-6B-SS-DD","Cầu đấu cái Module (F Type - IP68) | M15-2P, Loại: 6 chân (300W), Song song, Đầu vào: Keo cos (Dây 2x0.75)","M15","2P","6 chân (300W)","Song song","Keo cos (Dây 2x0.75)"
"WPC-MDF","Mua hàng","Cầu đấu cái Module (F Type - IP68)","(WPC) Cầu đấu","WPC-MDF-M15-2P-2B-NT-CD","Cầu đấu cái Module (F Type - IP68) | M15-2P, Loại: 2 chân (100W), Nối tiếp, Đầu vào: Vít dây (Cầu đấu 2P)","M15","2P","2 chân (100W)","Nối tiếp","Vít dây (Cầu đấu 2P)"
"WPC-MDF","Mua hàng","Cầu đấu cái Module (F Type - IP68)","(WPC) Cầu đấu","WPC-MDF-M15-2P-3B-NT-CD","Cầu đấu cái Module (F Type - IP68) | M15-2P, Loại: 3 chân (150W), Nối tiếp, Đầu vào: Vít dây (Cầu đấu 2P)","M15","2P","3 chân (150W)","Nối tiếp","Vít dây (Cầu đấu 2P)"
"WPC-MDF","Mua hàng","Cầu đấu cái Module (F Type - IP68)","(WPC) Cầu đấu","WPC-MDF-M15-2P-4B-NT-CD","Cầu đấu cái Module (F Type - IP68) | M15-2P, Loại: 4 chân (200W), Nối tiếp, Đầu vào: Vít dây (Cầu đấu 2P)","M15","2P","4 chân (200W)","Nối tiếp","Vít dây (Cầu đấu 2P)"
"WPC-MDF","Mua hàng","Cầu đấu cái Module (F Type - IP68)","(WPC) Cầu đấu","WPC-MDF-M15-2P-5B-NT-CD","Cầu đấu cái Module (F Type - IP68) | M15-2P, Loại: 5 chân (250W), Nối tiếp, Đầu vào: Vít dây (Cầu đấu 2P)","M15","2P","5 chân (250W)","Nối tiếp","Vít dây (Cầu đấu 2P)"
"WPC-MDF","Mua hàng","Cầu đấu cái Module (F Type - IP68)","(WPC) Cầu đấu","WPC-MDF-M15-2P-6B-NT-CD","Cầu đấu cái Module (F Type - IP68) | M15-2P, Loại: 6 chân (300W), Nối tiếp, Đầu vào: Vít dây (Cầu đấu 2P)","M15","2P","6 chân (300W)","Nối tiếp","Vít dây (Cầu đấu 2P)"
"WPC-MDF","Mua hàng","Cầu đấu cái Module (F Type - IP68)","(WPC) Cầu đấu","WPC-MDF-M15-2P-2B-NT-DD","Cầu đấu cái Module (F Type - IP68) | M15-2P, Loại: 2 chân (100W), Nối tiếp, Đầu vào: Keo cos (Dây 2x0.75)","M15","2P","2 chân (100W)","Nối tiếp","Keo cos (Dây 2x0.75)"
"WPC-MDF","Mua hàng","Cầu đấu cái Module (F Type - IP68)","(WPC) Cầu đấu","WPC-MDF-M15-2P-3B-NT-DD","Cầu đấu cái Module (F Type - IP68) | M15-2P, Loại: 3 chân (150W), Nối tiếp, Đầu vào: Keo cos (Dây 2x0.75)","M15","2P","3 chân (150W)","Nối tiếp","Keo cos (Dây 2x0.75)"
"WPC-MDF","Mua hàng","Cầu đấu cái Module (F Type - IP68)","(WPC) Cầu đấu","WPC-MDF-M15-2P-4B-NT-DD","Cầu đấu cái Module (F Type - IP68) | M15-2P, Loại: 4 chân (200W), Nối tiếp, Đầu vào: Keo cos (Dây 2x0.75)","M15","2P","4 chân (200W)","Nối tiếp","Keo cos (Dây 2x0.75)"
"WPC-MDF","Mua hàng","Cầu đấu cái Module (F Type - IP68)","(WPC) Cầu đấu","WPC-MDF-M15-2P-5B-NT-DD","Cầu đấu cái Module (F Type - IP68) | M15-2P, Loại: 5 chân (250W), Nối tiếp, Đầu vào: Keo cos (Dây 2x0.75)","M15","2P","5 chân (250W)","Nối tiếp","Keo cos (Dây 2x0.75)"
"WPC-MDF","Mua hàng","Cầu đấu cái Module (F Type - IP68)","(WPC) Cầu đấu","WPC-MDF-M15-2P-6B-NT-DD","Cầu đấu cái Module (F Type - IP68) | M15-2P, Loại: 6 chân (300W), Nối tiếp, Đầu vào: Keo cos (Dây 2x0.75)","M15","2P","6 chân (300W)","Nối tiếp","Keo cos (Dây 2x0.75)"
"WPC-DID","Mua hàng","Cầu đấu nguồn đèn Indoor","(WPC) Cầu đấu","WPC-DID-2P-ID5.5","Cầu đấu nguồn đèn Indoor | -2P, Loại: Jack DC 5.5x2.1mm","","2P","Jack DC 5.5x2.1mm","",""
"WPC-DID","Mua hàng","Cầu đấu nguồn đèn Indoor","(WPC) Cầu đấu","WPC-DID-2P-IDWH","Cầu đấu nguồn đèn Indoor | -2P, Loại: Jack nhựa 2P trắng","","2P","Jack nhựa 2P trắng","",""
"WPC-DID","Mua hàng","Cầu đấu nguồn đèn Indoor","(WPC) Cầu đấu","WPC-DID-2P-IDBL","Cầu đấu nguồn đèn Indoor | -2P, Loại: Jack nhựa 2P xanh","","2P","Jack nhựa 2P xanh","",""
"WPC-DID","Mua hàng","Cầu đấu nguồn đèn Indoor","(WPC) Cầu đấu","WPC-DID-2P-IDBK","Cầu đấu nguồn đèn Indoor | -2P, Loại: Jack nhựa 2P đen","","2P","Jack nhựa 2P đen","",""
"WPC-SLM","Mua hàng","Cầu đấu đực năng lượng mặt trời","(WPC) Cầu đấu","WPC-SLM-M15-2P","Cầu đấu đực năng lượng mặt trời | M15-2P","M15","2P","","",""
"WPC-SLM","Mua hàng","Cầu đấu đực năng lượng mặt trời","(WPC) Cầu đấu","WPC-SLM-M15-4P","Cầu đấu đực năng lượng mặt trời | M15-4P","M15","4P","","",""
"WPC-SLF","Mua hàng","Cầu đấu cái năng lượng mặt trời","(WPC) Cầu đấu","WPC-SLF-M15-2P","Cầu đấu cái năng lượng mặt trời | M15-2P","M15","2P","","",""
"WPC-SLF","Mua hàng","Cầu đấu cái năng lượng mặt trời","(WPC) Cầu đấu","WPC-SLF-M15-4P","Cầu đấu cái năng lượng mặt trời | M15-4P","M15","4P","","",""
