"Mã sản phẩm","Phương pháp bổ sung","Tên sản phẩm","Nhóm sản phẩm","Mã biến thể","Tên biến thể","Mô tả","Công suất","Mạch","Loại LED","Số lượng LED","Chất liệu","Dài","Rộng","Dày","Gia công"
"PCB-DD2X","Mua hàng","PCB Chip Đèn đường D2X","PCB","PCB-C50DD2XS200-5Cx5-76","PCB 200W Chip đèn đường D2X SMD 5050 - 200W (5Cx5), LED 5050, 76LED","Sử dụng cho: Đèn đường D22, D23, D25, D26 (ALU-228x295x1,2mm) - 25µm Phủ thiếc","200","5Cx5","5050","76","ALU","228","295","1,2","25µm Phủ thiếc"
"PCB-DD2X","Mua hàng","PCB Chip Đèn đường D2X","PCB","PCB-C30DD2XS250-5Cx5-300","PCB 250W Chip đèn đường D2X SMD 3030 - 250W (5Cx5), LED 3030, 300LED","Sử dụng cho: Đèn đường D22, D23, D25, D26 (ALU-228x295x1,2mm) - 25µm Phủ thiếc","250","5Cx5","3030","300","ALU","228","295","1,2","25µm Phủ thiếc"
"PCB-DD2X","Mua hàng","PCB Chip Đèn đường D2X","PCB","PCB-C50DD2XS250-5Cx5-76","PCB 250W Chip đèn đường D2X SMD 5050 - 250W (5Cx5), LED 5050, 76LED","Sử dụng cho: Đèn đường D22, D23, D25, D26 (ALU-228x295x1,2mm) - 25µm Phủ thiếc","250","5Cx5","5050","76","ALU","228","295","1,2","25µm Phủ thiếc"
"PCB-DX01","Mua hàng","PCB Chip Đèn UFO X01","PCB","PCB-C30DX01S100-5C-110","PCB 100W Chip UFO X01 SMD 3030 - 100W (5C), LED 3030, 110LED","Sử dụng cho: UFO X01 (ALU-167x167x1,2mm) - 25µm Phủ thiếc","100","5C","3030","110","ALU","167","167","1,2","25µm Phủ thiếc"
"PCB-DX01","Mua hàng","PCB Chip Đèn UFO X01","PCB","PCB-C30DX01S150-5C-170","PCB 150W Chip UFO X01 SMD 3030 - 150W (5C), LED 3030, 170LED","Sử dụng cho: UFO X01 (ALU-210x210x1,2mm) - 25µm Phủ thiếc","150","5C","3030","170","ALU","210","210","1,2","25µm Phủ thiếc"
"PCB-DX01","Mua hàng","PCB Chip Đèn UFO X01","PCB","PCB-C30DX01S200-5C-220","PCB 200W Chip UFO X01 SMD 3030 - 200W (5C), LED 3030, 220LED","Sử dụng cho: UFO X01 (ALU-248x248x1,2mm) - 25µm Phủ thiếc","200","5C","3030","220","ALU","248","248","1,2","25µm Phủ thiếc"
"PCB-DX03","Mua hàng","PCB Chip Đèn UFO X03","PCB","PCB-C28DX03S100-40C-280","PCB 100W Chip UFO X03 SMD 2835 - 100W (40C), LED 2835, 280LED","Sử dụng cho: UFO X03 (ALU-194x194x1,2mm) - 25µm Phủ thiếc","100","40C","2835","280","ALU","194","194","1,2","25µm Phủ thiếc"
"PCB-DX03","Mua hàng","PCB Chip Đèn UFO X03","PCB","PCB-C28DX03S150-40C-280","PCB 150W Chip UFO X03 SMD 2835 - 150W (40C), LED 2835, 280LED","Sử dụng cho: UFO X03 (ALU-228x228x1,2mm) - 25µm Phủ thiếc","150","40C","2835","280","ALU","228","228","1,2","25µm Phủ thiếc"
"PCB-DX03","Mua hàng","PCB Chip Đèn UFO X03","PCB","PCB-C28DX03S200-40C-640","PCB 200W Chip UFO X03 SMD 2835 - 200W (40C), LED 2835, 640LED","Sử dụng cho: UFO X03 (ALU-264x264x1,2mm) - 25µm Phủ thiếc","200","40C","2835","640","ALU","264","264","1,2","25µm Phủ thiếc"
"PCB-DX03","Mua hàng","PCB Chip Đèn UFO X03","PCB","PCB-C28DX03S300-40C-920","PCB 300W Chip UFO X03 SMD 2835 - 300W (40C), LED 2835, 920LED","Sử dụng cho: UFO X03 (ALU-340x340x1,2mm) - 25µm Phủ thiếc","300","40C","2835","920","ALU","340","340","1,2","25µm Phủ thiếc"
