"Mã sản phẩm","Phương pháp bổ sung","Tên sản phẩm","Nhóm sản phẩm","Mã biến thể","Tên biến thể","Màu ánh sáng","Công suất","Điện áp","Dòng điện","Quang thông","Hiệu suất phát quang","Chỉ số hoàn màu"
"LED-EMC7070","Mua hàng","Hạt LED EMC 7070","LED","EMC7070USY18C-H900-VN","EMC - LED EMC 7070 54V 5W/54V/100mA /800-900LM ,Ra90 2235*18 | Vàng (3.000K - 3.200K)","Vàng (3.000K - 3.200K)","5W","54V","100mA","800-900lm","160-180lm/W","Ra90"
"LED-PCT3030","Mua hàng","Hạt LED PCT 3030","LED","PCT3030UWF2C-K140-VN","PCT - LED 3030 - PCT - 1W/6V-150mA, 140-145lm/W; Ra80.  | Trắng (6.000K - 6.500K)","Trắng (6.000K - 6.500K)","1W","6V","150mA","140-145lm","140-145lm/W","Ra80"
"LED-PCT3030","Mua hàng","Hạt LED PCT 3030","LED","PCT3030UZF2C-K140-VN","PCT - LED 3030 - PCT - 1W/6V-150mA, 140-145lm/W; Ra80.  | Trắng (5.000K)","Trắng (5.000K)","1W","6V","150mA","140-145lm","140-145lm/W","Ra80"
"LED-PCT3030","Mua hàng","Hạt LED PCT 3030","LED","PCT3030UNF2C-K140-VN","PCT - LED 3030 - PCT - 1W/6V-150mA, 140-145lm/W; Ra80.  | Trung tính (4.000K - 4.200K)","Trung tính (4.000K - 4.200K)","1W","6V","150mA","140-145lm","140-145lm/W","Ra80"
"LED-PCT3030","Mua hàng","Hạt LED PCT 3030","LED","PCT3030USF2C-K140-VN","PCT - LED 3030 - PCT - 1W/6V-150mA, 140-145lm/W; Ra80.  | Vàng (3.000K - 3.200K)","Vàng (3.000K - 3.200K)","1W","6V","150mA","140-145lm","140-145lm/W","Ra80"
"LED-PCT3030","Mua hàng","Hạt LED PCT 3030","LED","3030UW18V1W-H2","PCT - LED 3030 - PCT - 1W/18V-60mA, 140-150lm/W; Ra80. | Trắng (6.000K - 6.500K)","Trắng (6.000K - 6.500K)","1W","18V","60mA","140-150lm","140-150lm/W","Ra80"
"LED-PCT3030","Mua hàng","Hạt LED PCT 3030","LED","3030UZ18V1W-H2","PCT - LED 3030 - PCT - 1W/18V-60mA, 140-150lm/W; Ra80. | Trắng (5.000K)","Trắng (5.000K)","1W","18V","60mA","140-150lm","140-150lm/W","Ra80"
"LED-PCT3030","Mua hàng","Hạt LED PCT 3030","LED","3030UN18V1W-H2","PCT - LED 3030 - PCT - 1W/18V-60mA, 140-150lm/W; Ra80. | Trung tính (4.000K - 4.200K)","Trung tính (4.000K - 4.200K)","1W","18V","60mA","140-150lm","140-150lm/W","Ra80"
"LED-PCT3030","Mua hàng","Hạt LED PCT 3030","LED","3030US18V1W-H2","PCT - LED 3030 - PCT - 1W/18V-60mA, 140-150lm/W; Ra80. | Vàng (3.000K - 3.200K)","Vàng (3.000K - 3.200K)","1W","18V","60mA","140-150lm","140-150lm/W","Ra80"
"LED-PCT5050","Mua hàng","Hạt LED PCT 5050","LED","PCT5050UWY2C4B-G330-VN","PCT - LED 5050 2W/6V/300mA/300-330LM.Ra70 1936*8 | Trắng (6.000K - 6.500K)","Trắng (6.000K - 6.500K)","2W","6V","300mA","300-330lm","150-165lm/W","Ra70"
"LED-PCT5050","Mua hàng","Hạt LED PCT 5050","LED","PCT5050UZY2C4B-G330-VN","PCT - LED 5050 2W/6V/300mA/300-330LM.Ra70 1936*8 | Trắng (5.000K)","Trắng (5.000K)","2W","6V","300mA","300-330lm","150-165lm/W","Ra70"
"LED-PCT5050","Mua hàng","Hạt LED PCT 5050","LED","PCT5050UNY2C4B-G330-VN","PCT - LED 5050 2W/6V/300mA/300-330LM.Ra70 1936*8 | Trung tính (4.000K - 4.200K)","Trung tính (4.000K - 4.200K)","2W","6V","300mA","300-330lm","150-165lm/W","Ra70"
"LED-PCT5050","Mua hàng","Hạt LED PCT 5050","LED","PCT5050USY2C4B-G330-VN","PCT - LED 5050 2W/6V/300mA/300-330LM.Ra70 1936*8 | Vàng (3.000K - 3.200K)","Vàng (3.000K - 3.200K)","2W","6V","300mA","300-330lm","150-165lm/W","Ra70"
"LED-PCT2835","Mua hàng","Hạt LED PCT 2835","LED","E2835UW6V1W-E2/ Ra70","PCT - LED 2835 - PCT - 1W/6V-150mA, 110-120lm/W; Ra80 | Trắng (6.000K - 6.500K)","Trắng (6.000K - 6.500K)","1W","6V","150mA","110-120lm","110-120lm/W","Ra80"
"LED-PCT2835","Mua hàng","Hạt LED PCT 2835","LED","E2835UZ6V1W-E2/ Ra70","PCT - LED 2835 - PCT - 1W/6V-150mA, 110-120lm/W; Ra80 | Trắng (5.000K)","Trắng (5.000K)","1W","6V","150mA","110-120lm","110-120lm/W","Ra80"
"LED-PCT2835","Mua hàng","Hạt LED PCT 2835","LED","E2835UN6V1W-E2/ Ra70","PCT - LED 2835 - PCT - 1W/6V-150mA, 110-120lm/W; Ra80 | Trung tính (4.000K - 4.200K)","Trung tính (4.000K - 4.200K)","1W","6V","150mA","110-120lm","110-120lm/W","Ra80"
"LED-PCT2835","Mua hàng","Hạt LED PCT 2835","LED","E2835US6V1W-E2/ Ra70","PCT - LED 2835 - PCT - 1W/6V-150mA, 110-120lm/W; Ra80 | Vàng (3.000K - 3.200K)","Vàng (3.000K - 3.200K)","1W","6V","150mA","110-120lm","110-120lm/W","Ra80"
"LED-PCT2835","Mua hàng","Hạt LED PCT 2835","LED","E2835UW18V1W-E1/ Ra70","PCT - LED 2835 - PCT - 1W/18V-60mA, 110-120lm/W; Ra80 | Trắng (6.000K - 6.500K)","Trắng (6.000K - 6.500K)","1W","18V","60mA","110-120lm","110-120lm/W","Ra80"
"LED-PCT2835","Mua hàng","Hạt LED PCT 2835","LED","E2835UZ18V1W-E1/ Ra70","PCT - LED 2835 - PCT - 1W/18V-60mA, 110-120lm/W; Ra80 | Trắng (5.000K)","Trắng (5.000K)","1W","18V","60mA","110-120lm","110-120lm/W","Ra80"
"LED-PCT2835","Mua hàng","Hạt LED PCT 2835","LED","E2835UN18V1W-E1/ Ra70","PCT - LED 2835 - PCT - 1W/18V-60mA, 110-120lm/W; Ra80 | Trung tính (4.000K - 4.200K)","Trung tính (4.000K - 4.200K)","1W","18V","60mA","110-120lm","110-120lm/W","Ra80"
"LED-PCT2835","Mua hàng","Hạt LED PCT 2835","LED","E2835US18V1W-E1/ Ra70","PCT - LED 2835 - PCT - 1W/18V-60mA, 110-120lm/W; Ra80 | Vàng (3.000K - 3.200K)","Vàng (3.000K - 3.200K)","1W","18V","60mA","110-120lm","110-120lm/W","Ra80"
