"Mã sản phẩm","Tên sản phẩm","Nhóm sản phẩm","Phương pháp bổ sung","Mã biến thể","Tên biến thể","Mô tả","Công suất","Phân loại chóa"
"PPQ-VDPXH","Chóa phản quang đèn pha rọi xám PXH","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDPXHC020","Chóa phản quang đèn pha rọi xám PXH Công suất 20W","","20W",""
"PPQ-VDPXH","Chóa phản quang đèn pha rọi xám PXH","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDPXHC030","Chóa phản quang đèn pha rọi xám PXH Công suất 30W","","30W",""
"PPQ-VDPXH","Chóa phản quang đèn pha rọi xám PXH","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDPXHC050","Chóa phản quang đèn pha rọi xám PXH Công suất 50W","","50W",""
"PPQ-VDPXH","Chóa phản quang đèn pha rọi xám PXH","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDPXHC100","Chóa phản quang đèn pha rọi xám PXH Công suất 100W","","100W",""
"PPQ-VDPXH","Chóa phản quang đèn pha rọi xám PXH","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDPXHC150","Chóa phản quang đèn pha rọi xám PXH Công suất 150W","","150W",""
"PPQ-VDPXH","Chóa phản quang đèn pha rọi xám PXH","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDPXHC200","Chóa phản quang đèn pha rọi xám PXH Công suất 200W","","200W",""
"PPQ-VDPXH","Chóa phản quang đèn pha rọi xám PXH","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDPXHC250","Chóa phản quang đèn pha rọi xám PXH Công suất 250W","","250W",""
"PPQ-VDPXH","Chóa phản quang đèn pha rọi xám PXH","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDPXHC300-2H","Chóa phản quang đèn pha rọi xám PXH Công suất 300W | 2 hàng","","300W","2 hàng"
"PPQ-VDPXH","Chóa phản quang đèn pha rọi xám PXH","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDPXHC400-2H","Chóa phản quang đèn pha rọi xám PXH Công suất 400W | 2 hàng","","400W","2 hàng"
"PPQ-VDPXH","Chóa phản quang đèn pha rọi xám PXH","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDPXHC500-2H","Chóa phản quang đèn pha rọi xám PXH Công suất 500W | 2 hàng","","500W","2 hàng"
"PPQ-VDPTV","Chóa phản quang đèn pha vuông PTV","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDPTVC100","Chóa phản quang đèn pha vuông PTV Công suất 100W","","100W",""
"PPQ-VDPTV","Chóa phản quang đèn pha vuông PTV","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDPTVC300","Chóa phản quang đèn pha vuông PTV Công suất 300W","Dùng cho 150-300W","300W",""
"PPQ-VDPTV","Chóa phản quang đèn pha vuông PTV","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDPTVC500","Chóa phản quang đèn pha vuông PTV Công suất 500W","Dùng cho 400-500W","500W",""
"PPQ-VDPCC","Chóa phản quang đèn pha cầu cảng PCC","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDPCCS400","Chóa phản quang đèn pha cầu cảng PCC Công suất 400W","","400W",""
"PPQ-VDPCC","Chóa phản quang đèn pha cầu cảng PCC","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDPCCS600","Chóa phản quang đèn pha cầu cảng PCC Công suất 600W","","600W",""
"PPQ-VDPCC","Chóa phản quang đèn pha cầu cảng PCC","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDPCCS1K0","Chóa phản quang đèn pha cầu cảng PCC Công suất 1000W","","1000W",""
"PPQ-VDPCT","Chóa phản quang đèn pha cẩu tháp PCT","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDPCTS500","Chóa phản quang đèn pha cẩu tháp PCT Công suất 500W","","500W",""
"PPQ-VDPCT","Chóa phản quang đèn pha cẩu tháp PCT","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDPCTS1K0","Chóa phản quang đèn pha cẩu tháp PCT Công suất 1000W","","1000W",""
"PPQ-VDPCT","Chóa phản quang đèn pha cẩu tháp PCT","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDPCTS1K5","Chóa phản quang đèn pha cẩu tháp PCT Công suất 1500W","","1500W",""
"PPQ-VDPVD","Chóa phản quang đèn pha sân vận động PVD","(PPQ) Chóa phản quang","Mua hàng","","","","",""
"PPQ-VDPVL","Chóa phản quang đèn pha viền mắt lồi PVL","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDPVLC100","Chóa phản quang đèn pha viền mắt lồi PVL Công suất 100W","","100W",""
"PPQ-VDPVL","Chóa phản quang đèn pha viền mắt lồi PVL","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDPVLC150","Chóa phản quang đèn pha viền mắt lồi PVL Công suất 150W","","150W",""
"PPQ-VDPVL","Chóa phản quang đèn pha viền mắt lồi PVL","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDPVLC200","Chóa phản quang đèn pha viền mắt lồi PVL Công suất 200W","","200W",""
"PPQ-VDPVL","Chóa phản quang đèn pha viền mắt lồi PVL","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDPVLC250","Chóa phản quang đèn pha viền mắt lồi PVL Công suất 250W","","250W",""
"PPQ-VDPVL","Chóa phản quang đèn pha viền mắt lồi PVL","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDPVLC300","Chóa phản quang đèn pha viền mắt lồi PVL Công suất 300W","","300W",""
"PPQ-VDPVL","Chóa phản quang đèn pha viền mắt lồi PVL","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDPVLC400","Chóa phản quang đèn pha viền mắt lồi PVL Công suất 400W","","400W",""
"PPQ-VDXHB","Chóa phản quang đèn nhà xưởng highbay XHB","(PPQ) Chóa phản quang","Mua hàng","","","","",""
"PPQ-VDX03","Tấm che mặt chip UFO X03","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDX03S100","Tấm che mặt chip UFO X03 Công suất 100W","","100W",""
"PPQ-VDX03","Tấm che mặt chip UFO X03","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDX03S150","Tấm che mặt chip UFO X03 Công suất 150W","","150W",""
"PPQ-VDX03","Tấm che mặt chip UFO X03","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDX03S200","Tấm che mặt chip UFO X03 Công suất 200W","","200W",""
"PPQ-VDX03","Tấm che mặt chip UFO X03","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDX03S250","Tấm che mặt chip UFO X03 Công suất 250W","","250W",""
"PPQ-VDDQL","Chóa phản quang đèn đường quạt DQL","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDDQLC-S","Chóa phản quang đèn đường quạt DQL - Nhỏ","","","Nhỏ"
"PPQ-VDDQL","Chóa phản quang đèn đường quạt DQL","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDDQLC-L","Chóa phản quang đèn đường quạt DQL - To","","","To"
"PPQ-VDD71","Tấm che mặt chip đèn đường BRP371","(PPQ) Chóa phản quang","Mua hàng","","","","",""
"PPQ-VDD72","Tấm che mặt chip đèn đường BRP372","(PPQ) Chóa phản quang","Mua hàng","","","","",""
"PPQ-VDD73","Tấm che mặt chip đèn đường BRP373","(PPQ) Chóa phản quang","Mua hàng","","","","",""
"PPQ-VDD74","Tấm che mặt chip đèn đường BRP374","(PPQ) Chóa phản quang","Mua hàng","","","","",""
"PPQ-VDD20","Tấm che mặt chip đèn đường D20","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDD20S050-A","Tấm che mặt chip đèn đường D20 Công suất 50W - Mẫu A","","50W","Mẫu A"
"PPQ-VDD20","Tấm che mặt chip đèn đường D20","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDD20S100-A","Tấm che mặt chip đèn đường D20 Công suất 100W - Mẫu A","","100W","Mẫu A"
"PPQ-VDD20","Tấm che mặt chip đèn đường D20","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDD20S150-A","Tấm che mặt chip đèn đường D20 Công suất 150W - Mẫu A","","150W","Mẫu A"
"PPQ-VDD20","Tấm che mặt chip đèn đường D20","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDD20S200-A","Tấm che mặt chip đèn đường D20 Công suất 200W - Mẫu A","","200W","Mẫu A"
"PPQ-VDD20","Tấm che mặt chip đèn đường D20","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDD20S050-B","Tấm che mặt chip đèn đường D20 Công suất 50W - Mẫu B","","50W","Mẫu B"
"PPQ-VDD20","Tấm che mặt chip đèn đường D20","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDD20S100-B","Tấm che mặt chip đèn đường D20 Công suất 100W - Mẫu B","","100W","Mẫu B"
"PPQ-VDD20","Tấm che mặt chip đèn đường D20","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDD20S150-B","Tấm che mặt chip đèn đường D20 Công suất 150W - Mẫu B","","150W","Mẫu B"
"PPQ-VDD20","Tấm che mặt chip đèn đường D20","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDD20S200-B","Tấm che mặt chip đèn đường D20 Công suất 200W - Mẫu B","","200W","Mẫu B"
"PPQ-VDD21","Tấm che mặt chip đèn đường D21","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDD21S050","Tấm che mặt chip đèn đường D21 Công suất 50W","","50W",""
"PPQ-VDD21","Tấm che mặt chip đèn đường D21","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDD21S100","Tấm che mặt chip đèn đường D21 Công suất 100W","","100W",""
"PPQ-VDD21","Tấm che mặt chip đèn đường D21","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDD21S150","Tấm che mặt chip đèn đường D21 Công suất 150W","","150W",""
"PPQ-VDD21","Tấm che mặt chip đèn đường D21","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDD21S200","Tấm che mặt chip đèn đường D21 Công suất 200W","","200W",""
"PPQ-VDD22","Tấm che mặt chip đèn đường D22","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDD22S050","Tấm che mặt chip đèn đường D22 Công suất 50W","","50W",""
"PPQ-VDD22","Tấm che mặt chip đèn đường D22","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDD22S100","Tấm che mặt chip đèn đường D22 Công suất 100W","","100W",""
"PPQ-VDD22","Tấm che mặt chip đèn đường D22","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDD22S150","Tấm che mặt chip đèn đường D22 Công suất 150W","","150W",""
"PPQ-VDD22","Tấm che mặt chip đèn đường D22","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDD22S200","Tấm che mặt chip đèn đường D22 Công suất 200W","","200W",""
"PPQ-VDD22","Tấm che mặt chip đèn đường D22","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDD22S250","Tấm che mặt chip đèn đường D22 Công suất 250W","","250W",""
"PPQ-VDD23","Tấm che mặt chip đèn đường D23","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDD23S050","Tấm che mặt chip đèn đường D23 Công suất 50W","","50W",""
"PPQ-VDD23","Tấm che mặt chip đèn đường D23","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDD23S100","Tấm che mặt chip đèn đường D23 Công suất 100W","","100W",""
"PPQ-VDD23","Tấm che mặt chip đèn đường D23","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDD23S150","Tấm che mặt chip đèn đường D23 Công suất 150W","","150W",""
"PPQ-VDD23","Tấm che mặt chip đèn đường D23","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDD23S200","Tấm che mặt chip đèn đường D23 Công suất 200W","","200W",""
"PPQ-VDD23","Tấm che mặt chip đèn đường D23","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDD23S250","Tấm che mặt chip đèn đường D23 Công suất 250W","","250W",""
"PPQ-VDD25","Tấm che mặt chip đèn đường D25","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDD25S050","Tấm che mặt chip đèn đường D25 Công suất 50W","","50W",""
"PPQ-VDD25","Tấm che mặt chip đèn đường D25","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDD25S100","Tấm che mặt chip đèn đường D25 Công suất 100W","","100W",""
"PPQ-VDD25","Tấm che mặt chip đèn đường D25","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDD25S150","Tấm che mặt chip đèn đường D25 Công suất 150W","","150W",""
"PPQ-VDD25","Tấm che mặt chip đèn đường D25","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDD25S200","Tấm che mặt chip đèn đường D25 Công suất 200W","","200W",""
"PPQ-VDD25","Tấm che mặt chip đèn đường D25","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDD25S250","Tấm che mặt chip đèn đường D25 Công suất 250W","","250W",""
"PPQ-VDD26","Tấm che mặt chip đèn đường D26","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDD26S050","Tấm che mặt chip đèn đường D26 Công suất 50W","","50W",""
"PPQ-VDD26","Tấm che mặt chip đèn đường D26","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDD26S100","Tấm che mặt chip đèn đường D26 Công suất 100W","","100W",""
"PPQ-VDD26","Tấm che mặt chip đèn đường D26","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDD26S150","Tấm che mặt chip đèn đường D26 Công suất 150W","","150W",""
"PPQ-VDD26","Tấm che mặt chip đèn đường D26","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDD26S200","Tấm che mặt chip đèn đường D26 Công suất 200W","","200W",""
"PPQ-VDD26","Tấm che mặt chip đèn đường D26","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDD26S250","Tấm che mặt chip đèn đường D26 Công suất 250W","","250W",""
"PPQ-VDNU1","Chóa phản quang đèn phòng nổ UFO NU1","(PPQ) Chóa phản quang","Mua hàng","","","","",""
"PPQ-VDNU2","Tấm che mặt chip đèn phòng nổ UFO NU2","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDNU2S100","Tấm che mặt chip đèn phòng nổ UFO NU2 Công suất 100W","","100W",""
"PPQ-VDNU2","Tấm che mặt chip đèn phòng nổ UFO NU2","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDNU2S200","Tấm che mặt chip đèn phòng nổ UFO NU2 Công suất 200W","","200W",""
"PPQ-VDNU2","Tấm che mặt chip đèn phòng nổ UFO NU2","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDNU2S250","Tấm che mặt chip đèn phòng nổ UFO NU2 Công suất 250W","","250W",""
"PPQ-VDNP1","Tấm che mặt chip đèn phòng nổ pha NP1","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDNP1S150","Tấm che mặt chip đèn phòng nổ pha NP1 Công suất 150W","","150W",""
"PPQ-VDNP1","Tấm che mặt chip đèn phòng nổ pha NP1","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDNP1S200","Tấm che mặt chip đèn phòng nổ pha NP1 Công suất 200W","","200W",""
"PPQ-VDNP1","Tấm che mặt chip đèn phòng nổ pha NP1","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDNP1S400","Tấm che mặt chip đèn phòng nổ pha NP1 Công suất 400W","","400W",""
"PPQ-VDDS1","Tấm che mặt chip đèn đường DS1","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDDS1S050","Tấm che mặt chip đèn đường DS1 Công suất 50W","","50W",""
"PPQ-VDDS1","Tấm che mặt chip đèn đường DS1","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDDS1S100","Tấm che mặt chip đèn đường DS1 Công suất 100W","","100W",""
"PPQ-VDDS1","Tấm che mặt chip đèn đường DS1","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDDS1S150","Tấm che mặt chip đèn đường DS1 Công suất 150W","","150W",""
"PPQ-VDPS1","Tấm che mặt chip đèn pha PS1","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDPS1S100","Tấm che mặt chip đèn pha PS1 Công suất 100W","","100W",""
"PPQ-VDPS1","Tấm che mặt chip đèn pha PS1","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDPS1S200","Tấm che mặt chip đèn pha PS1 Công suất 200W","","200W",""
