"Mã sản phẩm","Tên sản phẩm","Nhóm sản phẩm","Mã biến thể","Tên biến thể","Màu ánh sáng","Loại LED","Công suất","Mạch","Điện áp","Kích thước LED","Số lượng LED"
"CM30S050","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15","Chip LED Module","CM30S050-4P3-5C-64LED","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15 | Trung tính (4.000K - 4.200K), Lumileds 3030, 50W, 5C, 30VDC, 64LED","Trung tính (4.000K - 4.200K)","Lumileds 3030","50","5C","30VDC","3030","64"
"CM30S050","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15","Chip LED Module","CM30S050-3P3-5C-64LED","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15 | Vàng (3.000K - 3.200K), Lumileds 3030, 50W, 5C, 30VDC, 64LED","Vàng (3.000K - 3.200K)","Lumileds 3030","50","5C","30VDC","3030","64"
"CM30S050","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15","Chip LED Module","CM30S050-6P3-5C-50LED","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15 | Trắng (6.000K - 6.500K), Lumileds 3030, 50W, 5C, 30VDC, 50LED","Trắng (6.000K - 6.500K)","Lumileds 3030","50","5C","30VDC","3030","50"
"CM30S050","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15","Chip LED Module","CM30S050-5P3-5C-50LED","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15 | Trắng (5.000K), Lumileds 3030, 50W, 5C, 30VDC, 50LED","Trắng (5.000K)","Lumileds 3030","50","5C","30VDC","3030","50"
"CM30S050","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15","Chip LED Module","CM30S050-4P3-5C-50LED","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15 | Trung tính (4.000K - 4.200K), Lumileds 3030, 50W, 5C, 30VDC, 50LED","Trung tính (4.000K - 4.200K)","Lumileds 3030","50","5C","30VDC","3030","50"
"CM30S050","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15","Chip LED Module","CM30S050-3P3-5C-50LED","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15 | Vàng (3.000K - 3.200K), Lumileds 3030, 50W, 5C, 30VDC, 50LED","Vàng (3.000K - 3.200K)","Lumileds 3030","50","5C","30VDC","3030","50"
"CM30S050","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15","Chip LED Module","CM30S050-6P3-7C-49LED","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15 | Trắng (6.000K - 6.500K), Lumileds 3030, 50W, 7C, 42VDC, 49LED","Trắng (6.000K - 6.500K)","Lumileds 3030","50","7C","42VDC","3030","49"
"CM30S050","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15","Chip LED Module","CM30S050-5P3-7C-49LED","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15 | Trắng (5.000K), Lumileds 3030, 50W, 7C, 42VDC, 49LED","Trắng (5.000K)","Lumileds 3030","50","7C","42VDC","3030","49"
"CM30S050","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15","Chip LED Module","CM30S050-4P3-7C-49LED","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15 | Trung tính (4.000K - 4.200K), Lumileds 3030, 50W, 7C, 42VDC, 49LED","Trung tính (4.000K - 4.200K)","Lumileds 3030","50","7C","42VDC","3030","49"
"CM30S050","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15","Chip LED Module","CM30S050-3P3-7C-49LED","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15 | Vàng (3.000K - 3.200K), Lumileds 3030, 50W, 7C, 42VDC, 49LED","Vàng (3.000K - 3.200K)","Lumileds 3030","50","7C","42VDC","3030","49"
"CM30S050","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15","Chip LED Module","CM30S050-6P3-8C-64LED","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15 | Trắng (6.000K - 6.500K), Lumileds 3030, 50W, 8C, 48VDC, 64LED","Trắng (6.000K - 6.500K)","Lumileds 3030","50","8C","48VDC","3030","64"
"CM30S050","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15","Chip LED Module","CM30S050-5P3-8C-64LED","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15 | Trắng (5.000K), Lumileds 3030, 50W, 8C, 48VDC, 64LED","Trắng (5.000K)","Lumileds 3030","50","8C","48VDC","3030","64"
"CM30S050","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15","Chip LED Module","CM30S050-4P3-8C-64LED","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15 | Trung tính (4.000K - 4.200K), Lumileds 3030, 50W, 8C, 48VDC, 64LED","Trung tính (4.000K - 4.200K)","Lumileds 3030","50","8C","48VDC","3030","64"
"CM30S050","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15","Chip LED Module","CM30S050-3P3-8C-64LED","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15 | Vàng (3.000K - 3.200K), Lumileds 3030, 50W, 8C, 48VDC, 64LED","Vàng (3.000K - 3.200K)","Lumileds 3030","50","8C","48VDC","3030","64"
"CM30S050","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15","Chip LED Module","CM30S050-6B3-5C-64LED","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15 | Trắng (6.000K - 6.500K), Bridgelux 3030, 50W, 5C, 30VDC, 64LED","Trắng (6.000K - 6.500K)","Bridgelux 3030","50","5C","30VDC","3030","64"
"CM30S050","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15","Chip LED Module","CM30S050-5B3-5C-64LED","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15 | Trắng (5.000K), Bridgelux 3030, 50W, 5C, 30VDC, 64LED","Trắng (5.000K)","Bridgelux 3030","50","5C","30VDC","3030","64"
"CM30S050","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15","Chip LED Module","CM30S050-4B3-5C-64LED","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15 | Trung tính (4.000K - 4.200K), Bridgelux 3030, 50W, 5C, 30VDC, 64LED","Trung tính (4.000K - 4.200K)","Bridgelux 3030","50","5C","30VDC","3030","64"
"CM30S050","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15","Chip LED Module","CM30S050-3B3-5C-64LED","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15 | Vàng (3.000K - 3.200K), Bridgelux 3030, 50W, 5C, 30VDC, 64LED","Vàng (3.000K - 3.200K)","Bridgelux 3030","50","5C","30VDC","3030","64"
"CM30S050","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15","Chip LED Module","CM30S050-6B3-5C-50LED","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15 | Trắng (6.000K - 6.500K), Bridgelux 3030, 50W, 5C, 30VDC, 50LED","Trắng (6.000K - 6.500K)","Bridgelux 3030","50","5C","30VDC","3030","50"
"CM30S050","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15","Chip LED Module","CM30S050-5B3-5C-50LED","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15 | Trắng (5.000K), Bridgelux 3030, 50W, 5C, 30VDC, 50LED","Trắng (5.000K)","Bridgelux 3030","50","5C","30VDC","3030","50"
"CM30S050","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15","Chip LED Module","CM30S050-4B3-5C-50LED","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15 | Trung tính (4.000K - 4.200K), Bridgelux 3030, 50W, 5C, 30VDC, 50LED","Trung tính (4.000K - 4.200K)","Bridgelux 3030","50","5C","30VDC","3030","50"
"CM30S050","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15","Chip LED Module","CM30S050-3B3-5C-50LED","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15 | Vàng (3.000K - 3.200K), Bridgelux 3030, 50W, 5C, 30VDC, 50LED","Vàng (3.000K - 3.200K)","Bridgelux 3030","50","5C","30VDC","3030","50"
"CM30S050","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15","Chip LED Module","CM30S050-6B3-7C-49LED","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15 | Trắng (6.000K - 6.500K), Bridgelux 3030, 50W, 7C, 42VDC, 49LED","Trắng (6.000K - 6.500K)","Bridgelux 3030","50","7C","42VDC","3030","49"
"CM30S050","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15","Chip LED Module","CM30S050-5B3-7C-49LED","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15 | Trắng (5.000K), Bridgelux 3030, 50W, 7C, 42VDC, 49LED","Trắng (5.000K)","Bridgelux 3030","50","7C","42VDC","3030","49"
"CM30S050","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15","Chip LED Module","CM30S050-4B3-7C-49LED","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15 | Trung tính (4.000K - 4.200K), Bridgelux 3030, 50W, 7C, 42VDC, 49LED","Trung tính (4.000K - 4.200K)","Bridgelux 3030","50","7C","42VDC","3030","49"
"CM30S050","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15","Chip LED Module","CM30S050-3B3-7C-49LED","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15 | Vàng (3.000K - 3.200K), Bridgelux 3030, 50W, 7C, 42VDC, 49LED","Vàng (3.000K - 3.200K)","Bridgelux 3030","50","7C","42VDC","3030","49"
"CM30S050","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15","Chip LED Module","CM30S050-6B3-8C-64LED","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15 | Trắng (6.000K - 6.500K), Bridgelux 3030, 50W, 8C, 48VDC, 64LED","Trắng (6.000K - 6.500K)","Bridgelux 3030","50","8C","48VDC","3030","64"
"CM30S050","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15","Chip LED Module","CM30S050-5B3-8C-64LED","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15 | Trắng (5.000K), Bridgelux 3030, 50W, 8C, 48VDC, 64LED","Trắng (5.000K)","Bridgelux 3030","50","8C","48VDC","3030","64"
"CM30S050","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15","Chip LED Module","CM30S050-4B3-8C-64LED","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15 | Trung tính (4.000K - 4.200K), Bridgelux 3030, 50W, 8C, 48VDC, 64LED","Trung tính (4.000K - 4.200K)","Bridgelux 3030","50","8C","48VDC","3030","64"
"CM30S050","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15","Chip LED Module","CM30S050-3B3-8C-64LED","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15 | Vàng (3.000K - 3.200K), Bridgelux 3030, 50W, 8C, 48VDC, 64LED","Vàng (3.000K - 3.200K)","Bridgelux 3030","50","8C","48VDC","3030","64"
"CM50S050","Chip Module SMD 50W LED 5050 - Sử dụng: Module SMD 50W; D11-15","Chip LED Module","CM50S050-6P5-5C-16LED","Chip Module SMD 50W LED 5050 - Sử dụng: Module SMD 50W; D11-15 | Trắng (6.000K - 6.500K), Lumileds 5050, 50W, 5C, 30VDC, 16LED","Trắng (6.000K - 6.500K)","Lumileds 5050","50","5C","30VDC","5050","16"
"CM50S050","Chip Module SMD 50W LED 5050 - Sử dụng: Module SMD 50W; D11-15","Chip LED Module","CM50S050-5P5-5C-16LED","Chip Module SMD 50W LED 5050 - Sử dụng: Module SMD 50W; D11-15 | Trắng (5.000K), Lumileds 5050, 50W, 5C, 30VDC, 16LED","Trắng (5.000K)","Lumileds 5050","50","5C","30VDC","5050","16"
"CM50S050","Chip Module SMD 50W LED 5050 - Sử dụng: Module SMD 50W; D11-15","Chip LED Module","CM50S050-4P5-5C-16LED","Chip Module SMD 50W LED 5050 - Sử dụng: Module SMD 50W; D11-15 | Trung tính (4.000K - 4.200K), Lumileds 5050, 50W, 5C, 30VDC, 16LED","Trung tính (4.000K - 4.200K)","Lumileds 5050","50","5C","30VDC","5050","16"
"CM50S050","Chip Module SMD 50W LED 5050 - Sử dụng: Module SMD 50W; D11-15","Chip LED Module","CM50S050-3P5-5C-16LED","Chip Module SMD 50W LED 5050 - Sử dụng: Module SMD 50W; D11-15 | Vàng (3.000K - 3.200K), Lumileds 5050, 50W, 5C, 30VDC, 16LED","Vàng (3.000K - 3.200K)","Lumileds 5050","50","5C","30VDC","5050","16"
"CM50S050","Chip Module SMD 50W LED 5050 - Sử dụng: Module SMD 50W; D11-15","Chip LED Module","CM50S050-6B5-5C-16LED","Chip Module SMD 50W LED 5050 - Sử dụng: Module SMD 50W; D11-15 | Trắng (6.000K - 6.500K), Bridgelux 5050, 50W, 5C, 30VDC, 16LED","Trắng (6.000K - 6.500K)","Bridgelux 5050","50","5C","30VDC","5050","16"
"CM50S050","Chip Module SMD 50W LED 5050 - Sử dụng: Module SMD 50W; D11-15","Chip LED Module","CM50S050-5B5-5C-16LED","Chip Module SMD 50W LED 5050 - Sử dụng: Module SMD 50W; D11-15 | Trắng (5.000K), Bridgelux 5050, 50W, 5C, 30VDC, 16LED","Trắng (5.000K)","Bridgelux 5050","50","5C","30VDC","5050","16"
"CM50S050","Chip Module SMD 50W LED 5050 - Sử dụng: Module SMD 50W; D11-15","Chip LED Module","CM50S050-4B5-5C-16LED","Chip Module SMD 50W LED 5050 - Sử dụng: Module SMD 50W; D11-15 | Trung tính (4.000K - 4.200K), Bridgelux 5050, 50W, 5C, 30VDC, 16LED","Trung tính (4.000K - 4.200K)","Bridgelux 5050","50","5C","30VDC","5050","16"
"CM50S050","Chip Module SMD 50W LED 5050 - Sử dụng: Module SMD 50W; D11-15","Chip LED Module","CM50S050-3B5-5C-16LED","Chip Module SMD 50W LED 5050 - Sử dụng: Module SMD 50W; D11-15 | Vàng (3.000K - 3.200K), Bridgelux 5050, 50W, 5C, 30VDC, 16LED","Vàng (3.000K - 3.200K)","Bridgelux 5050","50","5C","30VDC","5050","16"
"CM30C050","Chip Module SMD 50W LED 3030 - Sử dụng: Module COB 50W","Chip LED Module","CM30C050-6P3-5C-49LED","Chip Module SMD 50W LED 3030 - Sử dụng: Module COB 50W | Trắng (6.000K - 6.500K), Lumileds 3030, 50W, 5C, 30VDC, 49LED","Trắng (6.000K - 6.500K)","Lumileds 3030","50","5C","30VDC","3030","49"
"CM30C050","Chip Module SMD 50W LED 3030 - Sử dụng: Module COB 50W","Chip LED Module","CM30C050-5P3-5C-49LED","Chip Module SMD 50W LED 3030 - Sử dụng: Module COB 50W | Trắng (5.000K), Lumileds 3030, 50W, 5C, 30VDC, 49LED","Trắng (5.000K)","Lumileds 3030","50","5C","30VDC","3030","49"
"CM30C050","Chip Module SMD 50W LED 3030 - Sử dụng: Module COB 50W","Chip LED Module","CM30C050-4P3-5C-49LED","Chip Module SMD 50W LED 3030 - Sử dụng: Module COB 50W | Trung tính (4.000K - 4.200K), Lumileds 3030, 50W, 5C, 30VDC, 49LED","Trung tính (4.000K - 4.200K)","Lumileds 3030","50","5C","30VDC","3030","49"
"CM30C050","Chip Module SMD 50W LED 3030 - Sử dụng: Module COB 50W","Chip LED Module","CM30C050-3P3-5C-49LED","Chip Module SMD 50W LED 3030 - Sử dụng: Module COB 50W | Vàng (3.000K - 3.200K), Lumileds 3030, 50W, 5C, 30VDC, 49LED","Vàng (3.000K - 3.200K)","Lumileds 3030","50","5C","30VDC","3030","49"
"CM30C050","Chip Module SMD 50W LED 3030 - Sử dụng: Module COB 50W","Chip LED Module","CM30C050-6B3-5C-49LED","Chip Module SMD 50W LED 3030 - Sử dụng: Module COB 50W | Trắng (6.000K - 6.500K), Bridgelux 3030, 50W, 5C, 30VDC, 49LED","Trắng (6.000K - 6.500K)","Bridgelux 3030","50","5C","30VDC","3030","49"
"CM30C050","Chip Module SMD 50W LED 3030 - Sử dụng: Module COB 50W","Chip LED Module","CM30C050-5B3-5C-49LED","Chip Module SMD 50W LED 3030 - Sử dụng: Module COB 50W | Trắng (5.000K), Bridgelux 3030, 50W, 5C, 30VDC, 49LED","Trắng (5.000K)","Bridgelux 3030","50","5C","30VDC","3030","49"
"CM30C050","Chip Module SMD 50W LED 3030 - Sử dụng: Module COB 50W","Chip LED Module","CM30C050-4B3-5C-49LED","Chip Module SMD 50W LED 3030 - Sử dụng: Module COB 50W | Trung tính (4.000K - 4.200K), Bridgelux 3030, 50W, 5C, 30VDC, 49LED","Trung tính (4.000K - 4.200K)","Bridgelux 3030","50","5C","30VDC","3030","49"
"CM30C050","Chip Module SMD 50W LED 3030 - Sử dụng: Module COB 50W","Chip LED Module","CM30C050-3B3-5C-49LED","Chip Module SMD 50W LED 3030 - Sử dụng: Module COB 50W | Vàng (3.000K - 3.200K), Bridgelux 3030, 50W, 5C, 30VDC, 49LED","Vàng (3.000K - 3.200K)","Bridgelux 3030","50","5C","30VDC","3030","49"
"CM30S200","Chip Module SMD 200W LED 3030 - Sử dụng: Module SMD 200W","Chip LED Module","CM30S200-6P3-5C-288LED","Chip Module SMD 200W LED 3030 - Sử dụng: Module SMD 200W | Trắng (6.000K - 6.500K), Lumileds 3030, 200W, 5C, 30VDC, 288LED","Trắng (6.000K - 6.500K)","Lumileds 3030","200","5C","30VDC","3030","288"
"CM30S200","Chip Module SMD 200W LED 3030 - Sử dụng: Module SMD 200W","Chip LED Module","CM30S200-5P3-5C-288LED","Chip Module SMD 200W LED 3030 - Sử dụng: Module SMD 200W | Trắng (5.000K), Lumileds 3030, 200W, 5C, 30VDC, 288LED","Trắng (5.000K)","Lumileds 3030","200","5C","30VDC","3030","288"
"CM30S200","Chip Module SMD 200W LED 3030 - Sử dụng: Module SMD 200W","Chip LED Module","CM30S200-4P3-5C-288LED","Chip Module SMD 200W LED 3030 - Sử dụng: Module SMD 200W | Trung tính (4.000K - 4.200K), Lumileds 3030, 200W, 5C, 30VDC, 288LED","Trung tính (4.000K - 4.200K)","Lumileds 3030","200","5C","30VDC","3030","288"
"CM30S200","Chip Module SMD 200W LED 3030 - Sử dụng: Module SMD 200W","Chip LED Module","CM30S200-3P3-5C-288LED","Chip Module SMD 200W LED 3030 - Sử dụng: Module SMD 200W | Vàng (3.000K - 3.200K), Lumileds 3030, 200W, 5C, 30VDC, 288LED","Vàng (3.000K - 3.200K)","Lumileds 3030","200","5C","30VDC","3030","288"
"CM30S200","Chip Module SMD 200W LED 3030 - Sử dụng: Module SMD 200W","Chip LED Module","CM30S200-6B3-5C-288LED","Chip Module SMD 200W LED 3030 - Sử dụng: Module SMD 200W | Trắng (6.000K - 6.500K), Bridgelux 3030, 200W, 5C, 30VDC, 288LED","Trắng (6.000K - 6.500K)","Bridgelux 3030","200","5C","30VDC","3030","288"
"CM30S200","Chip Module SMD 200W LED 3030 - Sử dụng: Module SMD 200W","Chip LED Module","CM30S200-5B3-5C-288LED","Chip Module SMD 200W LED 3030 - Sử dụng: Module SMD 200W | Trắng (5.000K), Bridgelux 3030, 200W, 5C, 30VDC, 288LED","Trắng (5.000K)","Bridgelux 3030","200","5C","30VDC","3030","288"
"CM30S200","Chip Module SMD 200W LED 3030 - Sử dụng: Module SMD 200W","Chip LED Module","CM30S200-4B3-5C-288LED","Chip Module SMD 200W LED 3030 - Sử dụng: Module SMD 200W | Trung tính (4.000K - 4.200K), Bridgelux 3030, 200W, 5C, 30VDC, 288LED","Trung tính (4.000K - 4.200K)","Bridgelux 3030","200","5C","30VDC","3030","288"
"CM30S200","Chip Module SMD 200W LED 3030 - Sử dụng: Module SMD 200W","Chip LED Module","CM30S200-3B3-5C-288LED","Chip Module SMD 200W LED 3030 - Sử dụng: Module SMD 200W | Vàng (3.000K - 3.200K), Bridgelux 3030, 200W, 5C, 30VDC, 288LED","Vàng (3.000K - 3.200K)","Bridgelux 3030","200","5C","30VDC","3030","288"
"CM50S200","Chip Module SMD 200W LED 5050 - Sử dụng: Module SMD 200W","Chip LED Module","CM50S200-6P5-5C-72LED","Chip Module SMD 200W LED 5050 - Sử dụng: Module SMD 200W | Trắng (6.000K - 6.500K), Lumileds 5050, 200W, 5C, 30VDC, 72LED","Trắng (6.000K - 6.500K)","Lumileds 5050","200","5C","30VDC","5050","72"
"CM50S200","Chip Module SMD 200W LED 5050 - Sử dụng: Module SMD 200W","Chip LED Module","CM50S200-5P5-5C-72LED","Chip Module SMD 200W LED 5050 - Sử dụng: Module SMD 200W | Trắng (5.000K), Lumileds 5050, 200W, 5C, 30VDC, 72LED","Trắng (5.000K)","Lumileds 5050","200","5C","30VDC","5050","72"
"CM50S200","Chip Module SMD 200W LED 5050 - Sử dụng: Module SMD 200W","Chip LED Module","CM50S200-4P5-5C-72LED","Chip Module SMD 200W LED 5050 - Sử dụng: Module SMD 200W | Trung tính (4.000K - 4.200K), Lumileds 5050, 200W, 5C, 30VDC, 72LED","Trung tính (4.000K - 4.200K)","Lumileds 5050","200","5C","30VDC","5050","72"
"CM50S200","Chip Module SMD 200W LED 5050 - Sử dụng: Module SMD 200W","Chip LED Module","CM50S200-3P5-5C-72LED","Chip Module SMD 200W LED 5050 - Sử dụng: Module SMD 200W | Vàng (3.000K - 3.200K), Lumileds 5050, 200W, 5C, 30VDC, 72LED","Vàng (3.000K - 3.200K)","Lumileds 5050","200","5C","30VDC","5050","72"
"CM50S200","Chip Module SMD 200W LED 5050 - Sử dụng: Module SMD 200W","Chip LED Module","CM50S200-6B5-5C-72LED","Chip Module SMD 200W LED 5050 - Sử dụng: Module SMD 200W | Trắng (6.000K - 6.500K), Bridgelux 5050, 200W, 5C, 30VDC, 72LED","Trắng (6.000K - 6.500K)","Bridgelux 5050","200","5C","30VDC","5050","72"
"CM50S200","Chip Module SMD 200W LED 5050 - Sử dụng: Module SMD 200W","Chip LED Module","CM50S200-5B5-5C-72LED","Chip Module SMD 200W LED 5050 - Sử dụng: Module SMD 200W | Trắng (5.000K), Bridgelux 5050, 200W, 5C, 30VDC, 72LED","Trắng (5.000K)","Bridgelux 5050","200","5C","30VDC","5050","72"
"CM50S200","Chip Module SMD 200W LED 5050 - Sử dụng: Module SMD 200W","Chip LED Module","CM50S200-4B5-5C-72LED","Chip Module SMD 200W LED 5050 - Sử dụng: Module SMD 200W | Trung tính (4.000K - 4.200K), Bridgelux 5050, 200W, 5C, 30VDC, 72LED","Trung tính (4.000K - 4.200K)","Bridgelux 5050","200","5C","30VDC","5050","72"
