"Mã sản phẩm","Tên sản phẩm","Nhóm sản phẩm","Mã biến thể","Tên biến thể","Công suất","Màu sơn","Version","Phân loại vỏ"
"VDP02","Vỏ đèn pha module khung hộp P02 Công suất 400W - Dùng chung P02 (SMD/COB) và P04 (COB)","(V) Vỏ đèn","VDP02-400-N-WH-v2.1","Vỏ đèn pha module khung hộp P02 Công suất 400W - Dùng chung P02 (SMD/COB) và P04 (COB) | Trắng, v2.1, Ngang","400","Trắng","v2.1","Ngang"
"VDP02","Vỏ đèn pha module khung hộp P02 Công suất 500W - Dùng chung P02 (SMD/COB) và P04 (COB)","(V) Vỏ đèn","VDP02-500-N-WH-v2.1","Vỏ đèn pha module khung hộp P02 Công suất 500W - Dùng chung P02 (SMD/COB) và P04 (COB) | Trắng, v2.1, Ngang","500","Trắng","v2.1","Ngang"
"VDP02","Vỏ đèn pha module khung hộp P02 Công suất 600W - Dùng chung P02 (SMD/COB) và P04 (COB)","(V) Vỏ đèn","VDP02-600-N-WH-v2.1","Vỏ đèn pha module khung hộp P02 Công suất 600W - Dùng chung P02 (SMD/COB) và P04 (COB) | Trắng, v2.1, Ngang","600","Trắng","v2.1","Ngang"
"VDP02","Vỏ đèn pha module khung hộp P02 Công suất 800W - Dùng chung P02 (SMD/COB) và P04 (COB)","(V) Vỏ đèn","VDP02-800-N-WH-v2.1","Vỏ đèn pha module khung hộp P02 Công suất 800W - Dùng chung P02 (SMD/COB) và P04 (COB) | Trắng, v2.1, Ngang","800","Trắng","v2.1","Ngang"
"VDP02","Vỏ đèn pha module khung hộp P02 Công suất 1000W - Dùng chung P02 (SMD/COB) và P04 (COB)","(V) Vỏ đèn","VDP02-1K0-N-WH-v2.1","Vỏ đèn pha module khung hộp P02 Công suất 1000W - Dùng chung P02 (SMD/COB) và P04 (COB) | Trắng, v2.1, Ngang","1000","Trắng","v2.1","Ngang"
"VDP02","Vỏ đèn pha module khung hộp P02 Công suất 1200W - Dùng chung P02 (SMD/COB) và P04 (COB)","(V) Vỏ đèn","VDP02-1K2-N-WH-v2.1","Vỏ đèn pha module khung hộp P02 Công suất 1200W - Dùng chung P02 (SMD/COB) và P04 (COB) | Trắng, v2.1, Ngang","1200","Trắng","v2.1","Ngang"
"VDP02","Vỏ đèn pha module khung hộp P02 Công suất 1500W - Dùng chung P02 (SMD/COB) và P04 (COB)","(V) Vỏ đèn","VDP02-1K5-N-WH-v2.1","Vỏ đèn pha module khung hộp P02 Công suất 1500W - Dùng chung P02 (SMD/COB) và P04 (COB) | Trắng, v2.1, Ngang","1500","Trắng","v2.1","Ngang"
"VDP0X","Vỏ đèn pha module khung hở P0X Công suất 50W - Dùng chung cho P01 và P03","(V) Vỏ đèn","VDP0X-050-D-BK-v3.0","Vỏ đèn pha module khung hở P0X Công suất 50W - Dùng chung cho P01 và P03 | Đen, v3.0, Dọc","50","Đen","v3.0","Dọc"
"VDP0X","Vỏ đèn pha module khung hở P0X Công suất 50W - Dùng chung cho P01 và P03","(V) Vỏ đèn","VDP0X-050-D-GY-v3.0","Vỏ đèn pha module khung hở P0X Công suất 50W - Dùng chung cho P01 và P03 | Xám, v3.0, Dọc","50","Xám","v3.0","Dọc"
"VDP0X","Vỏ đèn pha module khung hở P0X Công suất 100W - Dùng chung cho P01 và P03","(V) Vỏ đèn","VDP0X-100-D-BK-v3.0","Vỏ đèn pha module khung hở P0X Công suất 100W - Dùng chung cho P01 và P03 | Đen, v3.0, Dọc","100","Đen","v3.0","Dọc"
"VDP0X","Vỏ đèn pha module khung hở P0X Công suất 100W - Dùng chung cho P01 và P03","(V) Vỏ đèn","VDP0X-100-D-GY-v3.0","Vỏ đèn pha module khung hở P0X Công suất 100W - Dùng chung cho P01 và P03 | Xám, v3.0, Dọc","100","Xám","v3.0","Dọc"
"VDP0X","Vỏ đèn pha module khung hở P0X Công suất 100W - Dùng chung cho P01 và P03 (Lắp ngang)","(V) Vỏ đèn","VDP0X-100-N-BK-v3.0","Vỏ đèn pha module khung hở P0X Công suất 100W - Dùng chung cho P01 và P03 (Lắp ngang) | Đen, v3.0, Ngang","100","Đen","v3.0","Ngang"
"VDP0X","Vỏ đèn pha module khung hở P0X Công suất 100W - Dùng chung cho P01 và P03 (Lắp ngang)","(V) Vỏ đèn","VDP0X-100-N-GY-v3.0","Vỏ đèn pha module khung hở P0X Công suất 100W - Dùng chung cho P01 và P03 (Lắp ngang) | Xám, v3.0, Ngang","100","Xám","v3.0","Ngang"
"VDP0X","Vỏ đèn pha module khung hở P0X Công suất 150W - Dùng chung cho P01 và P03","(V) Vỏ đèn","VDP0X-150-D-BK-v3.0","Vỏ đèn pha module khung hở P0X Công suất 150W - Dùng chung cho P01 và P03 | Đen, v3.0, Dọc","150","Đen","v3.0","Dọc"
"VDP0X","Vỏ đèn pha module khung hở P0X Công suất 150W - Dùng chung cho P01 và P03","(V) Vỏ đèn","VDP0X-150-D-GY-v3.0","Vỏ đèn pha module khung hở P0X Công suất 150W - Dùng chung cho P01 và P03 | Xám, v3.0, Dọc","150","Xám","v3.0","Dọc"
"VDP0X","Vỏ đèn pha module khung hở P0X Công suất 200W - Dùng chung cho P01 và P03","(V) Vỏ đèn","VDP0X-200-D-BK-v3.0","Vỏ đèn pha module khung hở P0X Công suất 200W - Dùng chung cho P01 và P03 | Đen, v3.0, Dọc","200","Đen","v3.0","Dọc"
"VDP0X","Vỏ đèn pha module khung hở P0X Công suất 200W - Dùng chung cho P01 và P03","(V) Vỏ đèn","VDP0X-200-D-GY-v3.0","Vỏ đèn pha module khung hở P0X Công suất 200W - Dùng chung cho P01 và P03 | Xám, v3.0, Dọc","200","Xám","v3.0","Dọc"
"VDP0X","Vỏ đèn pha module khung hở P0X Công suất 200W - Dùng chung cho P01 và P03 (Lắp ngang)","(V) Vỏ đèn","VDP0X-200-N-BK-v3.0","Vỏ đèn pha module khung hở P0X Công suất 200W - Dùng chung cho P01 và P03 (Lắp ngang) | Đen, v3.0, Ngang","200","Đen","v3.0","Ngang"
"VDP0X","Vỏ đèn pha module khung hở P0X Công suất 200W - Dùng chung cho P01 và P03 (Lắp ngang)","(V) Vỏ đèn","VDP0X-200-N-GY-v3.0","Vỏ đèn pha module khung hở P0X Công suất 200W - Dùng chung cho P01 và P03 (Lắp ngang) | Xám, v3.0, Ngang","200","Xám","v3.0","Ngang"
"VDP0X","Vỏ đèn pha module khung hở P0X Công suất 250W - Dùng chung cho P01 và P03","(V) Vỏ đèn","VDP0X-250-D-BK-v3.0","Vỏ đèn pha module khung hở P0X Công suất 250W - Dùng chung cho P01 và P03 | Đen, v3.0, Dọc","250","Đen","v3.0","Dọc"
"VDP0X","Vỏ đèn pha module khung hở P0X Công suất 250W - Dùng chung cho P01 và P03","(V) Vỏ đèn","VDP0X-250-D-GY-v3.0","Vỏ đèn pha module khung hở P0X Công suất 250W - Dùng chung cho P01 và P03 | Xám, v3.0, Dọc","250","Xám","v3.0","Dọc"
"VDP0X","Vỏ đèn pha module khung hở P0X Công suất 300W - Dùng chung cho P01 và P03","(V) Vỏ đèn","VDP0X-300-D-BK-v3.0","Vỏ đèn pha module khung hở P0X Công suất 300W - Dùng chung cho P01 và P03 | Đen, v3.0, Dọc","300","Đen","v3.0","Dọc"
"VDP0X","Vỏ đèn pha module khung hở P0X Công suất 300W - Dùng chung cho P01 và P03","(V) Vỏ đèn","VDP0X-300-D-GY-v3.0","Vỏ đèn pha module khung hở P0X Công suất 300W - Dùng chung cho P01 và P03 | Xám, v3.0, Dọc","300","Xám","v3.0","Dọc"
"VDP0X","Vỏ đèn pha module khung hở P0X Công suất 300W - Dùng chung cho P01 và P03 (Lắp ngang)","(V) Vỏ đèn","VDP0X-300-N-BK-v3.0","Vỏ đèn pha module khung hở P0X Công suất 300W - Dùng chung cho P01 và P03 (Lắp ngang) | Đen, v3.0, Ngang","300","Đen","v3.0","Ngang"
"VDP0X","Vỏ đèn pha module khung hở P0X Công suất 300W - Dùng chung cho P01 và P03 (Lắp ngang)","(V) Vỏ đèn","VDP0X-300-N-GY-v3.0","Vỏ đèn pha module khung hở P0X Công suất 300W - Dùng chung cho P01 và P03 (Lắp ngang) | Xám, v3.0, Ngang","300","Xám","v3.0","Ngang"
"VDP0X","Vỏ đèn pha module khung hở P0X Công suất 400W - Dùng chung cho P01 và P03","(V) Vỏ đèn","VDP0X-400-N-BK-v3.0","Vỏ đèn pha module khung hở P0X Công suất 400W - Dùng chung cho P01 và P03 | Đen, v3.0, Ngang","400","Đen","v3.0","Ngang"
"VDP0X","Vỏ đèn pha module khung hở P0X Công suất 400W - Dùng chung cho P01 và P03","(V) Vỏ đèn","VDP0X-400-N-GY-v3.0","Vỏ đèn pha module khung hở P0X Công suất 400W - Dùng chung cho P01 và P03 | Xám, v3.0, Ngang","400","Xám","v3.0","Ngang"
"VDP0X","Vỏ đèn pha module khung hở P0X Công suất 500W - Dùng chung cho P01 và P03","(V) Vỏ đèn","VDP0X-500-N-BK-v3.0","Vỏ đèn pha module khung hở P0X Công suất 500W - Dùng chung cho P01 và P03 | Đen, v3.0, Ngang","500","Đen","v3.0","Ngang"
"VDP0X","Vỏ đèn pha module khung hở P0X Công suất 500W - Dùng chung cho P01 và P03","(V) Vỏ đèn","VDP0X-500-N-GY-v3.0","Vỏ đèn pha module khung hở P0X Công suất 500W - Dùng chung cho P01 và P03 | Xám, v3.0, Ngang","500","Xám","v3.0","Ngang"
"VDP0X","Vỏ đèn pha module khung hở P0X Công suất 600W - Dùng chung cho P01 và P03","(V) Vỏ đèn","VDP0X-600-N-BK-v3.0","Vỏ đèn pha module khung hở P0X Công suất 600W - Dùng chung cho P01 và P03 | Đen, v3.0, Ngang","600","Đen","v3.0","Ngang"
"VDP0X","Vỏ đèn pha module khung hở P0X Công suất 600W - Dùng chung cho P01 và P03","(V) Vỏ đèn","VDP0X-600-N-GY-v3.0","Vỏ đèn pha module khung hở P0X Công suất 600W - Dùng chung cho P01 và P03 | Xám, v3.0, Ngang","600","Xám","v3.0","Ngang"
"VDP0X","Vỏ đèn pha module khung hở P0X Công suất 800W - Dùng chung cho P01 và P03","(V) Vỏ đèn","VDP0X-800-N-BK-v3.0","Vỏ đèn pha module khung hở P0X Công suất 800W - Dùng chung cho P01 và P03 | Đen, v3.0, Ngang","800","Đen","v3.0","Ngang"
"VDP0X","Vỏ đèn pha module khung hở P0X Công suất 800W - Dùng chung cho P01 và P03","(V) Vỏ đèn","VDP0X-800-N-GY-v3.0","Vỏ đèn pha module khung hở P0X Công suất 800W - Dùng chung cho P01 và P03 | Xám, v3.0, Ngang","800","Xám","v3.0","Ngang"
"VDP0X","Vỏ đèn pha module khung hở P0X Công suất 1000W - Dùng chung cho P01 và P03","(V) Vỏ đèn","VDP0X-1K0-N-BK-v3.0","Vỏ đèn pha module khung hở P0X Công suất 1000W - Dùng chung cho P01 và P03 | Đen, v3.0, Ngang","1000","Đen","v3.0","Ngang"
"VDP0X","Vỏ đèn pha module khung hở P0X Công suất 1000W - Dùng chung cho P01 và P03","(V) Vỏ đèn","VDP0X-1K0-N-GY-v3.0","Vỏ đèn pha module khung hở P0X Công suất 1000W - Dùng chung cho P01 và P03 | Xám, v3.0, Ngang","1000","Xám","v3.0","Ngang"
"VDPTC","Vỏ đèn pha tròn PTC Chip COB Công suất 50W","(V) Vỏ đèn","VDPTCC050-65","Vỏ đèn pha tròn PTC Chip COB Công suất 50W | IP65","50","","","IP65"
"VDPTC","Vỏ đèn pha tròn PTC Chip COB Công suất 50W","(V) Vỏ đèn","VDPTCC050-66","Vỏ đèn pha tròn PTC Chip COB Công suất 50W | IP66","50","","","IP66"
"VDPTC","Vỏ đèn pha tròn PTC Chip COB Công suất 50W","(V) Vỏ đèn","VDPTCC050-67","Vỏ đèn pha tròn PTC Chip COB Công suất 50W | IP67","50","","","IP67"
"VDPTC","Vỏ đèn pha tròn PTC Chip COB Công suất 100W","(V) Vỏ đèn","VDPTCC100-65","Vỏ đèn pha tròn PTC Chip COB Công suất 100W | IP65","100","","","IP65"
"VDPTC","Vỏ đèn pha tròn PTC Chip COB Công suất 100W","(V) Vỏ đèn","VDPTCC100-66","Vỏ đèn pha tròn PTC Chip COB Công suất 100W | IP66","100","","","IP66"
"VDPTC","Vỏ đèn pha tròn PTC Chip COB Công suất 100W","(V) Vỏ đèn","VDPTCC100-67","Vỏ đèn pha tròn PTC Chip COB Công suất 100W | IP67","100","","","IP67"
"VDPTC","Vỏ đèn pha tròn PTC Chip COB Công suất 150W","(V) Vỏ đèn","VDPTCC150-65","Vỏ đèn pha tròn PTC Chip COB Công suất 150W | IP65","150","","","IP65"
"VDPTC","Vỏ đèn pha tròn PTC Chip COB Công suất 150W","(V) Vỏ đèn","VDPTCC150-66","Vỏ đèn pha tròn PTC Chip COB Công suất 150W | IP66","150","","","IP66"
"VDPTC","Vỏ đèn pha tròn PTC Chip COB Công suất 150W","(V) Vỏ đèn","VDPTCC150-67","Vỏ đèn pha tròn PTC Chip COB Công suất 150W | IP67","150","","","IP67"
"VDPTC","Vỏ đèn pha tròn PTC Chip COB Công suất 200W","(V) Vỏ đèn","VDPTCC200-65","Vỏ đèn pha tròn PTC Chip COB Công suất 200W | IP65","200","","","IP65"
"VDPTC","Vỏ đèn pha tròn PTC Chip COB Công suất 200W","(V) Vỏ đèn","VDPTCC200-66","Vỏ đèn pha tròn PTC Chip COB Công suất 200W | IP66","200","","","IP66"
"VDPTC","Vỏ đèn pha tròn PTC Chip COB Công suất 200W","(V) Vỏ đèn","VDPTCC200-67","Vỏ đèn pha tròn PTC Chip COB Công suất 200W | IP67","200","","","IP67"
"VDPTC","Vỏ đèn pha tròn PTC Chip COB Công suất 250W","(V) Vỏ đèn","VDPTCC250-65","Vỏ đèn pha tròn PTC Chip COB Công suất 250W | IP65","250","","","IP65"
"VDPTC","Vỏ đèn pha tròn PTC Chip COB Công suất 250W","(V) Vỏ đèn","VDPTCC250-66","Vỏ đèn pha tròn PTC Chip COB Công suất 250W | IP66","250","","","IP66"
"VDPTC","Vỏ đèn pha tròn PTC Chip COB Công suất 250W","(V) Vỏ đèn","VDPTCC250-67","Vỏ đèn pha tròn PTC Chip COB Công suất 250W | IP67","250","","","IP67"
"VDPTC","Vỏ đèn pha tròn PTC Chip COB Công suất 300W","(V) Vỏ đèn","VDPTCC300-65","Vỏ đèn pha tròn PTC Chip COB Công suất 300W | IP65","300","","","IP65"
"VDPTC","Vỏ đèn pha tròn PTC Chip COB Công suất 300W","(V) Vỏ đèn","VDPTCC300-66","Vỏ đèn pha tròn PTC Chip COB Công suất 300W | IP66","300","","","IP66"
"VDPTC","Vỏ đèn pha tròn PTC Chip COB Công suất 300W","(V) Vỏ đèn","VDPTCC300-67","Vỏ đèn pha tròn PTC Chip COB Công suất 300W | IP67","300","","","IP67"
"VDPTC","Vỏ đèn pha tròn PTC Chip COB Công suất 400W","(V) Vỏ đèn","VDPTCC400-65","Vỏ đèn pha tròn PTC Chip COB Công suất 400W | IP65","400","","","IP65"
"VDPTC","Vỏ đèn pha tròn PTC Chip COB Công suất 400W","(V) Vỏ đèn","VDPTCC400-66","Vỏ đèn pha tròn PTC Chip COB Công suất 400W | IP66","400","","","IP66"
"VDPTC","Vỏ đèn pha tròn PTC Chip COB Công suất 400W","(V) Vỏ đèn","VDPTCC400-67","Vỏ đèn pha tròn PTC Chip COB Công suất 400W | IP67","400","","","IP67"
"VDPTC","Vỏ đèn pha tròn PTC Chip COB Công suất 500W","(V) Vỏ đèn","VDPTCC500-65","Vỏ đèn pha tròn PTC Chip COB Công suất 500W | IP65","500","","","IP65"
"VDPTC","Vỏ đèn pha tròn PTC Chip COB Công suất 500W","(V) Vỏ đèn","VDPTCC500-66","Vỏ đèn pha tròn PTC Chip COB Công suất 500W | IP66","500","","","IP66"
"VDPTC","Vỏ đèn pha tròn PTC Chip COB Công suất 500W","(V) Vỏ đèn","VDPTCC500-67","Vỏ đèn pha tròn PTC Chip COB Công suất 500W | IP67","500","","","IP67"
"VDPTC","Vỏ đèn pha tròn PTC Chip COB Công suất 600W","(V) Vỏ đèn","VDPTCC600-65","Vỏ đèn pha tròn PTC Chip COB Công suất 600W | IP65","600","","","IP65"
"VDPTC","Vỏ đèn pha tròn PTC Chip COB Công suất 600W","(V) Vỏ đèn","VDPTCC600-66","Vỏ đèn pha tròn PTC Chip COB Công suất 600W | IP66","600","","","IP66"
"VDPTC","Vỏ đèn pha tròn PTC Chip COB Công suất 600W","(V) Vỏ đèn","VDPTCC600-67","Vỏ đèn pha tròn PTC Chip COB Công suất 600W | IP67","600","","","IP67"
"VDPTR","Vỏ đèn pha tròn chóa rộng PTR Chip COB Công suất 10W","(V) Vỏ đèn","VDPTRC010-65","Vỏ đèn pha tròn chóa rộng PTR Chip COB Công suất 10W | IP65","10","","","IP65"
"VDPTR","Vỏ đèn pha tròn chóa rộng PTR Chip COB Công suất 10W","(V) Vỏ đèn","VDPTRC010-66","Vỏ đèn pha tròn chóa rộng PTR Chip COB Công suất 10W | IP66","10","","","IP66"
"VDPTR","Vỏ đèn pha tròn chóa rộng PTR Chip COB Công suất 20W","(V) Vỏ đèn","VDPTRC020-65","Vỏ đèn pha tròn chóa rộng PTR Chip COB Công suất 20W | IP65","20","","","IP65"
"VDPTR","Vỏ đèn pha tròn chóa rộng PTR Chip COB Công suất 20W","(V) Vỏ đèn","VDPTRC020-66","Vỏ đèn pha tròn chóa rộng PTR Chip COB Công suất 20W | IP66","20","","","IP66"
"VDPTR","Vỏ đèn pha tròn chóa rộng PTR Chip COB Công suất 30W","(V) Vỏ đèn","VDPTRC030-65","Vỏ đèn pha tròn chóa rộng PTR Chip COB Công suất 30W | IP65","30","","","IP65"
"VDPTR","Vỏ đèn pha tròn chóa rộng PTR Chip COB Công suất 30W","(V) Vỏ đèn","VDPTRC030-66","Vỏ đèn pha tròn chóa rộng PTR Chip COB Công suất 30W | IP66","30","","","IP66"
"VDPTR","Vỏ đèn pha tròn chóa rộng PTR Chip COB Công suất 50W","(V) Vỏ đèn","VDPTRC050-65","Vỏ đèn pha tròn chóa rộng PTR Chip COB Công suất 50W | IP65","50","","","IP65"
"VDPTR","Vỏ đèn pha tròn chóa rộng PTR Chip COB Công suất 50W","(V) Vỏ đèn","VDPTRC050-66","Vỏ đèn pha tròn chóa rộng PTR Chip COB Công suất 50W | IP66","50","","","IP66"
"VDPTR","Vỏ đèn pha tròn chóa rộng PTR Chip COB Công suất 100W","(V) Vỏ đèn","VDPTRC100-65","Vỏ đèn pha tròn chóa rộng PTR Chip COB Công suất 100W | IP65","100","","","IP65"
"VDPTR","Vỏ đèn pha tròn chóa rộng PTR Chip COB Công suất 100W","(V) Vỏ đèn","VDPTRC100-66","Vỏ đèn pha tròn chóa rộng PTR Chip COB Công suất 100W | IP66","100","","","IP66"
"VDPTR","Vỏ đèn pha tròn chóa rộng PTR Chip COB Công suất 150W","(V) Vỏ đèn","VDPTRC150-65","Vỏ đèn pha tròn chóa rộng PTR Chip COB Công suất 150W | IP65","150","","","IP65"
"VDPTR","Vỏ đèn pha tròn chóa rộng PTR Chip COB Công suất 150W","(V) Vỏ đèn","VDPTRC150-66","Vỏ đèn pha tròn chóa rộng PTR Chip COB Công suất 150W | IP66","150","","","IP66"
"VDPTR","Vỏ đèn pha tròn chóa rộng PTR Chip COB Công suất 200W","(V) Vỏ đèn","VDPTRC200-65","Vỏ đèn pha tròn chóa rộng PTR Chip COB Công suất 200W | IP65","200","","","IP65"
"VDPTR","Vỏ đèn pha tròn chóa rộng PTR Chip COB Công suất 200W","(V) Vỏ đèn","VDPTRC200-66","Vỏ đèn pha tròn chóa rộng PTR Chip COB Công suất 200W | IP66","200","","","IP66"
"VDPTR","Vỏ đèn pha tròn chóa rộng PTR Chip COB Công suất 300W","(V) Vỏ đèn","VDPTRC300-65","Vỏ đèn pha tròn chóa rộng PTR Chip COB Công suất 300W | IP65","300","","","IP65"
"VDPTR","Vỏ đèn pha tròn chóa rộng PTR Chip COB Công suất 300W","(V) Vỏ đèn","VDPTRC300-66","Vỏ đèn pha tròn chóa rộng PTR Chip COB Công suất 300W | IP66","300","","","IP66"
"VDPTR","Vỏ đèn pha tròn chóa rộng PTR Chip COB Công suất 400W","(V) Vỏ đèn","VDPTRC400-65","Vỏ đèn pha tròn chóa rộng PTR Chip COB Công suất 400W | IP65","400","","","IP65"
"VDPTR","Vỏ đèn pha tròn chóa rộng PTR Chip COB Công suất 400W","(V) Vỏ đèn","VDPTRC400-66","Vỏ đèn pha tròn chóa rộng PTR Chip COB Công suất 400W | IP66","400","","","IP66"
"VDPXH","Vỏ đèn pha rọi xám hộp nguồn sau PXH Chip COB Công suất 10W","(V) Vỏ đèn","VDPXHC010","Vỏ đèn pha rọi xám hộp nguồn sau PXH Chip COB Công suất 10W","10","","",""
"VDPXH","Vỏ đèn pha rọi xám hộp nguồn sau PXH Chip COB Công suất 20W","(V) Vỏ đèn","VDPXHC020","Vỏ đèn pha rọi xám hộp nguồn sau PXH Chip COB Công suất 20W","20","","",""
"VDPXH","Vỏ đèn pha rọi xám hộp nguồn sau PXH Chip COB Công suất 30W","(V) Vỏ đèn","VDPXHC300","Vỏ đèn pha rọi xám hộp nguồn sau PXH Chip COB Công suất 30W","30","","",""
"VDPXH","Vỏ đèn pha rọi xám hộp nguồn sau PXH Chip COB Công suất 50W","(V) Vỏ đèn","VDPXHC050","Vỏ đèn pha rọi xám hộp nguồn sau PXH Chip COB Công suất 50W","50","","",""
"VDPXH","Vỏ đèn pha rọi xám hộp nguồn sau PXH Chip COB Công suất 100W","(V) Vỏ đèn","VDPXHC100","Vỏ đèn pha rọi xám hộp nguồn sau PXH Chip COB Công suất 100W","100","","",""
"VDPXH","Vỏ đèn pha rọi xám hộp nguồn sau PXH Chip COB Công suất 150W","(V) Vỏ đèn","VDPXHC150","Vỏ đèn pha rọi xám hộp nguồn sau PXH Chip COB Công suất 150W","150","","",""
"VDPXH","Vỏ đèn pha rọi xám hộp nguồn sau PXH Chip COB Công suất 200W","(V) Vỏ đèn","VDPXHC200","Vỏ đèn pha rọi xám hộp nguồn sau PXH Chip COB Công suất 200W","200","","",""
"VDPXH","Vỏ đèn pha rọi xám hộp nguồn sau PXH Chip COB Công suất 300W","(V) Vỏ đèn","VDPXHC300-2H","Vỏ đèn pha rọi xám hộp nguồn sau PXH Chip COB Công suất 300W | 2 hàng LED","300","","","2 hàng LED"
"VDPXH","Vỏ đèn pha rọi xám hộp nguồn sau PXH Chip COB Công suất 400W","(V) Vỏ đèn","VDPXHC400-2H","Vỏ đèn pha rọi xám hộp nguồn sau PXH Chip COB Công suất 400W | 2 hàng LED","400","","","2 hàng LED"
"VDPXH","Vỏ đèn pha rọi xám hộp nguồn sau PXH Chip COB Công suất 500W","(V) Vỏ đèn","VDPXHC500-2H","Vỏ đèn pha rọi xám hộp nguồn sau PXH Chip COB Công suất 500W | 2 hàng LED","500","","","2 hàng LED"
"VDPTV","Vỏ đèn pha tròn vuông PTV Chip COB Công suất 100W","(V) Vỏ đèn","VDPTVC100-66","Vỏ đèn pha tròn vuông PTV Chip COB Công suất 100W | IP66","100","","","IP66"
"VDPTV","Vỏ đèn pha tròn vuông PTV Chip COB Công suất 150W","(V) Vỏ đèn","VDPTVC150-66","Vỏ đèn pha tròn vuông PTV Chip COB Công suất 150W | IP66","150","","","IP66"
"VDPTV","Vỏ đèn pha tròn vuông PTV Chip COB Công suất 200W","(V) Vỏ đèn","VDPTVC200-66","Vỏ đèn pha tròn vuông PTV Chip COB Công suất 200W | IP66","200","","","IP66"
"VDPTV","Vỏ đèn pha tròn vuông PTV Chip COB Công suất 300W","(V) Vỏ đèn","VDPTVC300-66","Vỏ đèn pha tròn vuông PTV Chip COB Công suất 300W | IP66","300","","","IP66"
"VDPTV","Vỏ đèn pha tròn vuông PTV Chip COB Công suất 400W","(V) Vỏ đèn","VDPTVC400-66","Vỏ đèn pha tròn vuông PTV Chip COB Công suất 400W | IP66","400","","","IP66"
