"Mã sản phẩm","Tên sản phẩm","Nhóm sản phẩm","Mã biến thể","Tên biến thể","Mô tả","Kích cỡ","Độ dài","Kiểu ren","Hình dạng đầu","Kiểu khe vặn","Chất liệu"
"OBL-M4","Bulong M4","(O) Ốc, vít, bulong","OBL-M4x12-RM-C-PH-SS201","Bulong M4x12mm, Ren mịn, Đầu Bằng (CSK), Khe 4 cạnh (PH - Philips), Inox 201","","M4","12mm","mịn","Bằng (CSK)","4 cạnh (PH - Philips)","Inox 201"
"OBL-M6","Bulong M6","(O) Ốc, vít, bulong","OBL-M6x15-RM-H-T","Bulong M6x15mm, Ren mịn, Đầu Lục (Hex), Khe Không có, Thép","","M6","15mm","mịn","Lục (Hex)","Không có","Thép"
"OBL-M8","Bulong M8","(O) Ốc, vít, bulong","OBL-M8x10-RM-S-H-SS201","Bulong M8x10mm, Ren mịn, Đầu Trụ (SHCS), Khe Lục giác chìm (H - Hex / Allen), Inox 201","","M8","10mm","mịn","Trụ (SHCS)","Lục giác chìm (H - Hex / Allen)","Inox 201"
"OBL-M8","Bulong M8","(O) Ốc, vít, bulong","OBL-M8x20-RM-S-H-SS201","Bulong M8x20mm, Ren mịn, Đầu Trụ (SHCS), Khe Lục giác chìm (H - Hex / Allen), Inox 201","Sử dụng lắp quai P01, P02, P03,...","M8","20mm","mịn","Trụ (SHCS)","Lục giác chìm (H - Hex / Allen)","Inox 201"
"OBL-M8","Bulong M8","(O) Ốc, vít, bulong","OBL-M8x25-RM-S-H-SS201","Bulong M8x25mm, Ren mịn, Đầu Trụ (SHCS), Khe Lục giác chìm (H - Hex / Allen), Inox 201","- Sử dụng lắp đầu và thân đèn đường D12, D13, D14,...vào tản nhiệt
- Sử dụng lắp cần đèn","M8","25mm","mịn","Trụ (SHCS)","Lục giác chìm (H - Hex / Allen)","Inox 201"
"OBL-M10","Bulong M10","(O) Ốc, vít, bulong","OBL-M10x25-RM-S-H-SS201","Bulong M10x25mm, Ren mịn, Đầu Trụ (SHCS), Khe Lục giác chìm (H - Hex / Allen), Inox 201","Sử dụng lắp cần đèn","M10","25mm","mịn","Trụ (SHCS)","Lục giác chìm (H - Hex / Allen)","Inox 201"
"OVT-M3","Vít M3","(O) Ốc, vít, bulong","OVT-M3x4-RM-R-PH-T","Vít M3x4mm, Ren mịn, Đầu Tròn/Chỏm cầu (Round), Khe 4 cạnh (PH - Philips), Thép","Sử dụng bắt Chip LED COB","M3","4mm","mịn","Tròn/Chỏm cầu (Round)","4 cạnh (PH - Philips)","Thép"
"OVT-M3","Vít M3","(O) Ốc, vít, bulong","OVT-M3x7-RM-R-PH-T","Vít M3x7mm, Ren mịn, Đầu Tròn/Chỏm cầu (Round), Khe 4 cạnh (PH - Philips), Thép","Sử dụng bắt Chip LED COB","M3","7mm","mịn","Tròn/Chỏm cầu (Round)","4 cạnh (PH - Philips)","Thép"
"OVT-M3","Vít M3","(O) Ốc, vít, bulong","OVT-M3x8-RM-R-PH-SS201","Vít M3x8mm, Ren mịn, Đầu Tròn/Chỏm cầu (Round), Khe 4 cạnh (PH - Philips), Inox 201","Sử dụng bắt Chip LED COB","M3","8mm","mịn","Tròn/Chỏm cầu (Round)","4 cạnh (PH - Philips)","Inox 201"
"OVT-M3","Vít M3","(O) Ốc, vít, bulong","OVT-M3x3-RT-R-PH-SS201","Vít M3x3mm, Ren thô, Đầu Tròn/Chỏm cầu (Round), Khe 4 cạnh (PH - Philips), Inox 201","Sử dụng bắt Chip LED Module SMD","M3","3mm","thô","Tròn/Chỏm cầu (Round)","4 cạnh (PH - Philips)","Inox 201"
"OVT-M3","Vít M3","(O) Ốc, vít, bulong","OVT-M3x4-RT-R-PH-SS201","Vít M3x4mm, Ren thô, Đầu Tròn/Chỏm cầu (Round), Khe 4 cạnh (PH - Philips), Inox 201","Sử dụng bắt Chip LED Module SMD","M3","4mm","thô","Tròn/Chỏm cầu (Round)","4 cạnh (PH - Philips)","Inox 201"
"OVT-M3","Vít M3","(O) Ốc, vít, bulong","OVT-M3x6-RT-R-PH-SS201","Vít M3x6mm, Ren thô, Đầu Tròn/Chỏm cầu (Round), Khe 4 cạnh (PH - Philips), Inox 201","Sử dụng bắt Lens nhựa Module SMD","M3","6mm","thô","Tròn/Chỏm cầu (Round)","4 cạnh (PH - Philips)","Inox 201"
"OVT-M3","Vít M3","(O) Ốc, vít, bulong","OVT-M3x7-RT-R-PH-SS201","Vít M3x7mm, Ren thô, Đầu Tròn/Chỏm cầu (Round), Khe 4 cạnh (PH - Philips), Inox 201","Sử dụng bắt Lens nhựa Module SMD","M3","7mm","thô","Tròn/Chỏm cầu (Round)","4 cạnh (PH - Philips)","Inox 201"
"OVT-M3","Vít M3","(O) Ốc, vít, bulong","OVT-M3x8-RT-R-PH-SS201","Vít M3x8mm, Ren thô, Đầu Tròn/Chỏm cầu (Round), Khe 4 cạnh (PH - Philips), Inox 201","Sử dụng bắt Lens nhựa Module SMD","M3","8mm","thô","Tròn/Chỏm cầu (Round)","4 cạnh (PH - Philips)","Inox 201"
"OVT-M4","Vít M4","(O) Ốc, vít, bulong","OVT-M4x8-RT-T-PH-SS201","Vít M4x8mm, Ren thô, Đầu Nấm (Truss), Khe 4 cạnh (PH - Philips), Inox 201","Sử dụng cố định Module LED và khung/hộp P01, P02, P03","M4","8mm","thô","Nấm (Truss)","4 cạnh (PH - Philips)","Inox 201"
"OVT-M4","Vít M4","(O) Ốc, vít, bulong","OVT-M4x5-RM-R-PH-T","Vít M4x5mm, Ren mịn, Đầu Tròn/Chỏm cầu (Round), Khe 4 cạnh (PH - Philips), Thép","","M4","5mm","mịn","Tròn/Chỏm cầu (Round)","4 cạnh (PH - Philips)","Thép"
"OVT-M4","Vít M4","(O) Ốc, vít, bulong","OVT-M4x6-RM-R-PH-SS201","Vít M4x6mm, Ren mịn, Đầu Tròn/Chỏm cầu (Round), Khe 4 cạnh (PH - Philips), Inox 201","","M4","6mm","mịn","Tròn/Chỏm cầu (Round)","4 cạnh (PH - Philips)","Inox 201"
"OVT-M4","Vít M4","(O) Ốc, vít, bulong","OVT-M4x8-RM-R-PH-SS201","Vít M4x8mm, Ren mịn, Đầu Tròn/Chỏm cầu (Round), Khe 4 cạnh (PH - Philips), Inox 201","","M4","8mm","mịn","Tròn/Chỏm cầu (Round)","4 cạnh (PH - Philips)","Inox 201"
"OEC-M4","Ecu M4","(O) Ốc, vít, bulong","OEC-M4-RM-SS201","Ecu M4, Ren mịn, Đầu , Khe , Inox 201","","M4","","mịn","","","Inox 201"
"OEC-M4","Ecu M4","(O) Ốc, vít, bulong","OEC-M4-RM-T","Ecu M4, Ren mịn, Đầu , Khe , Thép","","M4","","mịn","","","Thép"
"OEC-M5","Ecu M5","(O) Ốc, vít, bulong","OEC-M5-RM-SS201","Ecu M5, Ren mịn, Đầu , Khe , Inox 201","","M5","","mịn","","","Inox 201"
"OEC-M5","Ecu M5","(O) Ốc, vít, bulong","OEC-M5-RM-T","Ecu M5, Ren mịn, Đầu , Khe , Thép","","M5","","mịn","","","Thép"
"OEC-M6","Ecu M6","(O) Ốc, vít, bulong","OEC-M6-RM-SS201","Ecu M6, Ren mịn, Đầu , Khe , Inox 201","","M6","","mịn","","","Inox 201"
"OEC-M6","Ecu M6","(O) Ốc, vít, bulong","OEC-M6-RM-T","Ecu M6, Ren mịn, Đầu , Khe , Thép","","M6","","mịn","","","Thép"
"OEC-M8","Ecu M8","(O) Ốc, vít, bulong","OEC-M8-RM-SS201","Ecu M8, Ren mịn, Đầu , Khe , Inox 201","","M8","","mịn","","","Inox 201"
"OEC-M8","Ecu M8","(O) Ốc, vít, bulong","OEC-M8-RM-T","Ecu M8, Ren mịn, Đầu , Khe , Thép","","M8","","mịn","","","Thép"
"OEC-M10","Ecu M10","(O) Ốc, vít, bulong","OEC-M10-RM-SS201","Ecu M10, Ren mịn, Đầu , Khe , Inox 201","","M10","","mịn","","","Inox 201"
"OEC-M10","Ecu M10","(O) Ốc, vít, bulong","OEC-M10-RM-T","Ecu M10, Ren mịn, Đầu , Khe , Thép","","M10","","mịn","","","Thép"
"OLP-M4","Long đen phẳng M4","(O) Ốc, vít, bulong","OLP-M4-SS201","Long đen phẳng M4, Ren , Đầu , Khe , Inox 201","","M4","","","","","Inox 201"
"OLP-M5","Long đen phẳng M5","(O) Ốc, vít, bulong","OLP-M5-SS201","Long đen phẳng M5, Ren , Đầu , Khe , Inox 201","","M5","","","","","Inox 201"
"OLP-M6","Long đen phẳng M6","(O) Ốc, vít, bulong","OLP-M6-SS201","Long đen phẳng M6, Ren , Đầu , Khe , Inox 201","","M6","","","","","Inox 201"
"OLP-M8","Long đen phẳng M8","(O) Ốc, vít, bulong","OLP-M8-SS201","Long đen phẳng M8, Ren , Đầu , Khe , Inox 201","","M8","","","","","Inox 201"
"OLP-M10","Long đen phẳng M10","(O) Ốc, vít, bulong","OLP-M10-T","Long đen phẳng M10, Ren , Đầu , Khe , Thép","","M10","","","","","Thép"
"OLV-M4","Long đen vênh M4","(O) Ốc, vít, bulong","OLV-M4-SS201","Long đen vênh M4, Ren , Đầu , Khe , Inox 201","","M4","","","","","Inox 201"
"OLV-M5","Long đen vênh M5","(O) Ốc, vít, bulong","OLV-M5-SS201","Long đen vênh M5, Ren , Đầu , Khe , Inox 201","","M5","","","","","Inox 201"
"OLV-M8","Long đen vênh M8","(O) Ốc, vít, bulong","OLV-M8-SS201","Long đen vênh M8, Ren , Đầu , Khe , Inox 201","","M8","","","","","Inox 201"
