"Mã sản phẩm","Tên sản phẩm","Nhóm sản phẩm","Phương pháp bổ sung","Mã biến thể","Tên biến thể","Đơn vị tính","Loại pin","Kích thước pin","Dung lượng pin","Điện áp",""
"TSE-PSL","Bộ pin NLMT","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PSL080-60Ah/12.8","Bộ pin NLMT 80W, 60Ah, 12.8V","Bộ","80W","60Ah","12.8V","",""
"TSE-PSL","Bộ pin NLMT","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PSL080-66Ah/12.8","Bộ pin NLMT 80W, 66Ah, 12.8V","Bộ","80W","66Ah","12.8V","",""
"TSE-PSL","Bộ pin NLMT","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PSL080-72Ah/12.8","Bộ pin NLMT 80W, 72Ah, 12.8V","Bộ","80W","72Ah","12.8V","",""
"TSE-PSL","Bộ pin NLMT","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PSL080-78Ah/12.8","Bộ pin NLMT 80W, 78Ah, 12.8V","Bộ","80W","78Ah","12.8V","",""
"TSE-PSL","Bộ pin NLMT","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PSL080-84Ah/12.8","Bộ pin NLMT 80W, 84Ah, 12.8V","Bộ","80W","84Ah","12.8V","",""
"TSE-PSL","Bộ pin NLMT","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PSL080-96Ah/12.8","Bộ pin NLMT 80W, 96Ah, 12.8V","Bộ","80W","96Ah","12.8V","",""
"TSE-PSL","Bộ pin NLMT","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PSL080-102Ah/12.8","Bộ pin NLMT 80W, 102Ah, 12.8V","Bộ","80W","102Ah","12.8V","",""
"TSE-PSL","Bộ pin NLMT","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PSL100-84Ah/12.8","Bộ pin NLMT 100W, 84Ah, 12.8V","Bộ","100W","84Ah","12.8V","",""
"TSE-PSL","Bộ pin NLMT","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PSL100-96Ah/12.8","Bộ pin NLMT 100W, 96Ah, 12.8V","Bộ","100W","96Ah","12.8V","",""
"TSE-PSL","Bộ pin NLMT","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PSL100-102Ah/12.8","Bộ pin NLMT 100W, 102Ah, 12.8V","Bộ","100W","102Ah","12.8V","",""
"TSE-PSL","Bộ pin NLMT","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PSL080-30Ah/25.6","Bộ pin NLMT 80W, 30Ah, 25.6V","Bộ","80W","30Ah","25.6V","",""
"TSE-PSL","Bộ pin NLMT","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PSL080-36Ah/25.6","Bộ pin NLMT 80W, 36Ah, 25.6V","Bộ","80W","36Ah","25.6V","",""
"TSE-PSL","Bộ pin NLMT","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PSL080-42Ah/25.6","Bộ pin NLMT 80W, 42Ah, 25.6V","Bộ","80W","42Ah","25.6V","",""
"TSE-PSL","Bộ pin NLMT","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PSL080-48Ah/25.6","Bộ pin NLMT 80W, 48Ah, 25.6V","Bộ","80W","48Ah","25.6V","",""
"TSE-PSL","Bộ pin NLMT","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PSL100-36Ah/25.6","Bộ pin NLMT 100W, 36Ah, 25.6V","Bộ","100W","36Ah","25.6V","",""
"TSE-PSL","Bộ pin NLMT","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PSL100-42Ah/25.6","Bộ pin NLMT 100W, 42Ah, 25.6V","Bộ","100W","42Ah","25.6V","",""
"TSE-PSL","Bộ pin NLMT","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PSL100-48Ah/25.6","Bộ pin NLMT 100W, 48Ah, 25.6V","Bộ","100W","48Ah","25.6V","",""
"Mã sản phẩm","Tên sản phẩm","Nhóm sản phẩm","Phương pháp bổ sung","Mã biến thể","Tên biến thể","Đơn vị tính","Công suất","Dung lượng pin","Hệ pin","",""
"TSE-PTH","Pin NLMT tích hợp trong đèn","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PTH040-18Ah/12.8","Pin NLMT tích hợp trong đèn 40W, 18Ah, 12.8V","Bộ","40W","18Ah","12.8V","",""
"TSE-PTH","Pin NLMT tích hợp trong đèn","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PTH040-24Ah/12.8","Pin NLMT tích hợp trong đèn 40W, 24Ah, 12.8V","Bộ","40W","24Ah","12.8V","",""
"TSE-PTH","Pin NLMT tích hợp trong đèn","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PTH040-30Ah/12.8","Pin NLMT tích hợp trong đèn 40W, 30Ah, 12.8V","Bộ","40W","30Ah","12.8V","",""
"TSE-PTH","Pin NLMT tích hợp trong đèn","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PTH040-36Ah/12.8","Pin NLMT tích hợp trong đèn 40W, 36Ah, 12.8V","Bộ","40W","36Ah","12.8V","",""
"TSE-PTH","Pin NLMT tích hợp trong đèn","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PTH040-42Ah/12.8","Pin NLMT tích hợp trong đèn 40W, 42Ah, 12.8V","Bộ","40W","42Ah","12.8V","",""
"TSE-PTH","Pin NLMT tích hợp trong đèn","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PTH018-48Ah/3.2","Pin NLMT tích hợp trong đèn 18W, 48Ah, 3.2V","Bộ","18W","48Ah","3.2V","",""
"TSE-PTH","Pin NLMT tích hợp trong đèn","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PTH018-54Ah/3.2","Pin NLMT tích hợp trong đèn 18W, 54Ah, 3.2V","Bộ","18W","54Ah","3.2V","",""
"TSE-PTH","Pin NLMT tích hợp trong đèn","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PTH018-60Ah/3.2","Pin NLMT tích hợp trong đèn 18W, 60Ah, 3.2V","Bộ","18W","60Ah","3.2V","",""
"TSE-PTH","Pin NLMT tích hợp trong đèn","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PTH018-60Ah/3.2","Pin NLMT tích hợp trong đèn 18W, 60Ah, 3.2V","Bộ","18W","60Ah","3.2V","",""
"TSE-PTH","Pin NLMT tích hợp trong đèn","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PTH018-66Ah/3.2","Pin NLMT tích hợp trong đèn 18W, 66Ah, 3.2V","Bộ","18W","66Ah","3.2V","",""
"TSE-PTH","Pin NLMT tích hợp trong đèn","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PTH018-72Ah/3.2","Pin NLMT tích hợp trong đèn 18W, 72Ah, 3.2V","Bộ","18W","72Ah","3.2V","",""
"TSE-PTH","Pin NLMT tích hợp trong đèn","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PTH026-48Ah/3.2","Pin NLMT tích hợp trong đèn 26W, 48Ah, 3.2V","Bộ","26W","48Ah","3.2V","",""
"TSE-PTH","Pin NLMT tích hợp trong đèn","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PTH026-54Ah/3.2","Pin NLMT tích hợp trong đèn 26W, 54Ah, 3.2V","Bộ","26W","54Ah","3.2V","",""
"TSE-PTH","Pin NLMT tích hợp trong đèn","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PTH026-60Ah/3.2","Pin NLMT tích hợp trong đèn 26W, 60Ah, 3.2V","Bộ","26W","60Ah","3.2V","",""
"TSE-PTH","Pin NLMT tích hợp trong đèn","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PTH026-60Ah/3.2","Pin NLMT tích hợp trong đèn 26W, 60Ah, 3.2V","Bộ","26W","60Ah","3.2V","",""
"TSE-PTH","Pin NLMT tích hợp trong đèn","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PTH026-66Ah/3.2","Pin NLMT tích hợp trong đèn 26W, 66Ah, 3.2V","Bộ","26W","66Ah","3.2V","",""
"TSE-PTH","Pin NLMT tích hợp trong đèn","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PTH026-72Ah/3.2","Pin NLMT tích hợp trong đèn 26W, 72Ah, 3.2V","Bộ","26W","72Ah","3.2V","",""
"TSE-PTH","Pin NLMT tích hợp trong đèn","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PTH026-78Ah/3.2","Pin NLMT tích hợp trong đèn 26W, 78Ah, 3.2V","Bộ","26W","78Ah","3.2V","",""
"TSE-PTH","Pin NLMT tích hợp trong đèn","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PTH026-84Ah/3.2","Pin NLMT tích hợp trong đèn 26W, 84Ah, 3.2V","Bộ","26W","84Ah","3.2V","",""
"TSE-PTH","Pin NLMT tích hợp trong đèn","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PTH026-96Ah/3.2","Pin NLMT tích hợp trong đèn 26W, 96Ah, 3.2V","Bộ","26W","96Ah","3.2V","",""
"TSE-PTH","Pin NLMT tích hợp trong đèn","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PTH026-102Ah/3.2","Pin NLMT tích hợp trong đèn 26W, 102Ah, 3.2V","Bộ","26W","102Ah","3.2V","",""
"TSE-PTH","Pin NLMT tích hợp trong đèn","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PTH026-120Ah/3.2","Pin NLMT tích hợp trong đèn 26W, 120Ah, 3.2V","Bộ","26W","120Ah","3.2V","",""
"TSE-PTH","Pin NLMT tích hợp trong đèn","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PTH026-144Ah/3.2","Pin NLMT tích hợp trong đèn 26W, 144Ah, 3.2V","Bộ","26W","144Ah","3.2V","",""
"Mã sản phẩm","Tên sản phẩm","Nhóm sản phẩm","Phương pháp bổ sung","Mã biến thể","Tên biến thể","Đơn vị tính","Kích thước","Chất liệu","Độ dày","Màu sơn",""
"TSE-HOP","Hộp đựng pin","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Mua hàng","TSE-HOP-615x147x125-AL","Hộp đựng pin 615x147x125mm, Nhôm","Cái","615x147x125mm","Nhôm","","",""
"TSE-HOP","Hộp đựng pin","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Mua hàng","TSE-HOP-315x147x125-AL","Hộp đựng pin 315x147x125mm, Nhôm","Cái","315x147x125mm","Nhôm","","",""
"TSE-HOP","Hộp đựng pin","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Mua hàng","TSE-HOP-400x170x140-S/0.8-WH","Hộp đựng pin 400x170x140mm, Thép, 0.8mm, Trắng","Cái","400x170x140mm","Thép","0.8mm","Trắng",""
"Mã sản phẩm","Tên sản phẩm","Nhóm sản phẩm","Phương pháp bổ sung","Mã biến thể","Tên biến thể","Đơn vị tính","Model","","","",""
"TSE-BMS","Mạch cân bằng","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Mua hàng","TSE-BMS4SA3.2V","Mạch cân bằng BMS4SA3.2V","Cái","BMS4SA3.2V","","","",""
